Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757980585,2025-09-15T23:56:25Z,CPA982,"22.312786,113.928322",0,0,340
1757980652,2025-09-15T23:57:32Z,CPA982,"22.31258,113.928398",0,3,340
1757980668,2025-09-15T23:57:48Z,CPA982,"22.312363,113.928482",0,3,337
1757980686,2025-09-15T23:58:06Z,CPA982,"22.312162,113.928581",0,3,340
1757980701,2025-09-15T23:58:21Z,CPA982,"22.311953,113.928665",0,3,337
1757980720,2025-09-15T23:58:40Z,CPA982,"22.311743,113.928833",0,3,5
1757980737,2025-09-15T23:58:57Z,CPA982,"22.311533,113.928856",0,3,28
1757981022,2025-09-16T00:03:42Z,CPA982,"22.311733,113.928986",0,5,30
1757981030,2025-09-16T00:03:50Z,CPA982,"22.311859,113.929207",0,7,50
1757981036,2025-09-16T00:03:56Z,CPA982,"22.311918,113.92942",0,8,64
1757981042,2025-09-16T00:04:02Z,CPA982,"22.311985,113.929672",0,9,70
1757981049,2025-09-16T00:04:09Z,CPA982,"22.312077,113.92997",0,8,73
1757981060,2025-09-16T00:04:20Z,CPA982,"22.312191,113.930344",0,7,73
1757981066,2025-09-16T00:04:26Z,CPA982,"22.31222,113.930565",0,8,81
1757981072,2025-09-16T00:04:32Z,CPA982,"22.312069,113.930779",0,10,109
1757981078,2025-09-16T00:04:38Z,CPA982,"22.311825,113.930916",0,10,140
1757981083,2025-09-16T00:04:43Z,CPA982,"22.311556,113.930992",0,10,157
1757981088,2025-09-16T00:04:48Z,CPA982,"22.31131,113.931068",0,12,163
1757981092,2025-09-16T00:04:52Z,CPA982,"22.311104,113.931145",0,12,160
1757981099,2025-09-16T00:04:59Z,CPA982,"22.310869,113.931221",0,13,160
1757981100,2025-09-16T00:05:00Z,CPA982,"22.310648,113.931297",0,12,163
1757981105,2025-09-16T00:05:05Z,CPA982,"22.31044,113.931374",0,10,160
1757981112,2025-09-16T00:05:12Z,CPA982,"22.310125,113.931503",0,10,160
1757981120,2025-09-16T00:05:20Z,CPA982,"22.309776,113.931656",0,12,157
1757981127,2025-09-16T00:05:27Z,CPA982,"22.309521,113.93177",0,12,160
1757981135,2025-09-16T00:05:35Z,CPA982,"22.308918,113.93158",0,15,205
1757981139,2025-09-16T00:05:39Z,CPA982,"22.308798,113.931374",0,13,225
1757981142,2025-09-16T00:05:42Z,CPA982,"22.308723,113.931145",0,12,241
1757981148,2025-09-16T00:05:48Z,CPA982,"22.308632,113.930847",0,9,250
1757981154,2025-09-16T00:05:54Z,CPA982,"22.308552,113.93058",0,9,250
1757981160,2025-09-16T00:06:00Z,CPA982,"22.30846,113.930321",0,10,250
1757981165,2025-09-16T00:06:05Z,CPA982,"22.308392,113.930092",0,11,250
1757981171,2025-09-16T00:06:11Z,CPA982,"22.308275,113.92971",0,13,250
1757981179,2025-09-16T00:06:19Z,CPA982,"22.308134,113.929291",0,14,250
1757981186,2025-09-16T00:06:26Z,CPA982,"22.307957,113.928719",0,15,250
1757981193,2025-09-16T00:06:33Z,CPA982,"22.307819,113.928307",0,15,250
1757981200,2025-09-16T00:06:40Z,CPA982,"22.307636,113.927757",0,12,250
1757981207,2025-09-16T00:06:47Z,CPA982,"22.307518,113.927383",0,10,250
1757981215,2025-09-16T00:06:55Z,CPA982,"22.307396,113.92701",0,11,250
1757981223,2025-09-16T00:07:03Z,CPA982,"22.307262,113.926567",0,13,250
1757981229,2025-09-16T00:07:09Z,CPA982,"22.307123,113.926147",0,14,250
1757981237,2025-09-16T00:07:17Z,CPA982,"22.306973,113.925674",0,15,250
1757981244,2025-09-16T00:07:24Z,CPA982,"22.306789,113.925117",0,15,250
1757981251,2025-09-16T00:07:31Z,CPA982,"22.306644,113.92469",0,11,250
1757981258,2025-09-16T00:07:38Z,CPA982,"22.306561,113.924393",0,8,250
1757981264,2025-09-16T00:07:44Z,CPA982,"22.306492,113.924126",0,9,255
1757981269,2025-09-16T00:07:49Z,CPA982,"22.306564,113.923912",0,11,275
1757981273,2025-09-16T00:07:53Z,CPA982,"22.306786,113.923737",0,13,309
1757981278,2025-09-16T00:07:58Z,CPA982,"22.30703,113.923645",0,13,331
1757981281,2025-09-16T00:08:01Z,CPA982,"22.307251,113.923584",0,13,340
1757981286,2025-09-16T00:08:06Z,CPA982,"22.307476,113.923492",0,13,340
1757981289,2025-09-16T00:08:09Z,CPA982,"22.307682,113.923416",0,13,340
1757981293,2025-09-16T00:08:13Z,CPA982,"22.307922,113.92334",0,14,340
1757981300,2025-09-16T00:08:20Z,CPA982,"22.308332,113.923172",0,15,340
1757981307,2025-09-16T00:08:27Z,CPA982,"22.308884,113.922981",0,16,340
1757981314,2025-09-16T00:08:34Z,CPA982,"22.309399,113.922783",0,17,340
1757981322,2025-09-16T00:08:42Z,CPA982,"22.310017,113.922554",0,18,340
1757981328,2025-09-16T00:08:48Z,CPA982,"22.31052,113.922363",0,19,340
1757981335,2025-09-16T00:08:55Z,CPA982,"22.311184,113.922127",0,20,340
1757981343,2025-09-16T00:09:03Z,CPA982,"22.311813,113.921875",0,19,340
1757981350,2025-09-16T00:09:10Z,CPA982,"22.312384,113.921677",0,16,340
1757981358,2025-09-16T00:09:18Z,CPA982,"22.312923,113.921471",0,13,340
1757981365,2025-09-16T00:09:25Z,CPA982,"22.313335,113.921318",0,13,340
1757981373,2025-09-16T00:09:33Z,CPA982,"22.31378,113.92115",0,15,340
1757981383,2025-09-16T00:09:43Z,CPA982,"22.31428,113.920959",0,16,340
1757981390,2025-09-16T00:09:50Z,CPA982,"22.315071,113.92067",0,19,340
1757981396,2025-09-16T00:09:56Z,CPA982,"22.315556,113.920494",0,15,340
1757981405,2025-09-16T00:10:05Z,CPA982,"22.315897,113.920364",0,10,340
1757981411,2025-09-16T00:10:11Z,CPA982,"22.316166,113.920044",0,11,309
1757981419,2025-09-16T00:10:19Z,CPA982,"22.316107,113.919662",0,10,270
1757981423,2025-09-16T00:10:23Z,CPA982,"22.316013,113.919434",0,11,255
1757981429,2025-09-16T00:10:29Z,CPA982,"22.315908,113.919144",0,11,250
1757981434,2025-09-16T00:10:34Z,CPA982,"22.315828,113.9189",0,10,250
1757981439,2025-09-16T00:10:39Z,CPA982,"22.315762,113.918694",0,9,250
1757981446,2025-09-16T00:10:46Z,CPA982,"22.31567,113.918373",0,10,250
1757981454,2025-09-16T00:10:54Z,CPA982,"22.315533,113.917961",0,12,250
1757981461,2025-09-16T00:11:01Z,CPA982,"22.315409,113.91758",0,13,250
1757981467,2025-09-16T00:11:07Z,CPA982,"22.315281,113.917183",0,14,250
1757981475,2025-09-16T00:11:15Z,CPA982,"22.315083,113.91655",0,15,250
1757981482,2025-09-16T00:11:22Z,CPA982,"22.314915,113.916061",0,16,250
1757981490,2025-09-16T00:11:30Z,CPA982,"22.314688,113.915344",0,18,250
1757981499,2025-09-16T00:11:39Z,CPA982,"22.314434,113.914551",0,19,250
1757981507,2025-09-16T00:11:47Z,CPA982,"22.314182,113.91378",0,21,250
1757981514,2025-09-16T00:11:54Z,CPA982,"22.313942,113.913025",0,0,250
1757981523,2025-09-16T00:12:03Z,CPA982,"22.313698,113.912262",0,23,250
1757981532,2025-09-16T00:12:12Z,CPA982,"22.313337,113.911171",0,25,250
1757981541,2025-09-16T00:12:21Z,CPA982,"22.312923,113.909874",0,26,250
1757981550,2025-09-16T00:12:30Z,CPA982,"22.312637,113.908981",0,27,250
1757981557,2025-09-16T00:12:37Z,CPA982,"22.312313,113.907967",0,23,250
1757981563,2025-09-16T00:12:43Z,CPA982,"22.312088,113.907272",0,22,250
1757981572,2025-09-16T00:12:52Z,CPA982,"22.311777,113.906311",0,24,250
1757981578,2025-09-16T00:12:58Z,CPA982,"22.311527,113.90554",0,25,250
1757981586,2025-09-16T00:13:06Z,CPA982,"22.311253,113.904686",0,23,250
1757981594,2025-09-16T00:13:14Z,CPA982,"22.311001,113.903893",0,14,250
1757981607,2025-09-16T00:13:27Z,CPA982,"22.31073,113.903061",0,15,250
1757981615,2025-09-16T00:13:35Z,CPA982,"22.310545,113.902489",0,16,250
1757981623,2025-09-16T00:13:43Z,CPA982,"22.310383,113.901993",0,11,250
1757981633,2025-09-16T00:13:53Z,CPA982,"22.310219,113.901466",0,11,250
1757981641,2025-09-16T00:14:01Z,CPA982,"22.310062,113.900978",0,13,250
1757981650,2025-09-16T00:14:10Z,CPA982,"22.309916,113.900528",0,10,250
1757981657,2025-09-16T00:14:17Z,CPA982,"22.309822,113.900246",0,7,250
1757981665,2025-09-16T00:14:25Z,CPA982,"22.30974,113.899994",0,8,250
1757981671,2025-09-16T00:14:31Z,CPA982,"22.309671,113.89978",0,6,250
1757981681,2025-09-16T00:14:41Z,CPA982,"22.309605,113.899574",0,3,250
1757981706,2025-09-16T00:15:06Z,CPA982,"22.309547,113.899361",0,2,250
1757981794,2025-09-16T00:16:34Z,CPA982,"22.309479,113.899147",0,3,250
1757981804,2025-09-16T00:16:44Z,CPA982,"22.30941,113.898933",0,5,250
1757981813,2025-09-16T00:16:53Z,CPA982,"22.309322,113.898697",0,6,250
1757981821,2025-09-16T00:17:01Z,CPA982,"22.309261,113.89846",0,6,250
1757981831,2025-09-16T00:17:11Z,CPA982,"22.309275,113.898216",0,6,270
1757981840,2025-09-16T00:17:20Z,CPA982,"22.309479,113.898071",0,7,309
1757981849,2025-09-16T00:17:29Z,CPA982,"22.309683,113.898033",0,3,331
