Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757670584,2025-09-12T09:49:44Z,CPA990,"22.313187,113.926102",0,0,25
1757670642,2025-09-12T09:50:42Z,CPA990,"22.312969,113.926025",0,3,36
1757670663,2025-09-12T09:51:03Z,CPA990,"22.312744,113.925873",0,3,53
1757670683,2025-09-12T09:51:23Z,CPA990,"22.312546,113.925667",0,3,73
1757670699,2025-09-12T09:51:39Z,CPA990,"22.312443,113.925461",0,3,95
1757670719,2025-09-12T09:51:59Z,CPA990,"22.312431,113.925148",0,3,112
1757670741,2025-09-12T09:52:21Z,CPA990,"22.312534,113.924881",0,2,115
1757671018,2025-09-12T09:56:58Z,CPA990,"22.312431,113.925117",0,4,118
1757671026,2025-09-12T09:57:06Z,CPA990,"22.312231,113.925232",0,7,140
1757671035,2025-09-12T09:57:15Z,CPA990,"22.311951,113.925201",0,7,174
1757671044,2025-09-12T09:57:24Z,CPA990,"22.311699,113.925049",0,7,199
1757671052,2025-09-12T09:57:32Z,CPA990,"22.311401,113.924889",0,9,205
1757671067,2025-09-12T09:57:47Z,CPA990,"22.31076,113.924553",0,11,205
1757671076,2025-09-12T09:57:56Z,CPA990,"22.31031,113.924316",0,13,205
1757671083,2025-09-12T09:58:03Z,CPA990,"22.309904,113.924118",0,14,205
1757671090,2025-09-12T09:58:10Z,CPA990,"22.309521,113.923912",0,15,205
1757671097,2025-09-12T09:58:17Z,CPA990,"22.309044,113.923668",0,15,205
1757671104,2025-09-12T09:58:24Z,CPA990,"22.308601,113.923431",0,15,205
1757671111,2025-09-12T09:58:31Z,CPA990,"22.30822,113.923279",0,11,199
1757671116,2025-09-12T09:58:36Z,CPA990,"22.307957,113.923332",0,11,177
1757671122,2025-09-12T09:58:42Z,CPA990,"22.307682,113.923439",0,11,163
1757671127,2025-09-12T09:58:47Z,CPA990,"22.307436,113.923531",0,11,163
1757671131,2025-09-12T09:58:51Z,CPA990,"22.307201,113.923615",0,12,160
1757671135,2025-09-12T09:58:55Z,CPA990,"22.306995,113.923691",0,12,160
1757671139,2025-09-12T09:58:59Z,CPA990,"22.306789,113.923775",0,13,160
1757671145,2025-09-12T09:59:05Z,CPA990,"22.306482,113.923813",0,10,174
1757671151,2025-09-12T09:59:11Z,CPA990,"22.306286,113.923592",0,11,213
1757671156,2025-09-12T09:59:16Z,CPA990,"22.306206,113.923378",0,10,233
1757671162,2025-09-12T09:59:22Z,CPA990,"22.306149,113.923126",0,10,247
1757671167,2025-09-12T09:59:27Z,CPA990,"22.306051,113.922844",0,11,250
1757671179,2025-09-12T09:59:39Z,CPA990,"22.305819,113.922134",0,13,250
1757671183,2025-09-12T09:59:43Z,CPA990,"22.305761,113.921928",0,14,250
1757671186,2025-09-12T09:59:46Z,CPA990,"22.305679,113.921684",0,14,250
1757671190,2025-09-12T09:59:50Z,CPA990,"22.305599,113.921432",0,15,250
1757671196,2025-09-12T09:59:56Z,CPA990,"22.305435,113.920914",0,16,250
1757671203,2025-09-12T10:00:03Z,CPA990,"22.305244,113.920357",0,17,250
1757671211,2025-09-12T10:00:11Z,CPA990,"22.305061,113.919762",0,18,250
1757671218,2025-09-12T10:00:18Z,CPA990,"22.304853,113.919121",0,19,250
1757671225,2025-09-12T10:00:25Z,CPA990,"22.304644,113.918442",0,20,250
1757671232,2025-09-12T10:00:32Z,CPA990,"22.304411,113.917732",0,21,250
1757671239,2025-09-12T10:00:39Z,CPA990,"22.304169,113.917015",0,22,250
1757671246,2025-09-12T10:00:46Z,CPA990,"22.303923,113.916245",0,23,250
1757671253,2025-09-12T10:00:53Z,CPA990,"22.303654,113.915405",0,24,250
1757671260,2025-09-12T10:01:00Z,CPA990,"22.303398,113.914604",0,25,250
1757671268,2025-09-12T10:01:08Z,CPA990,"22.303082,113.913628",0,26,250
1757671276,2025-09-12T10:01:16Z,CPA990,"22.302773,113.912643",0,26,250
1757671283,2025-09-12T10:01:23Z,CPA990,"22.302555,113.91198",0,17,250
1757671291,2025-09-12T10:01:31Z,CPA990,"22.30234,113.911308",0,19,250
1757671298,2025-09-12T10:01:38Z,CPA990,"22.30212,113.910645",0,20,250
1757671305,2025-09-12T10:01:45Z,CPA990,"22.301886,113.909897",0,21,250
1757671313,2025-09-12T10:01:53Z,CPA990,"22.301617,113.909081",0,22,250
1757671321,2025-09-12T10:02:01Z,CPA990,"22.301327,113.908173",0,24,250
1757671328,2025-09-12T10:02:08Z,CPA990,"22.301067,113.907372",0,25,250
1757671336,2025-09-12T10:02:16Z,CPA990,"22.300793,113.906525",0,26,250
1757671342,2025-09-12T10:02:22Z,CPA990,"22.300484,113.905548",0,27,250
1757671349,2025-09-12T10:02:29Z,CPA990,"22.300209,113.904701",0,28,250
1757671356,2025-09-12T10:02:36Z,CPA990,"22.299866,113.903656",0,29,250
1757671363,2025-09-12T10:02:43Z,CPA990,"22.299637,113.902931",0,21,250
1757671370,2025-09-12T10:02:50Z,CPA990,"22.299477,113.90242",0,15,250
1757671377,2025-09-12T10:02:57Z,CPA990,"22.299305,113.901894",0,16,250
1757671385,2025-09-12T10:03:05Z,CPA990,"22.299116,113.901291",0,17,250
1757671394,2025-09-12T10:03:14Z,CPA990,"22.29887,113.900543",0,17,250
1757671400,2025-09-12T10:03:20Z,CPA990,"22.298685,113.899971",0,16,250
1757671409,2025-09-12T10:03:29Z,CPA990,"22.298504,113.899406",0,12,250
1757671417,2025-09-12T10:03:37Z,CPA990,"22.298401,113.899109",0,8,250
1757671429,2025-09-12T10:03:49Z,CPA990,"22.298302,113.89875",0,7,250
1757671437,2025-09-12T10:03:57Z,CPA990,"22.298033,113.898643",0,6,210
1757671445,2025-09-12T10:04:05Z,CPA990,"22.297817,113.89872",0,6,180
1757671588,2025-09-12T10:06:28Z,CPA990,"22.297602,113.898849",0,0,163
1757671595,2025-09-12T10:06:35Z,CPA990,"22.297358,113.898941",0,8,160
1757671606,2025-09-12T10:06:46Z,CPA990,"22.296982,113.899086",0,9,160
1757671614,2025-09-12T10:06:54Z,CPA990,"22.296707,113.899269",0,7,149
1757671621,2025-09-12T10:07:01Z,CPA990,"22.296648,113.899475",0,0,123
1757671629,2025-09-12T10:07:09Z,CPA990,"22.296753,113.899765",0,6,84
1757671641,2025-09-12T10:07:21Z,CPA990,"22.296915,113.900146",0,9,70
1757671644,2025-09-12T10:07:24Z,CPA990,"22.296997,113.900414",0,15,70
1757671649,2025-09-12T10:07:29Z,CPA990,"22.297188,113.901009",0,31,70
1757671653,2025-09-12T10:07:33Z,CPA990,"22.297451,113.901855",0,48,70
1757671654,2025-09-12T10:07:34Z,CPA990,"22.297544,113.90213",0,52,70
1757671656,2025-09-12T10:07:36Z,CPA990,"22.297737,113.90274",0,60,70
1757671657,2025-09-12T10:07:37Z,CPA990,"22.297829,113.90303",0,64,70
1757671658,2025-09-12T10:07:38Z,CPA990,"22.298,113.903526",0,68,70
1757671659,2025-09-12T10:07:39Z,CPA990,"22.298126,113.903915",0,72,70
1757671666,2025-09-12T10:07:46Z,CPA990,"22.298988,113.906555",0,95,69
1757671673,2025-09-12T10:07:53Z,CPA990,"22.300278,113.910591",125,121,70
1757671681,2025-09-12T10:08:01Z,CPA990,"22.302063,113.916084",125,150,70
1757671690,2025-09-12T10:08:10Z,CPA990,"22.304169,113.922729",225,166,70
1757671696,2025-09-12T10:08:16Z,CPA990,"22.305725,113.92762",400,166,71
1757671704,2025-09-12T10:08:24Z,CPA990,"22.307785,113.934113",625,170,71
1757671713,2025-09-12T10:08:33Z,CPA990,"22.309845,113.940857",925,172,71
1757671721,2025-09-12T10:08:41Z,CPA990,"22.311996,113.947701",1275,170,71
1757671727,2025-09-12T10:08:47Z,CPA990,"22.313511,113.952538",1525,169,71
1757671735,2025-09-12T10:08:55Z,CPA990,"22.315559,113.959099",1875,168,71
1757671744,2025-09-12T10:09:04Z,CPA990,"22.317656,113.965813",2025,174,70
1757671750,2025-09-12T10:09:10Z,CPA990,"22.31955,113.971619",2125,184,70
1757671759,2025-09-12T10:09:19Z,CPA990,"22.321976,113.979057",2200,195,70
1757671765,2025-09-12T10:09:25Z,CPA990,"22.323944,113.985054",2275,204,69
1757671773,2025-09-12T10:09:33Z,CPA990,"22.326733,113.993279",2475,214,69
