Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757980632,2025-09-15T23:57:12Z,CPA958,"22.317181,113.931381",0,2,264
1757980658,2025-09-15T23:57:38Z,CPA958,"22.31727,113.931656",0,0,320
1757980896,2025-09-16T00:01:36Z,CPA958,"22.317724,113.931564",0,7,340
1757980902,2025-09-16T00:01:42Z,CPA958,"22.317947,113.931496",0,8,340
1757980910,2025-09-16T00:01:50Z,CPA958,"22.318256,113.931366",0,9,340
1757980917,2025-09-16T00:01:57Z,CPA958,"22.318497,113.931267",0,8,337
1757980923,2025-09-16T00:02:03Z,CPA958,"22.31868,113.931046",0,9,309
1757980929,2025-09-16T00:02:09Z,CPA958,"22.318703,113.930725",0,10,275
1757980934,2025-09-16T00:02:14Z,CPA958,"22.318621,113.930473",0,11,255
1757980943,2025-09-16T00:02:23Z,CPA958,"22.318462,113.930008",0,12,250
1757980949,2025-09-16T00:02:29Z,CPA958,"22.318377,113.929733",0,11,250
1757980953,2025-09-16T00:02:33Z,CPA958,"22.318371,113.929482",0,10,267
1757980958,2025-09-16T00:02:38Z,CPA958,"22.318508,113.929268",0,11,300
1757980966,2025-09-16T00:02:46Z,CPA958,"22.318851,113.929008",0,10,320
1757980975,2025-09-16T00:02:55Z,CPA958,"22.318958,113.928589",0,10,278
1757980981,2025-09-16T00:03:01Z,CPA958,"22.318853,113.928276",0,11,253
1757980986,2025-09-16T00:03:06Z,CPA958,"22.318748,113.927971",0,13,250
1757980991,2025-09-16T00:03:11Z,CPA958,"22.318645,113.92765",0,14,250
1757980994,2025-09-16T00:03:14Z,CPA958,"22.318586,113.927444",0,15,250
1757980999,2025-09-16T00:03:19Z,CPA958,"22.318459,113.927063",0,15,250
1757981002,2025-09-16T00:03:22Z,CPA958,"22.318377,113.926811",0,16,250
1757981005,2025-09-16T00:03:25Z,CPA958,"22.318302,113.926559",0,16,250
1757981012,2025-09-16T00:03:32Z,CPA958,"22.318119,113.926003",0,17,250
1757981020,2025-09-16T00:03:40Z,CPA958,"22.317913,113.925354",0,18,250
1757981027,2025-09-16T00:03:47Z,CPA958,"22.317701,113.924713",0,19,250
1757981034,2025-09-16T00:03:54Z,CPA958,"22.31749,113.924049",0,20,250
1757981040,2025-09-16T00:04:00Z,CPA958,"22.317341,113.923576",0,20,250
1757981050,2025-09-16T00:04:10Z,CPA958,"22.316957,113.922401",0,21,250
1757981061,2025-09-16T00:04:21Z,CPA958,"22.316631,113.92141",0,23,250
1757981069,2025-09-16T00:04:29Z,CPA958,"22.316254,113.920219",0,25,250
1757981077,2025-09-16T00:04:37Z,CPA958,"22.315956,113.919281",0,26,250
1757981083,2025-09-16T00:04:43Z,CPA958,"22.315687,113.918457",0,27,250
1757981091,2025-09-16T00:04:51Z,CPA958,"22.315374,113.917503",0,27,250
1757981097,2025-09-16T00:04:57Z,CPA958,"22.315086,113.916588",0,28,250
1757981105,2025-09-16T00:05:05Z,CPA958,"22.31485,113.915863",0,28,250
1757981118,2025-09-16T00:05:18Z,CPA958,"22.314222,113.913902",0,24,250
