Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757990323,2025-09-16T02:38:43Z,CPA356,"22.31321,113.926079",0,0,25
1757990414,2025-09-16T02:40:14Z,CPA356,"22.312981,113.925987",0,2,33
1757990435,2025-09-16T02:40:35Z,CPA356,"22.312778,113.925858",0,2,45
1757990467,2025-09-16T02:41:07Z,CPA356,"22.312546,113.925598",0,0,39
1757990494,2025-09-16T02:41:34Z,CPA356,"22.312328,113.925392",0,2,28
1757990515,2025-09-16T02:41:55Z,CPA356,"22.312126,113.925285",0,2,30
1757990540,2025-09-16T02:42:20Z,CPA356,"22.311916,113.925125",0,2,22
1757990590,2025-09-16T02:43:10Z,CPA356,"22.312046,113.925415",0,0,25
1757990599,2025-09-16T02:43:19Z,CPA356,"22.311836,113.925102",0,0,25
1757990719,2025-09-16T02:45:19Z,CPA356,"22.312069,113.925209",0,3,22
1757990730,2025-09-16T02:45:30Z,CPA356,"22.312328,113.925217",0,6,5
1757990738,2025-09-16T02:45:38Z,CPA356,"22.312534,113.925041",0,7,334
1757990746,2025-09-16T02:45:46Z,CPA356,"22.312616,113.924767",0,8,300
1757990751,2025-09-16T02:45:51Z,CPA356,"22.312695,113.924553",0,8,295
1757990757,2025-09-16T02:45:57Z,CPA356,"22.312809,113.924324",0,9,295
1757990763,2025-09-16T02:46:03Z,CPA356,"22.312923,113.924065",0,10,295
1757990778,2025-09-16T02:46:18Z,CPA356,"22.313173,113.923477",0,0,295
1757990794,2025-09-16T02:46:34Z,CPA356,"22.313335,113.923164",0,0,295
1757990807,2025-09-16T02:46:47Z,CPA356,"22.313465,113.922867",0,6,295
1757990814,2025-09-16T02:46:54Z,CPA356,"22.313581,113.922615",0,8,295
1757990826,2025-09-16T02:47:06Z,CPA356,"22.313791,113.922134",0,10,295
1757990835,2025-09-16T02:47:15Z,CPA356,"22.31399,113.9217",0,10,295
1757990843,2025-09-16T02:47:23Z,CPA356,"22.314129,113.921394",0,8,295
1757990851,2025-09-16T02:47:31Z,CPA356,"22.314222,113.921188",0,7,295
1757990864,2025-09-16T02:47:44Z,CPA356,"22.314501,113.92086",0,7,315
1757990872,2025-09-16T02:47:52Z,CPA356,"22.314711,113.920799",0,5,334
1757990935,2025-09-16T02:48:55Z,CPA356,"22.314955,113.920723",0,0,340
1757990945,2025-09-16T02:49:05Z,CPA356,"22.315165,113.920647",0,6,340
1757990952,2025-09-16T02:49:12Z,CPA356,"22.315479,113.920532",0,9,340
