Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757719767,2025-09-12T23:29:27Z,CPA334,"22.313383,113.924622",0,2,25
1757719794,2025-09-12T23:29:54Z,CPA334,"22.313164,113.924553",0,0,42
1757719831,2025-09-12T23:30:31Z,CPA334,"22.312906,113.924385",0,1,81
1757719865,2025-09-12T23:31:05Z,CPA334,"22.312849,113.924156",0,1,112
1757720076,2025-09-12T23:34:36Z,CPA334,"22.312752,113.924377",0,4,112
1757720090,2025-09-12T23:34:50Z,CPA334,"22.312592,113.924736",0,6,115
1757720100,2025-09-12T23:35:00Z,CPA334,"22.312443,113.925041",0,7,118
1757720121,2025-09-12T23:35:21Z,CPA334,"22.311684,113.925034",0,9,196
1757720127,2025-09-12T23:35:27Z,CPA334,"22.311447,113.924911",0,10,202
1757720134,2025-09-12T23:35:34Z,CPA334,"22.311138,113.924751",0,11,205
1757720144,2025-09-12T23:35:44Z,CPA334,"22.310684,113.924522",0,12,205
1757720152,2025-09-12T23:35:52Z,CPA334,"22.310246,113.924294",0,13,205
1757720160,2025-09-12T23:36:00Z,CPA334,"22.309822,113.924065",0,14,205
1757720167,2025-09-12T23:36:07Z,CPA334,"22.309345,113.92382",0,15,205
1757720174,2025-09-12T23:36:14Z,CPA334,"22.308926,113.923592",0,15,205
1757720181,2025-09-12T23:36:21Z,CPA334,"22.308542,113.923393",0,13,205
1757720188,2025-09-12T23:36:28Z,CPA334,"22.308275,113.923248",0,9,205
1757720194,2025-09-12T23:36:34Z,CPA334,"22.308037,113.923264",0,9,182
1757720198,2025-09-12T23:36:38Z,CPA334,"22.307833,113.923355",0,9,165
1757720205,2025-09-12T23:36:45Z,CPA334,"22.307579,113.923454",0,9,160
1757720209,2025-09-12T23:36:49Z,CPA334,"22.307379,113.92347",0,10,174
1757720214,2025-09-12T23:36:54Z,CPA334,"22.307167,113.923332",0,10,205
1757720219,2025-09-12T23:36:59Z,CPA334,"22.307064,113.923073",0,11,236
1757720224,2025-09-12T23:37:04Z,CPA334,"22.307007,113.922844",0,11,250
1757720228,2025-09-12T23:37:08Z,CPA334,"22.306925,113.922592",0,11,250
1757720233,2025-09-12T23:37:13Z,CPA334,"22.306843,113.922333",0,12,250
1757720237,2025-09-12T23:37:17Z,CPA334,"22.306749,113.922081",0,13,250
1757720244,2025-09-12T23:37:24Z,CPA334,"22.306622,113.921661",0,13,250
1757720254,2025-09-12T23:37:34Z,CPA334,"22.306389,113.920967",0,15,250
1757720261,2025-09-12T23:37:41Z,CPA334,"22.306229,113.920456",0,15,250
1757720269,2025-09-12T23:37:49Z,CPA334,"22.306046,113.919868",0,16,250
1757720276,2025-09-12T23:37:56Z,CPA334,"22.305866,113.91935",0,17,250
1757720282,2025-09-12T23:38:02Z,CPA334,"22.305679,113.918747",0,18,250
1757720289,2025-09-12T23:38:09Z,CPA334,"22.305481,113.918152",0,18,250
1757720296,2025-09-12T23:38:16Z,CPA334,"22.30526,113.917465",0,19,250
1757720303,2025-09-12T23:38:23Z,CPA334,"22.305098,113.916931",0,20,250
1757720311,2025-09-12T23:38:31Z,CPA334,"22.30481,113.916061",0,21,250
1757720318,2025-09-12T23:38:38Z,CPA334,"22.304573,113.915314",0,22,250
1757720326,2025-09-12T23:38:46Z,CPA334,"22.304283,113.914413",0,23,250
1757720334,2025-09-12T23:38:54Z,CPA334,"22.304039,113.913635",0,23,250
1757720340,2025-09-12T23:39:00Z,CPA334,"22.303768,113.912819",0,24,250
1757720347,2025-09-12T23:39:07Z,CPA334,"22.303503,113.911995",0,25,250
1757720354,2025-09-12T23:39:14Z,CPA334,"22.303253,113.911217",0,25,250
1757720361,2025-09-12T23:39:21Z,CPA334,"22.302967,113.910332",0,26,250
1757720369,2025-09-12T23:39:29Z,CPA334,"22.302641,113.909325",0,26,250
1757720377,2025-09-12T23:39:37Z,CPA334,"22.302349,113.908424",0,23,250
1757720384,2025-09-12T23:39:44Z,CPA334,"22.302132,113.907761",0,22,250
