Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757989082,2025-09-16T02:18:02Z,CPA954,"22.317829,113.930603",0,0,261
1757989124,2025-09-16T02:18:44Z,CPA954,"22.317863,113.930817",0,1,261
1757989145,2025-09-16T02:19:05Z,CPA954,"22.317888,113.931023",0,1,261
1757989175,2025-09-16T02:19:35Z,CPA954,"22.317957,113.931274",0,1,295
1757989199,2025-09-16T02:19:59Z,CPA954,"22.3179,113.93148",0,2,334
1757989552,2025-09-16T02:25:52Z,CPA954,"22.318119,113.931419",0,4,340
1757989562,2025-09-16T02:26:02Z,CPA954,"22.318359,113.931343",0,6,343
1757989577,2025-09-16T02:26:17Z,CPA954,"22.318737,113.930984",0,0,303
1757989586,2025-09-16T02:26:26Z,CPA954,"22.318691,113.930626",0,0,261
1757989595,2025-09-16T02:26:35Z,CPA954,"22.318586,113.930359",0,3,250
1757989656,2025-09-16T02:27:36Z,CPA954,"22.31852,113.930145",0,0,250
1757989672,2025-09-16T02:27:52Z,CPA954,"22.318365,113.929573",0,8,258
1757989679,2025-09-16T02:27:59Z,CPA954,"22.318462,113.929298",0,9,289
1757989687,2025-09-16T02:28:07Z,CPA954,"22.31876,113.929115",0,9,331
1757989696,2025-09-16T02:28:16Z,CPA954,"22.31897,113.928909",0,8,312
1757989701,2025-09-16T02:28:21Z,CPA954,"22.318989,113.928658",0,8,281
1757989714,2025-09-16T02:28:34Z,CPA954,"22.318842,113.9282",0,8,253
1757989728,2025-09-16T02:28:48Z,CPA954,"22.318668,113.927658",0,9,250
1757989733,2025-09-16T02:28:53Z,CPA954,"22.318598,113.927422",0,10,250
1757989744,2025-09-16T02:29:04Z,CPA954,"22.318411,113.926849",0,11,250
1757989753,2025-09-16T02:29:13Z,CPA954,"22.318245,113.926353",0,0,250
1757989759,2025-09-16T02:29:19Z,CPA954,"22.31811,113.925957",0,13,250
1757989766,2025-09-16T02:29:26Z,CPA954,"22.317968,113.925514",0,14,250
1757989774,2025-09-16T02:29:34Z,CPA954,"22.317806,113.925003",0,14,250
1757989780,2025-09-16T02:29:40Z,CPA954,"22.317684,113.924614",0,15,250
1757989787,2025-09-16T02:29:47Z,CPA954,"22.317513,113.924103",0,15,250
1757989802,2025-09-16T02:30:02Z,CPA954,"22.317146,113.922951",0,16,250
1757989814,2025-09-16T02:30:14Z,CPA954,"22.316837,113.921982",0,17,250
1757989822,2025-09-16T02:30:22Z,CPA954,"22.316595,113.921242",0,19,250
1757989832,2025-09-16T02:30:32Z,CPA954,"22.316288,113.920296",0,21,250
1757989840,2025-09-16T02:30:40Z,CPA954,"22.31605,113.919563",0,22,250
1757989847,2025-09-16T02:30:47Z,CPA954,"22.315792,113.918777",0,23,250
1757989856,2025-09-16T02:30:56Z,CPA954,"22.315464,113.917747",0,23,250
1757989862,2025-09-16T02:31:02Z,CPA954,"22.315201,113.916908",0,24,250
1757989869,2025-09-16T02:31:09Z,CPA954,"22.314955,113.916168",0,25,250
1757989877,2025-09-16T02:31:17Z,CPA954,"22.314629,113.915123",0,26,250
1757989884,2025-09-16T02:31:24Z,CPA954,"22.314331,113.91423",0,26,250
1757989893,2025-09-16T02:31:33Z,CPA954,"22.31399,113.91317",0,27,250
1757989900,2025-09-16T02:31:40Z,CPA954,"22.313686,113.912224",0,28,250
1757989906,2025-09-16T02:31:46Z,CPA954,"22.313393,113.911316",0,29,250
1757989913,2025-09-16T02:31:53Z,CPA954,"22.313116,113.910431",0,26,250
1757989922,2025-09-16T02:32:02Z,CPA954,"22.312895,113.90976",0,17,250
1757989931,2025-09-16T02:32:11Z,CPA954,"22.312696,113.909164",0,11,250
1757989937,2025-09-16T02:32:17Z,CPA954,"22.312592,113.908829",0,12,250
1757989944,2025-09-16T02:32:24Z,CPA954,"22.312475,113.90844",0,13,250
1757989953,2025-09-16T02:32:33Z,CPA954,"22.31226,113.907776",0,15,250
1757989964,2025-09-16T02:32:44Z,CPA954,"22.311996,113.90699",0,16,250
1757989972,2025-09-16T02:32:52Z,CPA954,"22.311779,113.906273",0,17,250
1757989979,2025-09-16T02:32:59Z,CPA954,"22.311581,113.905663",0,18,250
1757989986,2025-09-16T02:33:06Z,CPA954,"22.31139,113.905098",0,19,250
