Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757902014,2025-09-15T02:06:54Z,CPA986,"22.31407,113.924156",0,0,90
1757902072,2025-09-15T02:07:52Z,CPA986,"22.313837,113.924049",0,2,206
1757902111,2025-09-15T02:08:31Z,CPA986,"22.313644,113.923828",0,1,225
1757902160,2025-09-15T02:09:20Z,CPA986,"22.313232,113.923882",0,2,180
1757902195,2025-09-15T02:09:55Z,CPA986,"22.313,113.923897",0,2,153
1757902424,2025-09-15T02:13:44Z,CPA986,"22.313139,113.923592",0,3,303
1757902441,2025-09-15T02:14:01Z,CPA986,"22.313324,113.92318",0,5,300
1757902452,2025-09-15T02:14:12Z,CPA986,"22.313461,113.922829",0,7,293
1757902459,2025-09-15T02:14:19Z,CPA986,"22.313599,113.922577",0,8,296
1757902469,2025-09-15T02:14:29Z,CPA986,"22.313744,113.922173",0,10,299
1757902480,2025-09-15T02:14:40Z,CPA986,"22.314011,113.921631",0,11,296
1757902486,2025-09-15T02:14:46Z,CPA986,"22.314148,113.921333",0,9,293
1757902493,2025-09-15T02:14:53Z,CPA986,"22.314285,113.921028",0,7,293
1757902503,2025-09-15T02:15:03Z,CPA986,"22.314199,113.92128",0,9,293
1757902511,2025-09-15T02:15:11Z,CPA986,"22.314972,113.920685",0,10,338
1757902516,2025-09-15T02:15:16Z,CPA986,"22.315247,113.920586",0,11,340
1757902523,2025-09-15T02:15:23Z,CPA986,"22.315567,113.920479",0,12,341
1757902527,2025-09-15T02:15:27Z,CPA986,"22.315842,113.92038",0,12,341
1757902535,2025-09-15T02:15:35Z,CPA986,"22.316118,113.920288",0,7,326
1757902540,2025-09-15T02:15:40Z,CPA986,"22.316212,113.920082",0,8,284
1757902547,2025-09-15T02:15:47Z,CPA986,"22.316162,113.91983",0,7,254
1757902556,2025-09-15T02:15:56Z,CPA986,"22.316071,113.919586",0,6,251
1757902561,2025-09-15T02:16:01Z,CPA986,"22.316025,113.91938",0,7,254
1757902569,2025-09-15T02:16:09Z,CPA986,"22.315933,113.919136",0,8,249
1757902575,2025-09-15T02:16:15Z,CPA986,"22.315842,113.918884",0,8,249
1757902581,2025-09-15T02:16:21Z,CPA986,"22.315796,113.918633",0,8,249
1757902588,2025-09-15T02:16:28Z,CPA986,"22.315653,113.918304",0,9,251
1757902596,2025-09-15T02:16:36Z,CPA986,"22.315567,113.917938",0,10,253
1757902603,2025-09-15T02:16:43Z,CPA986,"22.31542,113.917595",0,10,248
1757902611,2025-09-15T02:16:51Z,CPA986,"22.315281,113.917183",0,11,250
1757902618,2025-09-15T02:16:58Z,CPA986,"22.315155,113.916786",0,12,251
1757902626,2025-09-15T02:17:06Z,CPA986,"22.315001,113.916267",0,13,252
1757902633,2025-09-15T02:17:13Z,CPA986,"22.314861,113.915863",0,13,248
1757902639,2025-09-15T02:17:19Z,CPA986,"22.314722,113.915352",0,14,250
1757902647,2025-09-15T02:17:27Z,CPA986,"22.31456,113.914886",0,15,251
1757902659,2025-09-15T02:17:39Z,CPA986,"22.31424,113.913887",0,17,249
1757902667,2025-09-15T02:17:47Z,CPA986,"22.314024,113.913216",0,18,250
1757902674,2025-09-15T02:17:54Z,CPA986,"22.313828,113.912643",0,18,251
1757902681,2025-09-15T02:18:01Z,CPA986,"22.313644,113.912041",0,20,249
1757902690,2025-09-15T02:18:10Z,CPA986,"22.313324,113.911095",0,21,250
1757902701,2025-09-15T02:18:21Z,CPA986,"22.313,113.910011",0,22,251
1757902707,2025-09-15T02:18:27Z,CPA986,"22.312767,113.909355",0,22,249
1757902715,2025-09-15T02:18:35Z,CPA986,"22.312487,113.908539",0,23,250
1757902721,2025-09-15T02:18:41Z,CPA986,"22.312254,113.907722",0,24,250
1757902731,2025-09-15T02:18:51Z,CPA986,"22.31193,113.906807",0,24,250
1757902739,2025-09-15T02:18:59Z,CPA986,"22.311604,113.905693",0,26,250
