Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757698100,2025-09-12T17:28:20Z,CPA998,"22.311918,113.926453",0,0,115
1757698150,2025-09-12T17:29:10Z,CPA998,"22.312065,113.926147",0,3,112
1757698167,2025-09-12T17:29:27Z,CPA998,"22.312162,113.925911",0,3,106
1757698185,2025-09-12T17:29:45Z,CPA998,"22.312231,113.925667",0,3,109
1757698205,2025-09-12T17:30:05Z,CPA998,"22.31229,113.925385",0,3,118
1757698232,2025-09-12T17:30:32Z,CPA998,"22.312477,113.925026",0,0,115
1757698492,2025-09-12T17:34:52Z,CPA998,"22.312035,113.925232",0,5,163
1757698501,2025-09-12T17:35:01Z,CPA998,"22.311813,113.925133",0,0,191
1757698507,2025-09-12T17:35:07Z,CPA998,"22.312325,113.925186",0,4,123
1757698519,2025-09-12T17:35:19Z,CPA998,"22.311348,113.92485",0,0,205
1757698530,2025-09-12T17:35:30Z,CPA998,"22.310932,113.924637",0,9,205
1757698537,2025-09-12T17:35:37Z,CPA998,"22.310684,113.924507",0,10,205
1757698545,2025-09-12T17:35:45Z,CPA998,"22.310299,113.924309",0,11,205
1757698553,2025-09-12T17:35:53Z,CPA998,"22.309925,113.924118",0,12,205
1757698560,2025-09-12T17:36:00Z,CPA998,"22.309536,113.923912",0,13,205
1757698567,2025-09-12T17:36:07Z,CPA998,"22.309147,113.923721",0,14,205
1757698575,2025-09-12T17:36:15Z,CPA998,"22.308723,113.923492",0,14,205
1757698582,2025-09-12T17:36:22Z,CPA998,"22.30838,113.923317",0,10,205
1757698588,2025-09-12T17:36:28Z,CPA998,"22.308174,113.923256",0,8,196
1757698594,2025-09-12T17:36:34Z,CPA998,"22.307961,113.923302",0,8,180
1757698600,2025-09-12T17:36:40Z,CPA998,"22.307751,113.923393",0,8,165
1757698607,2025-09-12T17:36:47Z,CPA998,"22.307499,113.923492",0,8,160
1757698612,2025-09-12T17:36:52Z,CPA998,"22.307262,113.923584",0,9,160
1757698618,2025-09-12T17:36:58Z,CPA998,"22.30703,113.923668",0,10,160
1757698625,2025-09-12T17:37:05Z,CPA998,"22.306732,113.923775",0,10,160
1757698630,2025-09-12T17:37:10Z,CPA998,"22.306503,113.92379",0,9,174
1757698637,2025-09-12T17:37:17Z,CPA998,"22.306273,113.923584",0,9,210
1757698643,2025-09-12T17:37:23Z,CPA998,"22.306194,113.923363",0,9,233
1757698647,2025-09-12T17:37:27Z,CPA998,"22.306145,113.923149",0,9,247
1757698652,2025-09-12T17:37:32Z,CPA998,"22.30608,113.922928",0,10,250
1757698659,2025-09-12T17:37:39Z,CPA998,"22.305994,113.922653",0,10,250
1757698662,2025-09-12T17:37:42Z,CPA998,"22.305912,113.922409",0,11,250
1757698667,2025-09-12T17:37:47Z,CPA998,"22.30583,113.922157",0,11,250
1757698672,2025-09-12T17:37:52Z,CPA998,"22.305748,113.92189",0,12,250
1757698675,2025-09-12T17:37:55Z,CPA998,"22.305679,113.921684",0,13,250
1757698683,2025-09-12T17:38:03Z,CPA998,"22.305517,113.921181",0,14,250
1757698690,2025-09-12T17:38:10Z,CPA998,"22.305359,113.92067",0,15,250
1757698698,2025-09-12T17:38:18Z,CPA998,"22.305176,113.920135",0,15,250
1757698704,2025-09-12T17:38:24Z,CPA998,"22.305027,113.919662",0,16,250
1757698711,2025-09-12T17:38:31Z,CPA998,"22.304853,113.919121",0,17,250
1757698718,2025-09-12T17:38:38Z,CPA998,"22.304632,113.918442",0,18,250
1757698725,2025-09-12T17:38:45Z,CPA998,"22.304445,113.917831",0,19,250
1757698732,2025-09-12T17:38:52Z,CPA998,"22.304237,113.917221",0,19,250
1757698740,2025-09-12T17:39:00Z,CPA998,"22.303997,113.916451",0,20,250
1757698748,2025-09-12T17:39:08Z,CPA998,"22.303734,113.915642",0,21,250
1757698756,2025-09-12T17:39:16Z,CPA998,"22.303482,113.914841",0,22,250
1757698763,2025-09-12T17:39:23Z,CPA998,"22.303207,113.914017",0,23,250
1757698770,2025-09-12T17:39:30Z,CPA998,"22.302967,113.913254",0,23,250
1757698777,2025-09-12T17:39:37Z,CPA998,"22.302704,113.912453",0,24,250
1757698784,2025-09-12T17:39:44Z,CPA998,"22.302444,113.911629",0,24,250
1757698791,2025-09-12T17:39:51Z,CPA998,"22.3022,113.910889",0,22,250
1757698798,2025-09-12T17:39:58Z,CPA998,"22.301979,113.910194",0,19,250
1757698806,2025-09-12T17:40:06Z,CPA998,"22.301777,113.909561",0,16,250
1757698813,2025-09-12T17:40:13Z,CPA998,"22.301641,113.909134",0,15,250
1757698822,2025-09-12T17:40:22Z,CPA998,"22.301445,113.908546",0,11,250
1757698829,2025-09-12T17:40:29Z,CPA998,"22.301338,113.908218",0,11,250
1757698836,2025-09-12T17:40:36Z,CPA998,"22.301228,113.907845",0,11,250
1757698843,2025-09-12T17:40:43Z,CPA998,"22.30109,113.907425",0,12,250
1757698850,2025-09-12T17:40:50Z,CPA998,"22.300941,113.90699",0,13,250
1757698857,2025-09-12T17:40:57Z,CPA998,"22.300802,113.906555",0,14,250
1757698864,2025-09-12T17:41:04Z,CPA998,"22.300655,113.906075",0,15,250
1757698871,2025-09-12T17:41:11Z,CPA998,"22.300501,113.905602",0,15,250
1757698878,2025-09-12T17:41:18Z,CPA998,"22.300325,113.905067",0,15,250
1757698886,2025-09-12T17:41:26Z,CPA998,"22.300152,113.904541",0,15,250
1757698893,2025-09-12T17:41:33Z,CPA998,"22.299988,113.904022",0,16,250
1757698899,2025-09-12T17:41:39Z,CPA998,"22.29982,113.903488",0,17,250
1757698906,2025-09-12T17:41:46Z,CPA998,"22.299627,113.902893",0,17,250
1757698913,2025-09-12T17:41:53Z,CPA998,"22.299429,113.902283",0,17,250
1757698920,2025-09-12T17:42:00Z,CPA998,"22.299267,113.901772",0,16,250
1757698928,2025-09-12T17:42:08Z,CPA998,"22.299088,113.90123",0,15,250
1757698935,2025-09-12T17:42:15Z,CPA998,"22.29895,113.90078",0,11,250
1757698943,2025-09-12T17:42:23Z,CPA998,"22.298813,113.900368",0,11,250
1757698950,2025-09-12T17:42:30Z,CPA998,"22.298685,113.899979",0,12,250
1757698958,2025-09-12T17:42:38Z,CPA998,"22.298527,113.899498",0,13,250
1757698965,2025-09-12T17:42:45Z,CPA998,"22.298378,113.899025",0,14,250
1757698973,2025-09-12T17:42:53Z,CPA998,"22.298241,113.898582",0,14,250
1757698982,2025-09-12T17:43:02Z,CPA998,"22.298056,113.898026",0,12,250
1757698989,2025-09-12T17:43:09Z,CPA998,"22.297916,113.89772",0,9,241
1757698998,2025-09-12T17:43:18Z,CPA998,"22.297623,113.897614",0,8,208
1757699004,2025-09-12T17:43:24Z,CPA998,"22.297371,113.897697",0,7,174
1757699012,2025-09-12T17:43:32Z,CPA998,"22.297142,113.897797",0,7,163
1757699019,2025-09-12T17:43:39Z,CPA998,"22.29694,113.897873",0,7,163
1757699027,2025-09-12T17:43:47Z,CPA998,"22.296694,113.897957",0,7,160
1757699036,2025-09-12T17:43:56Z,CPA998,"22.296467,113.898071",0,6,154
1757699048,2025-09-12T17:44:08Z,CPA998,"22.29631,113.8983",0,5,132
1757699057,2025-09-12T17:44:17Z,CPA998,"22.296329,113.898544",0,5,101
1757699065,2025-09-12T17:44:25Z,CPA998,"22.29641,113.898758",0,6,81
1757699076,2025-09-12T17:44:36Z,CPA998,"22.29657,113.899147",0,8,70
1757699083,2025-09-12T17:44:43Z,CPA998,"22.296684,113.899483",0,0,70
1757699094,2025-09-12T17:44:54Z,CPA998,"22.297161,113.900932",0,40,70
1757699097,2025-09-12T17:44:57Z,CPA998,"22.297485,113.901939",0,0,70
1757699105,2025-09-12T17:45:05Z,CPA998,"22.298561,113.905289",0,90,70
1757699112,2025-09-12T17:45:12Z,CPA998,"22.299728,113.908897",100,119,70
1757699119,2025-09-12T17:45:19Z,CPA998,"22.301102,113.913193",100,145,70
1757699125,2025-09-12T17:45:25Z,CPA998,"22.302658,113.918037",75,165,70
1757699134,2025-09-12T17:45:34Z,CPA998,"22.305267,113.926025",200,185,70
1757699141,2025-09-12T17:45:41Z,CPA998,"22.307041,113.931427",450,183,70
1757699150,2025-09-12T17:45:50Z,CPA998,"22.309433,113.938858",875,177,70
1757699156,2025-09-12T17:45:56Z,CPA998,"22.311081,113.943954",1150,176,70
1757699165,2025-09-12T17:46:05Z,CPA998,"22.313372,113.951012",1525,176,70
1757699171,2025-09-12T17:46:11Z,CPA998,"22.315142,113.956451",1800,176,70
1757699179,2025-09-12T17:46:19Z,CPA998,"22.317535,113.963928",1925,184,70
1757699188,2025-09-12T17:46:28Z,CPA998,"22.319796,113.971046",1975,191,71
1757699194,2025-09-12T17:46:34Z,CPA998,"22.321611,113.976692",2025,196,71
1757699202,2025-09-12T17:46:42Z,CPA998,"22.324219,113.984749",2100,205,70
1757699211,2025-09-12T17:46:51Z,CPA998,"22.32692,113.993195",2175,213,70
1757699219,2025-09-12T17:46:59Z,CPA998,"22.329849,114.002182",2325,220,70
1757699228,2025-09-12T17:47:08Z,CPA998,"22.332552,114.010468",2600,219,70
1757699234,2025-09-12T17:47:14Z,CPA998,"22.334927,114.017693",2825,217,70
1757699243,2025-09-12T17:47:23Z,CPA998,"22.337357,114.026497",3075,218,75
1757699245,2025-09-12T17:47:25Z,CPA998,"22.337769,114.028648",3150,216,78
1757699247,2025-09-12T17:47:27Z,CPA998,"22.338091,114.031319",3200,216,81
1757699249,2025-09-12T17:47:29Z,CPA998,"22.338278,114.032997",3250,216,83
1757699251,2025-09-12T17:47:31Z,CPA998,"22.338417,114.035698",3325,216,86
1757699253,2025-09-12T17:47:33Z,CPA998,"22.338409,114.037788",3375,216,88
1757699255,2025-09-12T17:47:35Z,CPA998,"22.338364,114.039932",3450,216,91
1757699258,2025-09-12T17:47:38Z,CPA998,"22.338181,114.04203",3500,215,93
1757699260,2025-09-12T17:47:40Z,CPA998,"22.337906,114.04438",3550,215,96
1757699262,2025-09-12T17:47:42Z,CPA998,"22.33754,114.046776",3625,215,99
1757699264,2025-09-12T17:47:44Z,CPA998,"22.336927,114.049431",3675,215,101
