Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758015551,2025-09-16T09:39:11Z,CPA938,"22.316242,113.930809",0,2,320
1758015580,2025-09-16T09:39:40Z,CPA938,"22.316013,113.930992",0,3,270
1758015891,2025-09-16T09:44:51Z,CPA938,"22.31583,113.930672",0,6,250
1758015900,2025-09-16T09:45:00Z,CPA938,"22.315727,113.930367",0,8,250
1758015912,2025-09-16T09:45:12Z,CPA938,"22.315578,113.929871",0,9,250
1758015931,2025-09-16T09:45:31Z,CPA938,"22.315269,113.928909",0,0,250
1758015945,2025-09-16T09:45:45Z,CPA938,"22.315001,113.928108",0,0,250
1758015955,2025-09-16T09:45:55Z,CPA938,"22.314978,113.927673",0,10,272
1758015960,2025-09-16T09:46:00Z,CPA938,"22.315094,113.927406",0,11,292
1758015968,2025-09-16T09:46:08Z,CPA938,"22.315269,113.927017",0,12,295
1758015974,2025-09-16T09:46:14Z,CPA938,"22.315386,113.926758",0,12,295
1758015988,2025-09-16T09:46:28Z,CPA938,"22.315784,113.925865",0,12,295
1758015997,2025-09-16T09:46:37Z,CPA938,"22.316013,113.925377",0,14,295
1758016004,2025-09-16T09:46:44Z,CPA938,"22.316223,113.924889",0,15,295
1758016011,2025-09-16T09:46:51Z,CPA938,"22.316414,113.924492",0,0,295
1758016018,2025-09-16T09:46:58Z,CPA938,"22.316561,113.924156",0,9,292
1758016023,2025-09-16T09:47:03Z,CPA938,"22.316584,113.923889",0,10,275
1758016031,2025-09-16T09:47:11Z,CPA938,"22.316456,113.923531",0,11,250
1758016036,2025-09-16T09:47:16Z,CPA938,"22.316351,113.923225",0,12,250
1758016040,2025-09-16T09:47:20Z,CPA938,"22.316288,113.922989",0,12,250
1758016044,2025-09-16T09:47:24Z,CPA938,"22.316212,113.922783",0,13,250
1758016055,2025-09-16T09:47:35Z,CPA938,"22.316002,113.922127",0,10,250
1758016062,2025-09-16T09:47:42Z,CPA938,"22.315922,113.921852",0,6,250
1758016101,2025-09-16T09:48:21Z,CPA938,"22.31583,113.921608",0,5,250
1758016109,2025-09-16T09:48:29Z,CPA938,"22.315773,113.921394",0,7,250
1758016115,2025-09-16T09:48:35Z,CPA938,"22.315676,113.921112",0,10,250
1758016124,2025-09-16T09:48:44Z,CPA938,"22.315578,113.92083",0,8,250
1758016128,2025-09-16T09:48:48Z,CPA938,"22.31535,113.920647",0,10,213
1758016133,2025-09-16T09:48:53Z,CPA938,"22.31513,113.92067",0,11,180
1758016139,2025-09-16T09:48:59Z,CPA938,"22.314846,113.920784",0,10,163
1758016152,2025-09-16T09:49:12Z,CPA938,"22.314314,113.920975",0,10,160
1758016158,2025-09-16T09:49:18Z,CPA938,"22.314034,113.921082",0,10,160
1758016164,2025-09-16T09:49:24Z,CPA938,"22.313793,113.921165",0,10,160
1758016170,2025-09-16T09:49:30Z,CPA938,"22.313524,113.92128",0,10,160
1758016178,2025-09-16T09:49:38Z,CPA938,"22.313175,113.92141",0,10,160
1758016188,2025-09-16T09:49:48Z,CPA938,"22.312729,113.92157",0,11,160
1758016197,2025-09-16T09:49:57Z,CPA938,"22.312267,113.921738",0,12,160
1758016205,2025-09-16T09:50:05Z,CPA938,"22.311859,113.92189",0,13,160
1758016213,2025-09-16T09:50:13Z,CPA938,"22.311394,113.922066",0,14,160
1758016219,2025-09-16T09:50:19Z,CPA938,"22.311033,113.922211",0,14,160
1758016229,2025-09-16T09:50:29Z,CPA938,"22.310404,113.922424",0,15,160
1758016236,2025-09-16T09:50:36Z,CPA938,"22.309902,113.922615",0,15,160
1758016243,2025-09-16T09:50:43Z,CPA938,"22.309376,113.922829",0,17,160
1758016251,2025-09-16T09:50:51Z,CPA938,"22.308735,113.923065",0,17,160
1758016258,2025-09-16T09:50:58Z,CPA938,"22.30822,113.923256",0,15,160
1758016265,2025-09-16T09:51:05Z,CPA938,"22.307867,113.923393",0,9,160
1758016272,2025-09-16T09:51:12Z,CPA938,"22.307577,113.92347",0,9,165
1758016277,2025-09-16T09:51:17Z,CPA938,"22.307373,113.923416",0,10,188
1758016283,2025-09-16T09:51:23Z,CPA938,"22.30718,113.923172",0,11,227
1758016288,2025-09-16T09:51:28Z,CPA938,"22.30711,113.922951",0,11,247
1758016293,2025-09-16T09:51:33Z,CPA938,"22.30703,113.922691",0,11,250
1758016297,2025-09-16T09:51:37Z,CPA938,"22.306961,113.92247",0,12,250
1758016301,2025-09-16T09:51:41Z,CPA938,"22.306892,113.922241",0,13,250
1758016307,2025-09-16T09:51:47Z,CPA938,"22.306761,113.921867",0,13,250
1758016316,2025-09-16T09:51:56Z,CPA938,"22.30661,113.921371",0,15,250
1758016323,2025-09-16T09:52:03Z,CPA938,"22.3064,113.920746",0,16,250
1758016330,2025-09-16T09:52:10Z,CPA938,"22.30624,113.920219",0,16,250
1758016338,2025-09-16T09:52:18Z,CPA938,"22.306023,113.919556",0,17,250
1758016345,2025-09-16T09:52:25Z,CPA938,"22.305817,113.918938",0,19,250
1758016351,2025-09-16T09:52:31Z,CPA938,"22.305645,113.918373",0,19,250
1758016359,2025-09-16T09:52:39Z,CPA938,"22.305412,113.917641",0,20,250
1758016365,2025-09-16T09:52:45Z,CPA938,"22.305187,113.916946",0,21,250
1758016373,2025-09-16T09:52:53Z,CPA938,"22.305361,113.917503",0,21,250
1758016387,2025-09-16T09:53:07Z,CPA938,"22.304411,113.914551",0,0,250
1758016395,2025-09-16T09:53:15Z,CPA938,"22.304131,113.913689",0,25,250
1758016402,2025-09-16T09:53:22Z,CPA938,"22.303848,113.912819",0,26,250
1758016411,2025-09-16T09:53:31Z,CPA938,"22.303574,113.911942",0,27,250
1758016418,2025-09-16T09:53:38Z,CPA938,"22.303207,113.910797",0,28,250
1758016424,2025-09-16T09:53:44Z,CPA938,"22.302933,113.909973",0,28,250
1758016431,2025-09-16T09:53:51Z,CPA938,"22.302607,113.908974",0,28,250
1758016438,2025-09-16T09:53:58Z,CPA938,"22.302315,113.908035",0,24,250
1758016446,2025-09-16T09:54:06Z,CPA938,"22.302074,113.90731",0,19,250
1758016454,2025-09-16T09:54:14Z,CPA938,"22.301874,113.906693",0,13,250
1758016461,2025-09-16T09:54:21Z,CPA938,"22.301765,113.906334",0,11,250
1758016469,2025-09-16T09:54:29Z,CPA938,"22.301617,113.905876",0,12,250
