Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757986647,2025-09-16T01:37:27Z,CPA970,"22.310612,113.926865",0,0,295
1757986729,2025-09-16T01:38:49Z,CPA970,"22.31052,113.927078",0,3,298
1757986742,2025-09-16T01:39:02Z,CPA970,"22.310427,113.927284",0,3,298
1757986763,2025-09-16T01:39:23Z,CPA970,"22.310268,113.927498",0,2,284
1757986781,2025-09-16T01:39:41Z,CPA970,"22.310148,113.927727",0,3,261
1757986796,2025-09-16T01:39:56Z,CPA970,"22.310091,113.927933",0,3,230
1757986813,2025-09-16T01:40:13Z,CPA970,"22.3102,113.928139",0,3,205
1757987158,2025-09-16T01:45:58Z,CPA970,"22.309959,113.928009",0,6,205
1757987174,2025-09-16T01:46:14Z,CPA970,"22.309547,113.927795",0,7,205
1757987182,2025-09-16T01:46:22Z,CPA970,"22.309263,113.927666",0,9,205
1757987189,2025-09-16T01:46:29Z,CPA970,"22.309008,113.927521",0,10,205
1757987198,2025-09-16T01:46:38Z,CPA970,"22.308588,113.927307",0,10,205
1757987211,2025-09-16T01:46:51Z,CPA970,"22.308266,113.92691",0,9,233
1757987216,2025-09-16T01:46:56Z,CPA970,"22.30822,113.926689",0,9,247
1757987221,2025-09-16T01:47:01Z,CPA970,"22.308163,113.92646",0,10,253
1757987231,2025-09-16T01:47:11Z,CPA970,"22.307995,113.925911",0,12,250
1757987234,2025-09-16T01:47:14Z,CPA970,"22.307926,113.92569",0,13,250
1757987238,2025-09-16T01:47:18Z,CPA970,"22.307856,113.925461",0,13,250
1757987242,2025-09-16T01:47:22Z,CPA970,"22.307762,113.925186",0,14,250
1757987250,2025-09-16T01:47:30Z,CPA970,"22.3076,113.92466",0,15,250
1757987257,2025-09-16T01:47:37Z,CPA970,"22.307453,113.924217",0,12,250
1757987264,2025-09-16T01:47:44Z,CPA970,"22.307356,113.923912",0,9,250
1757987269,2025-09-16T01:47:49Z,CPA970,"22.307344,113.92366",0,11,264
1757987274,2025-09-16T01:47:54Z,CPA970,"22.307487,113.923454",0,12,292
1757987278,2025-09-16T01:47:58Z,CPA970,"22.307705,113.923355",0,12,320
1757987283,2025-09-16T01:48:03Z,CPA970,"22.307968,113.923294",0,12,340
1757987287,2025-09-16T01:48:07Z,CPA970,"22.308174,113.923225",0,13,343
1757987291,2025-09-16T01:48:11Z,CPA970,"22.308392,113.923149",0,13,343
1757987295,2025-09-16T01:48:15Z,CPA970,"22.308681,113.92305",0,14,343
1757987298,2025-09-16T01:48:18Z,CPA970,"22.308891,113.922974",0,15,340
1757987306,2025-09-16T01:48:26Z,CPA970,"22.309391,113.922768",0,15,340
