Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757549250,2025-09-11T00:07:30Z,CPA257,"22.315153,113.923912",0,0,205
1757549334,2025-09-11T00:08:54Z,CPA257,"22.315372,113.924026",0,2,205
1757549353,2025-09-11T00:09:13Z,CPA257,"22.315584,113.924103",0,0,213
1757549378,2025-09-11T00:09:38Z,CPA257,"22.31584,113.924179",0,2,236
1757549407,2025-09-11T00:10:07Z,CPA257,"22.316082,113.9244",0,3,264
1757549433,2025-09-11T00:10:33Z,CPA257,"22.316212,113.92466",0,2,295
1757549456,2025-09-11T00:10:56Z,CPA257,"22.316118,113.924904",0,2,295
1757549734,2025-09-11T00:15:34Z,CPA257,"22.316282,113.924622",0,4,298
1757549749,2025-09-11T00:15:49Z,CPA257,"22.316563,113.924438",0,6,323
1757549758,2025-09-11T00:15:58Z,CPA257,"22.316803,113.924377",0,6,334
1757549766,2025-09-11T00:16:06Z,CPA257,"22.317015,113.924309",0,6,337
1757549773,2025-09-11T00:16:13Z,CPA257,"22.317215,113.924225",0,6,340
1757549783,2025-09-11T00:16:23Z,CPA257,"22.317398,113.924004",0,7,320
1757549788,2025-09-11T00:16:28Z,CPA257,"22.317423,113.923775",0,7,298
1757549796,2025-09-11T00:16:36Z,CPA257,"22.317364,113.923553",0,6,275
1757549805,2025-09-11T00:16:45Z,CPA257,"22.317284,113.923332",0,5,261
1757549821,2025-09-11T00:17:01Z,CPA257,"22.317131,113.922935",0,7,253
1757549830,2025-09-11T00:17:10Z,CPA257,"22.317032,113.922646",0,0,253
1757549839,2025-09-11T00:17:19Z,CPA257,"22.316933,113.922333",0,8,250
1757549847,2025-09-11T00:17:27Z,CPA257,"22.316828,113.921989",0,9,250
1757549855,2025-09-11T00:17:35Z,CPA257,"22.3167,113.921593",0,10,250
1757549862,2025-09-11T00:17:42Z,CPA257,"22.316584,113.921242",0,11,250
1757549869,2025-09-11T00:17:49Z,CPA257,"22.316471,113.920906",0,12,250
1757549876,2025-09-11T00:17:56Z,CPA257,"22.316334,113.920471",0,13,250
1757549884,2025-09-11T00:18:04Z,CPA257,"22.316177,113.919998",0,13,250
1757549891,2025-09-11T00:18:11Z,CPA257,"22.316038,113.919548",0,14,250
1757549898,2025-09-11T00:18:18Z,CPA257,"22.315874,113.919067",0,14,250
1757549904,2025-09-11T00:18:24Z,CPA257,"22.31575,113.918663",0,14,250
1757549911,2025-09-11T00:18:31Z,CPA257,"22.31559,113.918144",0,14,250
