Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757696656,2025-09-12T17:04:16Z,CPA233,"22.316906,113.928871",0,1,340
1757696717,2025-09-12T17:05:17Z,CPA233,"22.317123,113.928795",0,2,340
1757696731,2025-09-12T17:05:31Z,CPA233,"22.317341,113.928719",0,5,340
1757696743,2025-09-12T17:05:43Z,CPA233,"22.317667,113.928581",0,7,337
1757696751,2025-09-12T17:05:51Z,CPA233,"22.317833,113.928322",0,8,309
1757696759,2025-09-12T17:05:59Z,CPA233,"22.317806,113.927979",0,9,272
1757696768,2025-09-12T17:06:08Z,CPA233,"22.317696,113.927612",0,10,255
1757696783,2025-09-12T17:06:23Z,CPA233,"22.317446,113.926834",0,0,250
1757696788,2025-09-12T17:06:28Z,CPA233,"22.317364,113.926567",0,11,250
1757696794,2025-09-12T17:06:34Z,CPA233,"22.31727,113.9263",0,11,250
1757696803,2025-09-12T17:06:43Z,CPA233,"22.317131,113.925873",0,10,250
1757696811,2025-09-12T17:06:51Z,CPA233,"22.317038,113.925591",0,10,250
1757696821,2025-09-12T17:07:01Z,CPA233,"22.316837,113.924965",0,11,250
1757696828,2025-09-12T17:07:08Z,CPA233,"22.316723,113.924591",0,11,250
1757696836,2025-09-12T17:07:16Z,CPA233,"22.316643,113.924347",0,11,250
1757696842,2025-09-12T17:07:22Z,CPA233,"22.316479,113.923851",0,12,250
1757696849,2025-09-12T17:07:29Z,CPA233,"22.316374,113.923508",0,12,250
1757696856,2025-09-12T17:07:36Z,CPA233,"22.316219,113.923027",0,13,250
1757696870,2025-09-12T17:07:50Z,CPA233,"22.315933,113.922119",0,13,250
1757696879,2025-09-12T17:07:59Z,CPA233,"22.315781,113.921661",0,13,250
1757696886,2025-09-12T17:08:06Z,CPA233,"22.315641,113.921219",0,11,250
1757696893,2025-09-12T17:08:13Z,CPA233,"22.315502,113.92086",0,10,244
1757696899,2025-09-12T17:08:19Z,CPA233,"22.315292,113.920692",0,10,222
1757696902,2025-09-12T17:08:22Z,CPA233,"22.315086,113.920692",0,11,194
1757696909,2025-09-12T17:08:29Z,CPA233,"22.314768,113.920799",0,10,168
1757696916,2025-09-12T17:08:36Z,CPA233,"22.31448,113.920891",0,10,163
1757696924,2025-09-12T17:08:44Z,CPA233,"22.314148,113.921021",0,9,160
1757696931,2025-09-12T17:08:51Z,CPA233,"22.313885,113.921104",0,0,160
1757696936,2025-09-12T17:08:56Z,CPA233,"22.313675,113.921188",0,9,160
1757696942,2025-09-12T17:09:02Z,CPA233,"22.313461,113.921272",0,9,160
1757696951,2025-09-12T17:09:11Z,CPA233,"22.313049,113.921432",0,10,160
1757696957,2025-09-12T17:09:17Z,CPA233,"22.312767,113.921532",0,11,160
1757696964,2025-09-12T17:09:24Z,CPA233,"22.312395,113.921677",0,12,160
1757696972,2025-09-12T17:09:32Z,CPA233,"22.311998,113.921814",0,13,160
1757696978,2025-09-12T17:09:38Z,CPA233,"22.311567,113.921967",0,14,160
1757696986,2025-09-12T17:09:46Z,CPA233,"22.311081,113.922157",0,15,160
1757696993,2025-09-12T17:09:53Z,CPA233,"22.310577,113.92234",0,15,160
1757697001,2025-09-12T17:10:01Z,CPA233,"22.310028,113.922539",0,16,160
1757697008,2025-09-12T17:10:08Z,CPA233,"22.309536,113.922729",0,16,160
1757697015,2025-09-12T17:10:15Z,CPA233,"22.309044,113.92292",0,16,160
1757697022,2025-09-12T17:10:22Z,CPA233,"22.308517,113.923119",0,15,160
1757697029,2025-09-12T17:10:29Z,CPA233,"22.308111,113.923279",0,14,160
1757697036,2025-09-12T17:10:36Z,CPA233,"22.307728,113.923416",0,11,160
1757697041,2025-09-12T17:10:41Z,CPA233,"22.307518,113.92347",0,9,165
1757697046,2025-09-12T17:10:46Z,CPA233,"22.307308,113.923416",0,9,185
1757697053,2025-09-12T17:10:53Z,CPA233,"22.307123,113.923203",0,9,219
1757697058,2025-09-12T17:10:58Z,CPA233,"22.30703,113.922943",0,9,239
1757697064,2025-09-12T17:11:04Z,CPA233,"22.30695,113.922707",0,9,247
1757697069,2025-09-12T17:11:09Z,CPA233,"22.306881,113.92247",0,10,250
1757697074,2025-09-12T17:11:14Z,CPA233,"22.306808,113.922234",0,11,250
1757697080,2025-09-12T17:11:20Z,CPA233,"22.306715,113.921951",0,11,250
1757697086,2025-09-12T17:11:26Z,CPA233,"22.306564,113.921509",0,13,250
1757697095,2025-09-12T17:11:35Z,CPA233,"22.306366,113.920876",0,15,250
1757697102,2025-09-12T17:11:42Z,CPA233,"22.306204,113.920364",0,15,250
1757697109,2025-09-12T17:11:49Z,CPA233,"22.306057,113.919922",0,15,250
1757697117,2025-09-12T17:11:57Z,CPA233,"22.305855,113.919273",0,16,250
1757697124,2025-09-12T17:12:04Z,CPA233,"22.305668,113.918724",0,16,250
1757697131,2025-09-12T17:12:11Z,CPA233,"22.305496,113.918159",0,16,250
1757697138,2025-09-12T17:12:18Z,CPA233,"22.305307,113.917595",0,17,250
1757697146,2025-09-12T17:12:26Z,CPA233,"22.305084,113.916908",0,17,250
1757697153,2025-09-12T17:12:33Z,CPA233,"22.30489,113.91629",0,17,250
1757697160,2025-09-12T17:12:40Z,CPA233,"22.304701,113.915726",0,18,250
1757697167,2025-09-12T17:12:47Z,CPA233,"22.304539,113.915199",0,18,250
1757697174,2025-09-12T17:12:54Z,CPA233,"22.304329,113.914543",0,18,250
1757697181,2025-09-12T17:13:01Z,CPA233,"22.304123,113.913925",0,18,250
1757697188,2025-09-12T17:13:08Z,CPA233,"22.303928,113.913307",0,18,250
1757697195,2025-09-12T17:13:15Z,CPA233,"22.303701,113.912605",0,19,250
1757697201,2025-09-12T17:13:21Z,CPA233,"22.303516,113.912056",0,19,250
