Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757726151,2025-09-13T01:15:51Z,CPA580,"22.313885,113.927025",0,0,205
1757726241,2025-09-13T01:17:21Z,CPA580,"22.314102,113.927139",0,3,205
1757726266,2025-09-13T01:17:46Z,CPA580,"22.314411,113.927277",0,3,216
1757726288,2025-09-13T01:18:08Z,CPA580,"22.31464,113.927422",0,2,239
1757726308,2025-09-13T01:18:28Z,CPA580,"22.314789,113.92765",0,3,250
1757726335,2025-09-13T01:18:55Z,CPA580,"22.314909,113.928017",0,3,253
1757726716,2025-09-13T01:25:16Z,CPA580,"22.314873,113.92778",0,5,258
1757726729,2025-09-13T01:25:29Z,CPA580,"22.314972,113.927513",0,5,286
1757726738,2025-09-13T01:25:38Z,CPA580,"22.315109,113.927238",0,6,295
1757726746,2025-09-13T01:25:46Z,CPA580,"22.315199,113.927017",0,6,295
1757726758,2025-09-13T01:25:58Z,CPA580,"22.315386,113.92662",0,7,295
1757726765,2025-09-13T01:26:05Z,CPA580,"22.315479,113.926407",0,8,295
1757726775,2025-09-13T01:26:15Z,CPA580,"22.315647,113.92601",0,9,295
1757726787,2025-09-13T01:26:27Z,CPA580,"22.31591,113.925453",0,11,295
1757726794,2025-09-13T01:26:34Z,CPA580,"22.316071,113.925087",0,12,295
1757726803,2025-09-13T01:26:43Z,CPA580,"22.316294,113.924622",0,11,300
1757726814,2025-09-13T01:26:54Z,CPA580,"22.316853,113.92437",0,13,343
1757726818,2025-09-13T01:26:58Z,CPA580,"22.317085,113.924309",0,13,343
1757726823,2025-09-13T01:27:03Z,CPA580,"22.317329,113.924141",0,12,329
1757726828,2025-09-13T01:27:08Z,CPA580,"22.317434,113.923927",0,12,303
1757726831,2025-09-13T01:27:11Z,CPA580,"22.31741,113.923676",0,12,275
1757726838,2025-09-13T01:27:18Z,CPA580,"22.317318,113.92347",0,12,255
1757726842,2025-09-13T01:27:22Z,CPA580,"22.317192,113.923103",0,12,250
1757726853,2025-09-13T01:27:33Z,CPA580,"22.31698,113.922447",0,13,250
1757726857,2025-09-13T01:27:37Z,CPA580,"22.316883,113.922157",0,14,250
1757726861,2025-09-13T01:27:41Z,CPA580,"22.316816,113.921944",0,15,250
1757726863,2025-09-13T01:27:43Z,CPA580,"22.316746,113.92173",0,15,250
1757726871,2025-09-13T01:27:51Z,CPA580,"22.316551,113.921135",0,17,250
1757726880,2025-09-13T01:28:00Z,CPA580,"22.316299,113.920341",0,18,250
1757726887,2025-09-13T01:28:07Z,CPA580,"22.316128,113.919792",0,18,250
