Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758029708,2025-09-16T13:35:08Z,CPA448,"22.31706,113.929329",0,0,75
1758029730,2025-09-16T13:35:30Z,CPA448,"22.317055,113.929062",0,3,33
1758029929,2025-09-16T13:38:49Z,CPA448,"22.316849,113.928947",0,0,343
1758030050,2025-09-16T13:40:50Z,CPA448,"22.317108,113.928833",0,0,337
1758030061,2025-09-16T13:41:01Z,CPA448,"22.317318,113.928757",0,5,340
1758030070,2025-09-16T13:41:10Z,CPA448,"22.317547,113.928658",0,6,340
1758030077,2025-09-16T13:41:17Z,CPA448,"22.317747,113.928581",0,7,337
1758030084,2025-09-16T13:41:24Z,CPA448,"22.317924,113.928345",0,9,309
1758030093,2025-09-16T13:41:33Z,CPA448,"22.317877,113.927902",0,0,258
1758030106,2025-09-16T13:41:46Z,CPA448,"22.31765,113.927208",0,13,250
1758030110,2025-09-16T13:41:50Z,CPA448,"22.317558,113.926926",0,14,250
1758030119,2025-09-16T13:41:59Z,CPA448,"22.317398,113.926414",0,15,250
1758030129,2025-09-16T13:42:09Z,CPA448,"22.317112,113.925529",0,17,250
1758030138,2025-09-16T13:42:18Z,CPA448,"22.316906,113.924873",0,18,250
1758030144,2025-09-16T13:42:24Z,CPA448,"22.316723,113.924316",0,19,250
1758030153,2025-09-16T13:42:33Z,CPA448,"22.316437,113.923454",0,17,250
1758030160,2025-09-16T13:42:40Z,CPA448,"22.316242,113.922882",0,16,250
1758030169,2025-09-16T13:42:49Z,CPA448,"22.316048,113.922241",0,16,250
1758030177,2025-09-16T13:42:57Z,CPA448,"22.315842,113.921593",0,15,250
1758030186,2025-09-16T13:43:06Z,CPA448,"22.31567,113.921066",0,13,250
1758030191,2025-09-16T13:43:11Z,CPA448,"22.315559,113.920822",0,10,241
1758030197,2025-09-16T13:43:17Z,CPA448,"22.315338,113.920685",0,10,213
1758030201,2025-09-16T13:43:21Z,CPA448,"22.315121,113.920685",0,10,185
1758030213,2025-09-16T13:43:33Z,CPA448,"22.314594,113.920876",0,10,160
1758030219,2025-09-16T13:43:39Z,CPA448,"22.314291,113.92099",0,11,160
1758030227,2025-09-16T13:43:47Z,CPA448,"22.313896,113.921135",0,13,160
1758030231,2025-09-16T13:43:51Z,CPA448,"22.313633,113.921234",0,14,160
1758030235,2025-09-16T13:43:55Z,CPA448,"22.313408,113.921318",0,14,160
1758030244,2025-09-16T13:44:04Z,CPA448,"22.312767,113.921562",0,15,160
1758030251,2025-09-16T13:44:11Z,CPA448,"22.312267,113.921738",0,16,160
1758030258,2025-09-16T13:44:18Z,CPA448,"22.311836,113.921906",0,17,160
1758030267,2025-09-16T13:44:27Z,CPA448,"22.311172,113.922157",0,17,160
1758030280,2025-09-16T13:44:40Z,CPA448,"22.310097,113.922554",0,15,160
1758030287,2025-09-16T13:44:47Z,CPA448,"22.309673,113.922707",0,14,160
1758030295,2025-09-16T13:44:55Z,CPA448,"22.309217,113.922882",0,14,160
1758030302,2025-09-16T13:45:02Z,CPA448,"22.308764,113.923058",0,15,160
1758030310,2025-09-16T13:45:10Z,CPA448,"22.30825,113.923248",0,14,160
1758030318,2025-09-16T13:45:18Z,CPA448,"22.307785,113.923416",0,12,160
1758030322,2025-09-16T13:45:22Z,CPA448,"22.307579,113.92347",0,10,168
1758030327,2025-09-16T13:45:27Z,CPA448,"22.307362,113.923393",0,10,194
1758030332,2025-09-16T13:45:32Z,CPA448,"22.307201,113.92318",0,11,227
1758030337,2025-09-16T13:45:37Z,CPA448,"22.307123,113.922958",0,11,244
1758030340,2025-09-16T13:45:40Z,CPA448,"22.307064,113.922752",0,12,250
1758030345,2025-09-16T13:45:45Z,CPA448,"22.306984,113.922516",0,12,250
1758030348,2025-09-16T13:45:48Z,CPA448,"22.306915,113.922302",0,13,250
1758030352,2025-09-16T13:45:52Z,CPA448,"22.306847,113.922081",0,13,250
1758030360,2025-09-16T13:46:00Z,CPA448,"22.306698,113.921616",0,15,250
1758030369,2025-09-16T13:46:09Z,CPA448,"22.306423,113.920792",0,16,250
1758030376,2025-09-16T13:46:16Z,CPA448,"22.306263,113.920296",0,15,250
1758030383,2025-09-16T13:46:23Z,CPA448,"22.306122,113.919846",0,14,250
1758030391,2025-09-16T13:46:31Z,CPA448,"22.305943,113.919319",0,12,250
1758030398,2025-09-16T13:46:38Z,CPA448,"22.30584,113.918983",0,11,250
1758030406,2025-09-16T13:46:46Z,CPA448,"22.305691,113.918549",0,12,250
1758030413,2025-09-16T13:46:53Z,CPA448,"22.305552,113.918098",0,13,250
1758030420,2025-09-16T13:47:00Z,CPA448,"22.305416,113.917671",0,14,250
1758030427,2025-09-16T13:47:07Z,CPA448,"22.305302,113.917297",0,15,250
1758030438,2025-09-16T13:47:18Z,CPA448,"22.304958,113.916237",0,17,250
1758030450,2025-09-16T13:47:30Z,CPA448,"22.304621,113.915192",0,19,250
1758030457,2025-09-16T13:47:37Z,CPA448,"22.304411,113.914543",0,0,250
