Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757730469,2025-09-13T02:27:49Z,CPA506,"22.311232,113.927177",0,0,295
1757730582,2025-09-13T02:29:42Z,CPA506,"22.311138,113.927399",0,3,295
1757730603,2025-09-13T02:30:03Z,CPA506,"22.31101,113.927689",0,3,295
1757730622,2025-09-13T02:30:22Z,CPA506,"22.310806,113.927895",0,3,270
1757730640,2025-09-13T02:30:40Z,CPA506,"22.310661,113.928108",0,3,236
1757730655,2025-09-13T02:30:55Z,CPA506,"22.310726,113.928337",0,4,213
1757730674,2025-09-13T02:31:14Z,CPA506,"22.310898,113.928551",0,3,196
1757730690,2025-09-13T02:31:30Z,CPA506,"22.31115,113.928581",0,3,208
1757730705,2025-09-13T02:31:45Z,CPA506,"22.311359,113.928665",0,4,219
1757730718,2025-09-13T02:31:58Z,CPA506,"22.311584,113.928757",0,3,236
1757730736,2025-09-13T02:32:16Z,CPA506,"22.311756,113.92897",0,3,253
1757730751,2025-09-13T02:32:31Z,CPA506,"22.311813,113.929184",0,3,253
1757730950,2025-09-13T02:35:50Z,CPA506,"22.311697,113.928963",0,5,244
1757730963,2025-09-13T02:36:03Z,CPA506,"22.311413,113.928772",0,6,222
1757730974,2025-09-13T02:36:14Z,CPA506,"22.311138,113.92865",0,8,210
1757730981,2025-09-13T02:36:21Z,CPA506,"22.310858,113.928505",0,9,208
1757730987,2025-09-13T02:36:27Z,CPA506,"22.310635,113.928383",0,10,205
1757730990,2025-09-13T02:36:30Z,CPA506,"22.310427,113.928284",0,11,205
1757730996,2025-09-13T02:36:36Z,CPA506,"22.310148,113.928131",0,12,205
1757731006,2025-09-13T02:36:46Z,CPA506,"22.309639,113.927872",0,13,205
1757731014,2025-09-13T02:36:54Z,CPA506,"22.309227,113.92765",0,12,205
1757731020,2025-09-13T02:37:00Z,CPA506,"22.308962,113.927513",0,10,205
1757731027,2025-09-13T02:37:07Z,CPA506,"22.308681,113.927368",0,9,205
1757731035,2025-09-13T02:37:15Z,CPA506,"22.308392,113.927177",0,10,210
1757731041,2025-09-13T02:37:21Z,CPA506,"22.308266,113.926933",0,11,230
1757731045,2025-09-13T02:37:25Z,CPA506,"22.308197,113.926697",0,11,241
1757731050,2025-09-13T02:37:30Z,CPA506,"22.308147,113.926468",0,11,250
1757731054,2025-09-13T02:37:34Z,CPA506,"22.308065,113.926216",0,11,250
1757731059,2025-09-13T02:37:39Z,CPA506,"22.307983,113.925957",0,12,250
1757731063,2025-09-13T02:37:43Z,CPA506,"22.307911,113.925713",0,12,250
1757731070,2025-09-13T02:37:50Z,CPA506,"22.307774,113.925278",0,13,250
1757731077,2025-09-13T02:37:57Z,CPA506,"22.307611,113.924812",0,14,250
1757731084,2025-09-13T02:38:04Z,CPA506,"22.307476,113.924377",0,13,250
1757731091,2025-09-13T02:38:11Z,CPA506,"22.307356,113.924004",0,9,250
1757731096,2025-09-13T02:38:16Z,CPA506,"22.30735,113.923752",0,11,261
1757731102,2025-09-13T02:38:22Z,CPA506,"22.307465,113.923515",0,12,284
1757731106,2025-09-13T02:38:26Z,CPA506,"22.30768,113.923378",0,10,309
1757731111,2025-09-13T02:38:31Z,CPA506,"22.307888,113.923317",0,10,329
1757731116,2025-09-13T02:38:36Z,CPA506,"22.308094,113.923256",0,10,337
1757731121,2025-09-13T02:38:41Z,CPA506,"22.308332,113.923172",0,11,340
1757731126,2025-09-13T02:38:46Z,CPA506,"22.308601,113.923088",0,11,340
1757731131,2025-09-13T02:38:51Z,CPA506,"22.308821,113.922997",0,12,340
1757731139,2025-09-13T02:38:59Z,CPA506,"22.309216,113.922852",0,13,340
1757731146,2025-09-13T02:39:06Z,CPA506,"22.309612,113.922707",0,13,340
1757731153,2025-09-13T02:39:13Z,CPA506,"22.31002,113.922554",0,13,340
1757731160,2025-09-13T02:39:20Z,CPA506,"22.310392,113.922409",0,13,340
1757731167,2025-09-13T02:39:27Z,CPA506,"22.310858,113.922234",0,14,340
1757731175,2025-09-13T02:39:35Z,CPA506,"22.311264,113.922081",0,14,340
1757731182,2025-09-13T02:39:42Z,CPA506,"22.311754,113.921906",0,14,340
1757731190,2025-09-13T02:39:50Z,CPA506,"22.312237,113.92173",0,15,340
1757731197,2025-09-13T02:39:57Z,CPA506,"22.312729,113.921547",0,15,340
1757731205,2025-09-13T02:40:05Z,CPA506,"22.313324,113.921318",0,16,340
1757731212,2025-09-13T02:40:12Z,CPA506,"22.31378,113.92115",0,16,340
1757731219,2025-09-13T02:40:19Z,CPA506,"22.314291,113.920959",0,15,340
1757731229,2025-09-13T02:40:29Z,CPA506,"22.314938,113.920723",0,14,340
1757731240,2025-09-13T02:40:40Z,CPA506,"22.315502,113.920517",0,9,340
1757731247,2025-09-13T02:40:47Z,CPA506,"22.315784,113.92041",0,10,340
1757731255,2025-09-13T02:40:55Z,CPA506,"22.316095,113.920197",0,12,329
1757731260,2025-09-13T02:41:00Z,CPA506,"22.316177,113.919968",0,12,306
1757731262,2025-09-13T02:41:02Z,CPA506,"22.316128,113.919708",0,11,281
1757731267,2025-09-13T02:41:07Z,CPA506,"22.316025,113.919495",0,11,261
1757731272,2025-09-13T02:41:12Z,CPA506,"22.31592,113.919273",0,11,253
1757731277,2025-09-13T02:41:17Z,CPA506,"22.31583,113.918968",0,12,250
1757731282,2025-09-13T02:41:22Z,CPA506,"22.315758,113.918747",0,12,250
1757731286,2025-09-13T02:41:26Z,CPA506,"22.315687,113.918495",0,12,250
1757731293,2025-09-13T02:41:33Z,CPA506,"22.315559,113.91806",0,13,250
1757731300,2025-09-13T02:41:40Z,CPA506,"22.315443,113.917671",0,14,250
1757731307,2025-09-13T02:41:47Z,CPA506,"22.315269,113.917175",0,14,250
1757731314,2025-09-13T02:41:54Z,CPA506,"22.315121,113.916672",0,15,250
1757731322,2025-09-13T02:42:02Z,CPA506,"22.314943,113.916153",0,15,250
1757731329,2025-09-13T02:42:09Z,CPA506,"22.314745,113.915543",0,16,250
1757731342,2025-09-13T02:42:22Z,CPA506,"22.3144,113.91449",0,18,250
1757731351,2025-09-13T02:42:31Z,CPA506,"22.314148,113.913681",0,19,250
1757731363,2025-09-13T02:42:43Z,CPA506,"22.313791,113.91256",0,20,250
1757731376,2025-09-13T02:42:56Z,CPA506,"22.313383,113.911263",0,22,250
1757731387,2025-09-13T02:43:07Z,CPA506,"22.313072,113.910316",0,23,250
1757731394,2025-09-13T02:43:14Z,CPA506,"22.312706,113.909172",0,24,250
1757731401,2025-09-13T02:43:21Z,CPA506,"22.312452,113.908401",0,24,250
1757731409,2025-09-13T02:43:29Z,CPA506,"22.312185,113.907562",0,25,250
1757731418,2025-09-13T02:43:38Z,CPA506,"22.312099,113.907288",0,25,250
1757731426,2025-09-13T02:43:46Z,CPA506,"22.311539,113.905525",0,21,250
1757731433,2025-09-13T02:43:53Z,CPA506,"22.311298,113.904816",0,18,250
1757731441,2025-09-13T02:44:01Z,CPA506,"22.311092,113.904175",0,15,250
1757731449,2025-09-13T02:44:09Z,CPA506,"22.310928,113.903656",0,15,250
1757731456,2025-09-13T02:44:16Z,CPA506,"22.310741,113.903084",0,15,250
1757731466,2025-09-13T02:44:26Z,CPA506,"22.310509,113.902351",0,16,250
1757731473,2025-09-13T02:44:33Z,CPA506,"22.310371,113.901917",0,16,250
1757731482,2025-09-13T02:44:42Z,CPA506,"22.310097,113.901085",0,17,250
1757731490,2025-09-13T02:44:50Z,CPA506,"22.309893,113.900429",0,18,250
1757731498,2025-09-13T02:44:58Z,CPA506,"22.309671,113.89978",0,14,250
