Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757729355,2025-09-13T02:09:15Z,CPA536,"22.314571,113.925499",0,0,205
1757729384,2025-09-13T02:09:44Z,CPA536,"22.314943,113.92569",0,0,205
1757729398,2025-09-13T02:09:58Z,CPA536,"22.315165,113.92572",0,4,225
1757729412,2025-09-13T02:10:12Z,CPA536,"22.315372,113.925827",0,3,247
1757729432,2025-09-13T02:10:32Z,CPA536,"22.315584,113.926064",0,3,289
1757729458,2025-09-13T02:10:58Z,CPA536,"22.315521,113.9263",0,1,295
1757729730,2025-09-13T02:15:30Z,CPA536,"22.315624,113.926079",0,3,295
1757729747,2025-09-13T02:15:47Z,CPA536,"22.315735,113.925835",0,4,295
1757729759,2025-09-13T02:15:59Z,CPA536,"22.315851,113.925568",0,5,295
1757729781,2025-09-13T02:16:21Z,CPA536,"22.31613,113.924957",0,7,295
1757729788,2025-09-13T02:16:28Z,CPA536,"22.316254,113.92469",0,8,298
1757729796,2025-09-13T02:16:36Z,CPA536,"22.316467,113.924484",0,9,312
1757729802,2025-09-13T02:16:42Z,CPA536,"22.316734,113.9244",0,10,334
1757729806,2025-09-13T02:16:46Z,CPA536,"22.31694,113.924355",0,10,340
1757729811,2025-09-13T02:16:51Z,CPA536,"22.317158,113.924278",0,10,340
1757729817,2025-09-13T02:16:57Z,CPA536,"22.317364,113.924156",0,10,331
1757729821,2025-09-13T02:17:01Z,CPA536,"22.317455,113.92395",0,10,312
1757729825,2025-09-13T02:17:05Z,CPA536,"22.317446,113.923737",0,10,286
1757729830,2025-09-13T02:17:10Z,CPA536,"22.317375,113.923515",0,9,267
1757729837,2025-09-13T02:17:17Z,CPA536,"22.317261,113.923294",0,9,250
1757729846,2025-09-13T02:17:26Z,CPA536,"22.317112,113.922882",0,9,250
1757729852,2025-09-13T02:17:32Z,CPA536,"22.317038,113.922615",0,10,250
1757729860,2025-09-13T02:17:40Z,CPA536,"22.316944,113.92231",0,10,250
1757729862,2025-09-13T02:17:42Z,CPA536,"22.316872,113.922058",0,11,250
1757729869,2025-09-13T02:17:49Z,CPA536,"22.316769,113.921745",0,12,250
1757729878,2025-09-13T02:17:58Z,CPA536,"22.316563,113.92112",0,14,250
1757729886,2025-09-13T02:18:06Z,CPA536,"22.316402,113.920609",0,15,250
1757729896,2025-09-13T02:18:16Z,CPA536,"22.31613,113.919792",0,16,250
1757729903,2025-09-13T02:18:23Z,CPA536,"22.315956,113.919243",0,17,250
1757729911,2025-09-13T02:18:31Z,CPA536,"22.315762,113.918633",0,16,250
1757729918,2025-09-13T02:18:38Z,CPA536,"22.315578,113.91806",0,15,250
1757729925,2025-09-13T02:18:45Z,CPA536,"22.315432,113.917603",0,14,250
1757729933,2025-09-13T02:18:53Z,CPA536,"22.315247,113.917023",0,15,250
1757729939,2025-09-13T02:18:59Z,CPA536,"22.315086,113.916534",0,15,250
1757729946,2025-09-13T02:19:06Z,CPA536,"22.314915,113.916023",0,16,250
1757729953,2025-09-13T02:19:13Z,CPA536,"22.314754,113.915535",0,17,250
1757729962,2025-09-13T02:19:22Z,CPA536,"22.314535,113.914818",0,18,250
