Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758017660,2025-09-16T10:14:20Z,CPA402,"22.312855,113.928337",0,0,340
1758017716,2025-09-16T10:15:16Z,CPA402,"22.312639,113.928429",0,2,340
1758017733,2025-09-16T10:15:33Z,CPA402,"22.312431,113.928474",0,2,331
1758017754,2025-09-16T10:15:54Z,CPA402,"22.312208,113.928551",0,2,312
1758017777,2025-09-16T10:16:17Z,CPA402,"22.311998,113.92868",0,2,284
1758017797,2025-09-16T10:16:37Z,CPA402,"22.311928,113.928894",0,2,275
1758017817,2025-09-16T10:16:57Z,CPA402,"22.311859,113.929115",0,2,250
1758017836,2025-09-16T10:17:16Z,CPA402,"22.311928,113.929321",0,2,250
1758018021,2025-09-16T10:20:21Z,CPA402,"22.311871,113.929108",0,4,250
1758018032,2025-09-16T10:20:32Z,CPA402,"22.311672,113.928886",0,7,230
1758018038,2025-09-16T10:20:38Z,CPA402,"22.311464,113.92878",0,7,213
1758018044,2025-09-16T10:20:44Z,CPA402,"22.311255,113.92868",0,8,208
1758018050,2025-09-16T10:20:50Z,CPA402,"22.311045,113.928566",0,10,208
1758018056,2025-09-16T10:20:56Z,CPA402,"22.310829,113.928444",0,11,205
1758018068,2025-09-16T10:21:08Z,CPA402,"22.310148,113.928093",0,13,205
1758018080,2025-09-16T10:21:20Z,CPA402,"22.309416,113.927727",0,15,205
1758018091,2025-09-16T10:21:31Z,CPA402,"22.30867,113.92733",0,13,205
1758018100,2025-09-16T10:21:40Z,CPA402,"22.308414,113.927101",0,9,222
1758018105,2025-09-16T10:21:45Z,CPA402,"22.308323,113.926865",0,10,239
1758018113,2025-09-16T10:21:53Z,CPA402,"22.30822,113.926422",0,11,253
1758018118,2025-09-16T10:21:58Z,CPA402,"22.308319,113.926857",0,10,239
1758018124,2025-09-16T10:22:04Z,CPA402,"22.308014,113.925774",0,13,250
1758018128,2025-09-16T10:22:08Z,CPA402,"22.307949,113.925568",0,14,250
1758018131,2025-09-16T10:22:11Z,CPA402,"22.307867,113.925346",0,14,250
1758018134,2025-09-16T10:22:14Z,CPA402,"22.307785,113.925095",0,15,250
1758018141,2025-09-16T10:22:21Z,CPA402,"22.307634,113.924622",0,15,250
1758018148,2025-09-16T10:22:28Z,CPA402,"22.307442,113.924026",0,16,250
1758018155,2025-09-16T10:22:35Z,CPA402,"22.307259,113.923454",0,18,250
1758018163,2025-09-16T10:22:43Z,CPA402,"22.307053,113.922806",0,19,250
1758018170,2025-09-16T10:22:50Z,CPA402,"22.306812,113.922066",0,20,250
1758018178,2025-09-16T10:22:58Z,CPA402,"22.306553,113.921257",0,22,250
1758018185,2025-09-16T10:23:05Z,CPA402,"22.306286,113.920433",0,23,250
1758018192,2025-09-16T10:23:12Z,CPA402,"22.306046,113.919647",0,24,250
1758018199,2025-09-16T10:23:19Z,CPA402,"22.305771,113.918823",0,25,250
1758018206,2025-09-16T10:23:26Z,CPA402,"22.305496,113.917976",0,26,250
1758018213,2025-09-16T10:23:33Z,CPA402,"22.305214,113.917099",0,27,250
1758018221,2025-09-16T10:23:41Z,CPA402,"22.304867,113.916039",0,28,250
1758018227,2025-09-16T10:23:47Z,CPA402,"22.304661,113.915367",0,23,250
1758018234,2025-09-16T10:23:54Z,CPA402,"22.304434,113.914665",0,17,250
1758018242,2025-09-16T10:24:02Z,CPA402,"22.304283,113.9142",0,13,250
1758018249,2025-09-16T10:24:09Z,CPA402,"22.304178,113.913864",0,11,250
1758018256,2025-09-16T10:24:16Z,CPA402,"22.304054,113.91349",0,12,250
1758018262,2025-09-16T10:24:22Z,CPA402,"22.303917,113.913094",0,13,250
1758018269,2025-09-16T10:24:29Z,CPA402,"22.30377,113.912636",0,14,250
