Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757668922,2025-09-12T09:22:02Z,CPA647,"22.314812,113.926552",0,0,210
1757668940,2025-09-12T09:22:20Z,CPA647,"22.315037,113.926567",0,2,241
1757668960,2025-09-12T09:22:40Z,CPA647,"22.315247,113.926697",0,3,281
1757668984,2025-09-12T09:23:04Z,CPA647,"22.315235,113.92691",0,2,295
1757669286,2025-09-12T09:28:06Z,CPA647,"22.315407,113.926491",0,4,295
1757669298,2025-09-12T09:28:18Z,CPA647,"22.31551,113.926247",0,4,295
1757669315,2025-09-12T09:28:35Z,CPA647,"22.315687,113.925896",0,5,295
1757669323,2025-09-12T09:28:43Z,CPA647,"22.315781,113.92569",0,6,295
1757669337,2025-09-12T09:28:57Z,CPA647,"22.315956,113.925301",0,0,295
1757669346,2025-09-12T09:29:06Z,CPA647,"22.316071,113.925041",0,7,295
1757669355,2025-09-12T09:29:15Z,CPA647,"22.3162,113.924751",0,7,295
1757669362,2025-09-12T09:29:22Z,CPA647,"22.316299,113.92453",0,7,295
1757669369,2025-09-12T09:29:29Z,CPA647,"22.316391,113.924316",0,7,295
1757669376,2025-09-12T09:29:36Z,CPA647,"22.316467,113.924049",0,8,289
1757669381,2025-09-12T09:29:41Z,CPA647,"22.316448,113.923828",0,9,275
1757669387,2025-09-12T09:29:47Z,CPA647,"22.316387,113.923584",0,9,261
1757669392,2025-09-12T09:29:52Z,CPA647,"22.316311,113.923363",0,10,255
1757669396,2025-09-12T09:29:56Z,CPA647,"22.316231,113.923157",0,10,250
1757669401,2025-09-12T09:30:01Z,CPA647,"22.316154,113.922943",0,10,250
1757669405,2025-09-12T09:30:05Z,CPA647,"22.316082,113.922714",0,11,250
1757669411,2025-09-12T09:30:11Z,CPA647,"22.316002,113.922447",0,11,250
1757669420,2025-09-12T09:30:20Z,CPA647,"22.315853,113.921989",0,11,250
1757669428,2025-09-12T09:30:28Z,CPA647,"22.315704,113.921532",0,12,250
1757669434,2025-09-12T09:30:34Z,CPA647,"22.31559,113.921165",0,11,250
1757669441,2025-09-12T09:30:41Z,CPA647,"22.315491,113.92086",0,9,250
1757669448,2025-09-12T09:30:48Z,CPA647,"22.315315,113.920654",0,10,233
1757669452,2025-09-12T09:30:52Z,CPA647,"22.315086,113.920631",0,11,205
1757669457,2025-09-12T09:30:57Z,CPA647,"22.31488,113.920708",0,10,180
1757669465,2025-09-12T09:31:05Z,CPA647,"22.314583,113.92086",0,9,163
1757669471,2025-09-12T09:31:11Z,CPA647,"22.31435,113.920952",0,8,160
1757669480,2025-09-12T09:31:20Z,CPA647,"22.31407,113.921051",0,7,160
1757669488,2025-09-12T09:31:28Z,CPA647,"22.31385,113.921143",0,6,160
1757669495,2025-09-12T09:31:35Z,CPA647,"22.313644,113.921219",0,6,160
1757669504,2025-09-12T09:31:44Z,CPA647,"22.313438,113.921295",0,5,160
1757669514,2025-09-12T09:31:54Z,CPA647,"22.31321,113.921379",0,5,160
1757669523,2025-09-12T09:32:03Z,CPA647,"22.312988,113.921455",0,6,160
1757669530,2025-09-12T09:32:10Z,CPA647,"22.312767,113.921547",0,7,160
1757669538,2025-09-12T09:32:18Z,CPA647,"22.312523,113.921638",0,8,160
1757669545,2025-09-12T09:32:25Z,CPA647,"22.312248,113.92173",0,10,160
1757669552,2025-09-12T09:32:32Z,CPA647,"22.311941,113.921852",0,11,160
1757669560,2025-09-12T09:32:40Z,CPA647,"22.311573,113.921982",0,12,160
1757669566,2025-09-12T09:32:46Z,CPA647,"22.311255,113.922104",0,12,160
1757669573,2025-09-12T09:32:53Z,CPA647,"22.310823,113.922256",0,12,160
1757669580,2025-09-12T09:33:00Z,CPA647,"22.310463,113.922401",0,13,160
1757669588,2025-09-12T09:33:08Z,CPA647,"22.310032,113.922554",0,13,160
1757669595,2025-09-12T09:33:15Z,CPA647,"22.309649,113.922707",0,13,160
1757669602,2025-09-12T09:33:22Z,CPA647,"22.309227,113.922852",0,13,160
1757669610,2025-09-12T09:33:30Z,CPA647,"22.308792,113.923019",0,14,160
1757669616,2025-09-12T09:33:36Z,CPA647,"22.308392,113.923172",0,14,160
1757669623,2025-09-12T09:33:43Z,CPA647,"22.30798,113.923332",0,13,160
1757669631,2025-09-12T09:33:51Z,CPA647,"22.307611,113.92347",0,9,160
1757669637,2025-09-12T09:33:57Z,CPA647,"22.307367,113.923515",0,9,165
1757669643,2025-09-12T09:34:03Z,CPA647,"22.30711,113.923363",0,10,196
1757669649,2025-09-12T09:34:09Z,CPA647,"22.307007,113.923126",0,9,227
1757669654,2025-09-12T09:34:14Z,CPA647,"22.306973,113.92292",0,9,244
1757669659,2025-09-12T09:34:19Z,CPA647,"22.306913,113.922668",0,10,250
1757669664,2025-09-12T09:34:24Z,CPA647,"22.306831,113.922401",0,11,253
1757669668,2025-09-12T09:34:28Z,CPA647,"22.306767,113.922157",0,12,253
1757669672,2025-09-12T09:34:32Z,CPA647,"22.306692,113.921951",0,13,250
1757669678,2025-09-12T09:34:38Z,CPA647,"22.306599,113.921623",0,15,250
1757669691,2025-09-12T09:34:51Z,CPA647,"22.306227,113.920494",0,18,250
1757669698,2025-09-12T09:34:58Z,CPA647,"22.306057,113.91993",0,15,250
1757669704,2025-09-12T09:35:04Z,CPA647,"22.305912,113.919502",0,14,250
1757669712,2025-09-12T09:35:12Z,CPA647,"22.30575,113.918976",0,15,250
1757669719,2025-09-12T09:35:19Z,CPA647,"22.305588,113.918488",0,15,250
1757669726,2025-09-12T09:35:26Z,CPA647,"22.305405,113.917923",0,15,250
1757669733,2025-09-12T09:35:33Z,CPA647,"22.305237,113.917389",0,16,250
1757669740,2025-09-12T09:35:40Z,CPA647,"22.305061,113.916847",0,16,250
1757669747,2025-09-12T09:35:47Z,CPA647,"22.304876,113.916298",0,17,250
1757669754,2025-09-12T09:35:54Z,CPA647,"22.304695,113.915741",0,17,250
1757669761,2025-09-12T09:36:01Z,CPA647,"22.304539,113.915237",0,18,250
1757669769,2025-09-12T09:36:09Z,CPA647,"22.304306,113.91449",0,18,250
1757669776,2025-09-12T09:36:16Z,CPA647,"22.3041,113.913879",0,17,250
1757669782,2025-09-12T09:36:22Z,CPA647,"22.303957,113.913399",0,17,250
1757669790,2025-09-12T09:36:30Z,CPA647,"22.303757,113.912781",0,15,250
1757669796,2025-09-12T09:36:36Z,CPA647,"22.303596,113.9123",0,15,250
1757669804,2025-09-12T09:36:44Z,CPA647,"22.303421,113.911743",0,15,250
1757669811,2025-09-12T09:36:51Z,CPA647,"22.303276,113.911278",0,14,250
1757669819,2025-09-12T09:36:59Z,CPA647,"22.303095,113.910736",0,15,250
1757669825,2025-09-12T09:37:05Z,CPA647,"22.302944,113.910271",0,15,250
1757669832,2025-09-12T09:37:12Z,CPA647,"22.302771,113.909744",0,16,250
1757669839,2025-09-12T09:37:19Z,CPA647,"22.302572,113.909126",0,17,250
1757669846,2025-09-12T09:37:26Z,CPA647,"22.302397,113.908562",0,18,250
1757669854,2025-09-12T09:37:34Z,CPA647,"22.302155,113.907822",0,19,250
1757669863,2025-09-12T09:37:43Z,CPA647,"22.301926,113.907127",0,19,250
1757669871,2025-09-12T09:37:51Z,CPA647,"22.301662,113.906288",0,20,250
1757669878,2025-09-12T09:37:58Z,CPA647,"22.301443,113.905602",0,21,250
1757669887,2025-09-12T09:38:07Z,CPA647,"22.301159,113.904716",0,21,250
1757669894,2025-09-12T09:38:14Z,CPA647,"22.300884,113.903877",0,22,250
1757669902,2025-09-12T09:38:22Z,CPA647,"22.30061,113.903038",0,23,250
1757669909,2025-09-12T09:38:29Z,CPA647,"22.300369,113.902283",0,23,250
1757669916,2025-09-12T09:38:36Z,CPA647,"22.300116,113.901482",0,23,250
1757669923,2025-09-12T09:38:43Z,CPA647,"22.299871,113.900734",0,24,250
1757669931,2025-09-12T09:38:51Z,CPA647,"22.299603,113.899872",0,23,250
1757669937,2025-09-12T09:38:57Z,CPA647,"22.299383,113.899231",0,23,250
1757669945,2025-09-12T09:39:05Z,CPA647,"22.299091,113.898315",0,18,250
1757669952,2025-09-12T09:39:12Z,CPA647,"22.298929,113.897804",0,14,250
1757669960,2025-09-12T09:39:20Z,CPA647,"22.298742,113.897423",0,10,241
1757669969,2025-09-12T09:39:29Z,CPA647,"22.298405,113.897308",0,9,205
1757669976,2025-09-12T09:39:36Z,CPA647,"22.298195,113.897362",0,8,182
1757669985,2025-09-12T09:39:45Z,CPA647,"22.297897,113.897499",0,7,163
1757669993,2025-09-12T09:39:53Z,CPA647,"22.297638,113.897606",0,6,160
1757670005,2025-09-12T09:40:05Z,CPA647,"22.297405,113.897697",0,4,160
1757670052,2025-09-12T09:40:52Z,CPA647,"22.297173,113.897781",0,5,160
1757670061,2025-09-12T09:41:01Z,CPA647,"22.296902,113.897896",0,9,160
1757670071,2025-09-12T09:41:11Z,CPA647,"22.296524,113.898094",0,12,151
1757670076,2025-09-12T09:41:16Z,CPA647,"22.296322,113.898415",0,10,129
1757670082,2025-09-12T09:41:22Z,CPA647,"22.296345,113.898659",0,9,104
1757670088,2025-09-12T09:41:28Z,CPA647,"22.296478,113.898888",0,7,75
1757670138,2025-09-12T09:42:18Z,CPA647,"22.296614,113.899216",0,14,70
1757670144,2025-09-12T09:42:24Z,CPA647,"22.296835,113.899902",0,39,70
1757670153,2025-09-12T09:42:33Z,CPA647,"22.297817,113.902939",0,84,70
1757670160,2025-09-12T09:42:40Z,CPA647,"22.298847,113.906097",125,114,71
1757670169,2025-09-12T09:42:49Z,CPA647,"22.300478,113.911186",125,143,70
1757670175,2025-09-12T09:42:55Z,CPA647,"22.301968,113.915863",100,162,71
1757670183,2025-09-12T09:43:03Z,CPA647,"22.304108,113.922272",175,180,69
1757670191,2025-09-12T09:43:11Z,CPA647,"22.306622,113.929497",475,179,69
1757670200,2025-09-12T09:43:20Z,CPA647,"22.308838,113.93631",850,176,70
1757670206,2025-09-12T09:43:26Z,CPA647,"22.310577,113.941605",1125,175,70
1757670214,2025-09-12T09:43:34Z,CPA647,"22.312729,113.948196",1450,174,71
1757670223,2025-09-12T09:43:43Z,CPA647,"22.315001,113.955177",1800,174,70
1757670231,2025-09-12T09:43:51Z,CPA647,"22.317261,113.96228",2025,180,71
1757670239,2025-09-12T09:43:59Z,CPA647,"22.319458,113.96917",2125,192,71
1757670247,2025-09-12T09:44:07Z,CPA647,"22.321976,113.977264",2200,202,71
1757670255,2025-09-12T09:44:15Z,CPA647,"22.324539,113.985405",2300,213,71
1757670264,2025-09-12T09:44:24Z,CPA647,"22.327103,113.993744",2500,218,71
1757670272,2025-09-12T09:44:32Z,CPA647,"22.329805,114.00248",2775,219,71
1757670281,2025-09-12T09:44:41Z,CPA647,"22.332645,114.011436",3125,218,71
1757670287,2025-09-12T09:44:47Z,CPA647,"22.334646,114.017639",3350,219,70
1757670295,2025-09-12T09:44:55Z,CPA647,"22.337299,114.026741",3675,219,76
1757670297,2025-09-12T09:44:57Z,CPA647,"22.337723,114.028801",3750,220,78
1757670299,2025-09-12T09:44:59Z,CPA647,"22.338045,114.031067",3825,219,81
1757670301,2025-09-12T09:45:01Z,CPA647,"22.338318,114.033043",3900,220,84
1757670304,2025-09-12T09:45:04Z,CPA647,"22.338463,114.035439",3975,220,87
1757670306,2025-09-12T09:45:06Z,CPA647,"22.338501,114.037537",4050,220,89
1757670308,2025-09-12T09:45:08Z,CPA647,"22.338455,114.040184",4150,220,92
1757670310,2025-09-12T09:45:10Z,CPA647,"22.338318,114.042282",4200,220,95
1757670312,2025-09-12T09:45:12Z,CPA647,"22.337952,114.045074",4300,221,98
1757670314,2025-09-12T09:45:14Z,CPA647,"22.337585,114.047272",4375,221,101
1757670316,2025-09-12T09:45:16Z,CPA647,"22.337173,114.049225",4425,222,104
1757670318,2025-09-12T09:45:18Z,CPA647,"22.336441,114.051872",4525,222,107
1757670320,2025-09-12T09:45:20Z,CPA647,"22.3358,114.053917",4575,222,110
1757670323,2025-09-12T09:45:23Z,CPA647,"22.335068,114.055817",4650,223,113
1757670325,2025-09-12T09:45:25Z,CPA647,"22.334274,114.05777",4700,224,116
1757670327,2025-09-12T09:45:27Z,CPA647,"22.333099,114.060158",4800,224,118
1757670329,2025-09-12T09:45:29Z,CPA647,"22.332092,114.062004",4850,226,121
1757670331,2025-09-12T09:45:31Z,CPA647,"22.33069,114.064331",4950,226,124
