Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757894736,2025-09-15T00:05:36Z,CPA723,"22.311195,113.927254",0,0,295
1757894802,2025-09-15T00:06:42Z,CPA723,"22.311104,113.92746",0,4,295
1757894817,2025-09-15T00:06:57Z,CPA723,"22.310978,113.927711",0,4,292
1757894832,2025-09-15T00:07:12Z,CPA723,"22.310858,113.927917",0,4,275
1757894844,2025-09-15T00:07:24Z,CPA723,"22.310801,113.928123",0,4,253
1757894858,2025-09-15T00:07:38Z,CPA723,"22.310801,113.928337",0,4,219
1757894876,2025-09-15T00:07:56Z,CPA723,"22.310989,113.928551",0,2,199
1757894918,2025-09-15T00:08:38Z,CPA723,"22.310783,113.928436",0,1,205
1757895097,2025-09-15T00:11:37Z,CPA723,"22.310556,113.928322",0,4,205
1757895111,2025-09-15T00:11:51Z,CPA723,"22.310335,113.928207",0,4,205
1757895125,2025-09-15T00:12:05Z,CPA723,"22.310125,113.928108",0,5,205
1757895132,2025-09-15T00:12:12Z,CPA723,"22.309904,113.927994",0,6,205
1757895141,2025-09-15T00:12:21Z,CPA723,"22.309662,113.927864",0,7,205
1757895149,2025-09-15T00:12:29Z,CPA723,"22.309427,113.927742",0,8,205
1757895156,2025-09-15T00:12:36Z,CPA723,"22.309204,113.92765",0,9,194
1757895161,2025-09-15T00:12:41Z,CPA723,"22.308996,113.92765",0,9,168
1757895166,2025-09-15T00:12:46Z,CPA723,"22.308769,113.927727",0,10,160
1757895171,2025-09-15T00:12:51Z,CPA723,"22.308565,113.927788",0,11,163
1757895176,2025-09-15T00:12:56Z,CPA723,"22.308346,113.927872",0,10,160
1757895182,2025-09-15T00:13:02Z,CPA723,"22.308048,113.927971",0,12,165
1757895187,2025-09-15T00:13:07Z,CPA723,"22.30781,113.927917",0,12,202
1757895192,2025-09-15T00:13:12Z,CPA723,"22.307623,113.927704",0,12,239
1757895197,2025-09-15T00:13:17Z,CPA723,"22.307545,113.92746",0,11,253
1757895201,2025-09-15T00:13:21Z,CPA723,"22.307472,113.927231",0,11,253
1757895206,2025-09-15T00:13:26Z,CPA723,"22.307402,113.927002",0,12,250
1757895214,2025-09-15T00:13:34Z,CPA723,"22.307262,113.926529",0,12,250
1757895221,2025-09-15T00:13:41Z,CPA723,"22.307146,113.926178",0,13,250
1757895227,2025-09-15T00:13:47Z,CPA723,"22.307018,113.925812",0,13,250
1757895234,2025-09-15T00:13:54Z,CPA723,"22.30687,113.925339",0,14,250
1757895241,2025-09-15T00:14:01Z,CPA723,"22.306726,113.924889",0,15,250
1757895248,2025-09-15T00:14:08Z,CPA723,"22.306576,113.924423",0,15,253
1757895255,2025-09-15T00:14:15Z,CPA723,"22.306435,113.923965",0,16,250
1757895262,2025-09-15T00:14:22Z,CPA723,"22.30625,113.923431",0,18,250
1757895275,2025-09-15T00:14:35Z,CPA723,"22.305874,113.922264",0,21,250
1757895281,2025-09-15T00:14:41Z,CPA723,"22.305668,113.9216",0,23,250
1757895289,2025-09-15T00:14:49Z,CPA723,"22.305387,113.920746",0,24,250
1757895297,2025-09-15T00:14:57Z,CPA723,"22.305096,113.919823",0,25,250
1757895305,2025-09-15T00:15:05Z,CPA723,"22.304794,113.918861",0,25,250
1757895312,2025-09-15T00:15:12Z,CPA723,"22.304516,113.918037",0,25,250
1757895319,2025-09-15T00:15:19Z,CPA723,"22.304283,113.917313",0,22,250
1757895326,2025-09-15T00:15:26Z,CPA723,"22.304096,113.916702",0,18,250
1757895334,2025-09-15T00:15:34Z,CPA723,"22.303894,113.916084",0,15,250
1757895342,2025-09-15T00:15:42Z,CPA723,"22.303734,113.915604",0,14,250
1757895349,2025-09-15T00:15:49Z,CPA723,"22.303574,113.915138",0,15,250
1757895355,2025-09-15T00:15:55Z,CPA723,"22.303436,113.914688",0,15,250
1757895363,2025-09-15T00:16:03Z,CPA723,"22.303265,113.914139",0,16,250
1757895369,2025-09-15T00:16:09Z,CPA723,"22.303108,113.913666",0,16,250
1757895377,2025-09-15T00:16:17Z,CPA723,"22.302921,113.913063",0,17,250
1757895385,2025-09-15T00:16:25Z,CPA723,"22.302715,113.912445",0,18,250
1757895391,2025-09-15T00:16:31Z,CPA723,"22.302544,113.911903",0,18,250
1757895398,2025-09-15T00:16:38Z,CPA723,"22.302349,113.911316",0,19,250
1757895405,2025-09-15T00:16:45Z,CPA723,"22.302153,113.910728",0,19,250
1757895412,2025-09-15T00:16:52Z,CPA723,"22.301979,113.910126",0,20,253
1757895419,2025-09-15T00:16:59Z,CPA723,"22.301769,113.909477",0,20,250
1757895426,2025-09-15T00:17:06Z,CPA723,"22.301559,113.908859",0,20,250
1757895433,2025-09-15T00:17:13Z,CPA723,"22.301353,113.908188",0,21,250
1757895440,2025-09-15T00:17:20Z,CPA723,"22.301113,113.907433",0,21,250
1757895447,2025-09-15T00:17:27Z,CPA723,"22.300896,113.906769",0,21,250
1757895454,2025-09-15T00:17:34Z,CPA723,"22.300652,113.906006",0,22,250
1757895461,2025-09-15T00:17:41Z,CPA723,"22.30043,113.905334",0,22,250
1757895469,2025-09-15T00:17:49Z,CPA723,"22.300186,113.904579",0,22,250
1757895477,2025-09-15T00:17:57Z,CPA723,"22.299894,113.903679",0,23,250
1757895484,2025-09-15T00:18:04Z,CPA723,"22.299648,113.902931",0,23,250
1757895492,2025-09-15T00:18:12Z,CPA723,"22.299397,113.90213",0,20,250
1757895499,2025-09-15T00:18:19Z,CPA723,"22.299208,113.901543",0,16,250
