Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757921639,2025-09-15T07:33:59Z,CPA769,"22.315886,113.930397",0,0,292
1757921691,2025-09-15T07:34:51Z,CPA769,"22.315792,113.930611",0,0,247
1757921786,2025-09-15T07:36:26Z,CPA769,"22.315735,113.930817",0,0,247
1757921797,2025-09-15T07:36:37Z,CPA769,"22.315796,113.930611",0,0,247
1757921930,2025-09-15T07:38:50Z,CPA769,"22.315693,113.930336",0,3,250
1757921942,2025-09-15T07:39:02Z,CPA769,"22.31563,113.930092",0,0,250
1757921963,2025-09-15T07:39:23Z,CPA769,"22.315525,113.929657",0,0,258
1757921985,2025-09-15T07:39:45Z,CPA769,"22.31599,113.92923",0,0,337
1757922000,2025-09-15T07:40:00Z,CPA769,"22.316528,113.929024",0,9,340
1757922007,2025-09-15T07:40:07Z,CPA769,"22.316816,113.928925",0,9,340
1757922017,2025-09-15T07:40:17Z,CPA769,"22.317192,113.928787",0,6,340
1757922086,2025-09-15T07:41:26Z,CPA769,"22.317423,113.928696",0,5,340
1757922094,2025-09-15T07:41:34Z,CPA769,"22.317667,113.928604",0,8,340
1757922107,2025-09-15T07:41:47Z,CPA769,"22.318178,113.928375",0,9,337
1757922118,2025-09-15T07:41:58Z,CPA769,"22.318632,113.928223",0,9,348
1757922126,2025-09-15T07:42:06Z,CPA769,"22.318897,113.92836",0,9,25
1757922133,2025-09-15T07:42:13Z,CPA769,"22.319023,113.928596",0,9,53
1757922139,2025-09-15T07:42:19Z,CPA769,"22.319237,113.92881",0,9,39
1757922147,2025-09-15T07:42:27Z,CPA769,"22.319622,113.92878",0,10,354
1757922158,2025-09-15T07:42:38Z,CPA769,"22.320192,113.928551",0,12,340
1757922170,2025-09-15T07:42:50Z,CPA769,"22.320671,113.928398",0,6,340
1757922185,2025-09-15T07:43:05Z,CPA769,"22.320669,113.927933",0,10,258
1757922192,2025-09-15T07:43:12Z,CPA769,"22.320402,113.927231",0,0,250
1757922194,2025-09-15T07:43:14Z,CPA769,"22.320282,113.926826",0,37,253
1757922195,2025-09-15T07:43:15Z,CPA769,"22.320215,113.92662",0,42,253
1757922197,2025-09-15T07:43:17Z,CPA769,"22.319984,113.925888",0,58,250
