Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757682248,2025-09-12T13:04:08Z,CPA113,"22.311916,113.926476",0,0,115
1757682361,2025-09-12T13:06:01Z,CPA113,"22.312065,113.926178",0,3,112
1757682375,2025-09-12T13:06:15Z,CPA113,"22.312174,113.925957",0,3,106
1757682394,2025-09-12T13:06:34Z,CPA113,"22.312248,113.925697",0,3,106
1757682411,2025-09-12T13:06:51Z,CPA113,"22.312294,113.925453",0,3,115
1757682437,2025-09-12T13:07:17Z,CPA113,"22.312452,113.925095",0,3,115
1757682454,2025-09-12T13:07:34Z,CPA113,"22.312557,113.924873",0,2,115
1757682676,2025-09-12T13:11:16Z,CPA113,"22.312454,113.925079",0,4,118
1757682689,2025-09-12T13:11:29Z,CPA113,"22.312168,113.925224",0,7,146
1757682696,2025-09-12T13:11:36Z,CPA113,"22.311893,113.925163",0,9,177
1757682703,2025-09-12T13:11:43Z,CPA113,"22.311676,113.925011",0,8,199
1757682709,2025-09-12T13:11:49Z,CPA113,"22.311464,113.924889",0,9,205
1757682721,2025-09-12T13:12:01Z,CPA113,"22.310986,113.924652",0,10,205
1757682727,2025-09-12T13:12:07Z,CPA113,"22.310749,113.92453",0,10,205
1757682735,2025-09-12T13:12:15Z,CPA113,"22.310427,113.924355",0,11,205
1757682742,2025-09-12T13:12:22Z,CPA113,"22.310137,113.924202",0,9,205
1757682748,2025-09-12T13:12:28Z,CPA113,"22.309904,113.924088",0,8,205
1757682756,2025-09-12T13:12:36Z,CPA113,"22.309639,113.92395",0,9,205
1757682762,2025-09-12T13:12:42Z,CPA113,"22.309391,113.92382",0,10,205
1757682768,2025-09-12T13:12:48Z,CPA113,"22.309113,113.923676",0,10,205
1757682777,2025-09-12T13:12:57Z,CPA113,"22.308798,113.923515",0,9,205
1757682783,2025-09-12T13:13:03Z,CPA113,"22.308542,113.923378",0,7,205
1757682792,2025-09-12T13:13:12Z,CPA113,"22.308323,113.923264",0,6,205
1757682800,2025-09-12T13:13:20Z,CPA113,"22.308111,113.923225",0,6,194
1757682808,2025-09-12T13:13:28Z,CPA113,"22.307911,113.923317",0,6,174
1757682816,2025-09-12T13:13:36Z,CPA113,"22.30768,113.923431",0,8,163
1757682823,2025-09-12T13:13:43Z,CPA113,"22.30743,113.9235",0,9,165
1757682828,2025-09-12T13:13:48Z,CPA113,"22.307203,113.923401",0,11,188
1757682834,2025-09-12T13:13:54Z,CPA113,"22.307064,113.923141",0,11,225
1757682838,2025-09-12T13:13:58Z,CPA113,"22.30703,113.92292",0,10,244
1757682842,2025-09-12T13:14:02Z,CPA113,"22.306973,113.922707",0,10,250
1757682847,2025-09-12T13:14:07Z,CPA113,"22.306904,113.92247",0,11,250
1757682852,2025-09-12T13:14:12Z,CPA113,"22.306831,113.922249",0,11,250
1757682856,2025-09-12T13:14:16Z,CPA113,"22.306755,113.922005",0,11,250
1757682864,2025-09-12T13:14:24Z,CPA113,"22.306629,113.921631",0,12,250
1757682876,2025-09-12T13:14:36Z,CPA113,"22.306366,113.920807",0,14,250
1757682884,2025-09-12T13:14:44Z,CPA113,"22.306206,113.920319",0,14,250
1757682890,2025-09-12T13:14:50Z,CPA113,"22.306087,113.919922",0,14,250
1757682898,2025-09-12T13:14:58Z,CPA113,"22.305923,113.919434",0,15,250
1757682904,2025-09-12T13:15:04Z,CPA113,"22.305771,113.918961",0,15,250
1757682911,2025-09-12T13:15:11Z,CPA113,"22.305586,113.918396",0,15,250
1757682918,2025-09-12T13:15:18Z,CPA113,"22.305428,113.917885",0,16,250
1757682925,2025-09-12T13:15:25Z,CPA113,"22.30526,113.917366",0,17,250
1757682933,2025-09-12T13:15:33Z,CPA113,"22.305038,113.916687",0,17,250
1757682940,2025-09-12T13:15:40Z,CPA113,"22.304853,113.916107",0,18,250
1757682946,2025-09-12T13:15:46Z,CPA113,"22.304678,113.915573",0,18,250
1757682953,2025-09-12T13:15:53Z,CPA113,"22.304493,113.914963",0,19,250
1757682960,2025-09-12T13:16:00Z,CPA113,"22.304272,113.914276",0,19,250
1757682967,2025-09-12T13:16:07Z,CPA113,"22.304073,113.913666",0,20,250
1757682975,2025-09-12T13:16:15Z,CPA113,"22.303825,113.912903",0,20,250
1757682983,2025-09-12T13:16:23Z,CPA113,"22.303549,113.912048",0,21,250
1757682991,2025-09-12T13:16:31Z,CPA113,"22.303276,113.911217",0,22,250
1757682998,2025-09-12T13:16:38Z,CPA113,"22.303026,113.910423",0,23,250
1757683005,2025-09-12T13:16:45Z,CPA113,"22.302782,113.909668",0,23,250
1757683013,2025-09-12T13:16:53Z,CPA113,"22.302502,113.908806",0,24,250
1757683019,2025-09-12T13:16:59Z,CPA113,"22.302328,113.908257",0,24,250
1757683031,2025-09-12T13:17:11Z,CPA113,"22.301788,113.906563",0,25,250
1757683039,2025-09-12T13:17:19Z,CPA113,"22.301466,113.905586",0,26,250
1757683046,2025-09-12T13:17:26Z,CPA113,"22.30125,113.9049",0,24,250
1757683053,2025-09-12T13:17:33Z,CPA113,"22.300978,113.904053",0,21,250
1757683061,2025-09-12T13:17:41Z,CPA113,"22.30077,113.903427",0,18,250
1757683069,2025-09-12T13:17:49Z,CPA113,"22.300547,113.902718",0,15,250
1757683077,2025-09-12T13:17:57Z,CPA113,"22.300404,113.902252",0,13,250
1757683083,2025-09-12T13:18:03Z,CPA113,"22.300278,113.90184",0,12,250
1757683090,2025-09-12T13:18:10Z,CPA113,"22.30014,113.901459",0,10,250
1757683097,2025-09-12T13:18:17Z,CPA113,"22.300047,113.901161",0,8,250
1757683104,2025-09-12T13:18:24Z,CPA113,"22.29998,113.900932",0,6,250
1757683116,2025-09-12T13:18:36Z,CPA113,"22.299911,113.900719",0,1,250
1757683317,2025-09-12T13:21:57Z,CPA113,"22.299849,113.900513",0,5,250
1757683325,2025-09-12T13:22:05Z,CPA113,"22.299767,113.900284",0,7,250
1757683332,2025-09-12T13:22:12Z,CPA113,"22.299683,113.900009",0,8,250
1757683340,2025-09-12T13:22:20Z,CPA113,"22.299591,113.899719",0,8,250
1757683347,2025-09-12T13:22:27Z,CPA113,"22.2995,113.899437",0,9,250
1757683354,2025-09-12T13:22:34Z,CPA113,"22.299397,113.899109",0,10,250
1757683363,2025-09-12T13:22:43Z,CPA113,"22.299259,113.898697",0,11,250
1757683370,2025-09-12T13:22:50Z,CPA113,"22.299133,113.898323",0,9,250
1757683377,2025-09-12T13:22:57Z,CPA113,"22.299034,113.897995",0,10,250
1757683384,2025-09-12T13:23:04Z,CPA113,"22.298929,113.89769",0,10,250
1757683393,2025-09-12T13:23:13Z,CPA113,"22.298662,113.897339",0,11,227
1757683399,2025-09-12T13:23:19Z,CPA113,"22.298389,113.897285",0,9,199
1757683406,2025-09-12T13:23:26Z,CPA113,"22.298149,113.897377",0,7,177
1757683419,2025-09-12T13:23:39Z,CPA113,"22.297789,113.897552",0,6,160
1757683430,2025-09-12T13:23:50Z,CPA113,"22.297544,113.897644",0,4,160
1757683484,2025-09-12T13:24:44Z,CPA113,"22.297302,113.897736",0,5,160
1757683493,2025-09-12T13:24:53Z,CPA113,"22.297056,113.897835",0,9,160
1757683502,2025-09-12T13:25:02Z,CPA113,"22.296776,113.897934",0,11,160
1757683511,2025-09-12T13:25:11Z,CPA113,"22.296322,113.898239",0,10,143
1757683516,2025-09-12T13:25:16Z,CPA113,"22.296307,113.89846",0,9,115
1757683522,2025-09-12T13:25:22Z,CPA113,"22.296421,113.898712",0,9,81
1757683528,2025-09-12T13:25:28Z,CPA113,"22.296543,113.898941",0,6,70
1757683564,2025-09-12T13:26:04Z,CPA113,"22.296627,113.899193",0,13,70
1757683571,2025-09-12T13:26:11Z,CPA113,"22.296925,113.900108",0,44,70
1757683579,2025-09-12T13:26:19Z,CPA113,"22.297565,113.902092",0,74,70
1757683586,2025-09-12T13:26:26Z,CPA113,"22.298538,113.905098",75,101,71
1757683594,2025-09-12T13:26:34Z,CPA113,"22.300152,113.910118",50,136,70
1757683601,2025-09-12T13:26:41Z,CPA113,"22.301605,113.914688",50,158,70
1757683609,2025-09-12T13:26:49Z,CPA113,"22.303875,113.921562",75,179,70
1757683617,2025-09-12T13:26:57Z,CPA113,"22.306137,113.928574",350,180,71
1757683626,2025-09-12T13:27:06Z,CPA113,"22.30825,113.935394",675,180,71
1757683632,2025-09-12T13:27:12Z,CPA113,"22.310028,113.941055",950,179,71
1757683640,2025-09-12T13:27:20Z,CPA113,"22.312134,113.947701",1300,178,71
1757683648,2025-09-12T13:27:28Z,CPA113,"22.314423,113.95504",1675,176,71
1757683656,2025-09-12T13:27:36Z,CPA113,"22.316437,113.961632",1950,180,71
1757683665,2025-09-12T13:27:45Z,CPA113,"22.318726,113.968925",2100,187,71
1757683671,2025-09-12T13:27:51Z,CPA113,"22.320402,113.974205",2200,194,71
1757683679,2025-09-12T13:27:59Z,CPA113,"22.322891,113.982056",2300,205,70
1757683688,2025-09-12T13:28:08Z,CPA113,"22.325684,113.990746",2425,213,70
1757683696,2025-09-12T13:28:16Z,CPA113,"22.328548,113.999481",2675,216,70
1757683705,2025-09-12T13:28:25Z,CPA113,"22.331247,114.007668",2950,217,70
1757683713,2025-09-12T13:28:33Z,CPA113,"22.334106,114.016312",3275,216,70
1757683721,2025-09-12T13:28:41Z,CPA113,"22.33674,114.024811",3575,216,73
1757683724,2025-09-12T13:28:44Z,CPA113,"22.337393,114.027306",3650,216,76
1757683726,2025-09-12T13:28:46Z,CPA113,"22.337814,114.029243",3700,216,78
1757683728,2025-09-12T13:28:48Z,CPA113,"22.338226,114.031746",3775,217,81
1757683730,2025-09-12T13:28:50Z,CPA113,"22.338417,114.033455",3825,217,83
1757683732,2025-09-12T13:28:52Z,CPA113,"22.33865,114.036201",3900,217,86
1757683734,2025-09-12T13:28:54Z,CPA113,"22.338697,114.038391",3950,218,89
1757683736,2025-09-12T13:28:56Z,CPA113,"22.33865,114.040222",4000,218,93
1757683738,2025-09-12T13:28:58Z,CPA113,"22.338455,114.042976",4075,218,96
1757683740,2025-09-12T13:29:00Z,CPA113,"22.338226,114.045074",4125,218,98
1757683742,2025-09-12T13:29:02Z,CPA113,"22.337858,114.047142",4200,218,101
1757683744,2025-09-12T13:29:04Z,CPA113,"22.337402,114.049171",4275,219,104
1757683746,2025-09-12T13:29:06Z,CPA113,"22.336834,114.051361",4325,218,107
