Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757694453,2025-09-12T16:27:33Z,CPA105,"22.313255,113.934593",0,0,70
1757694508,2025-09-12T16:28:28Z,CPA105,"22.313187,113.934387",0,2,70
1757694527,2025-09-12T16:28:47Z,CPA105,"22.313118,113.934181",0,3,70
1757694551,2025-09-12T16:29:11Z,CPA105,"22.31307,113.933853",0,3,53
1757694570,2025-09-12T16:29:30Z,CPA105,"22.312977,113.933617",0,3,16
1757694588,2025-09-12T16:29:48Z,CPA105,"22.312763,113.933517",0,0,357
1757694614,2025-09-12T16:30:14Z,CPA105,"22.312431,113.93354",0,2,340
1757694861,2025-09-12T16:34:21Z,CPA105,"22.312685,113.933426",0,5,337
1757694872,2025-09-12T16:34:32Z,CPA105,"22.312878,113.933205",0,6,317
1757694878,2025-09-12T16:34:38Z,CPA105,"22.312954,113.932976",0,7,298
1757694887,2025-09-12T16:34:47Z,CPA105,"22.312941,113.932632",0,8,272
1757694898,2025-09-12T16:34:58Z,CPA105,"22.312798,113.93219",0,9,253
1757694904,2025-09-12T16:35:04Z,CPA105,"22.312721,113.931923",0,10,250
1757694912,2025-09-12T16:35:12Z,CPA105,"22.312592,113.931541",0,11,250
1757694916,2025-09-12T16:35:16Z,CPA105,"22.312511,113.931305",0,11,250
1757694924,2025-09-12T16:35:24Z,CPA105,"22.312386,113.930893",0,12,250
1757694931,2025-09-12T16:35:31Z,CPA105,"22.312248,113.930481",0,13,250
1757694939,2025-09-12T16:35:39Z,CPA105,"22.31208,113.929962",0,14,250
1757694946,2025-09-12T16:35:46Z,CPA105,"22.31193,113.929459",0,14,250
1757694953,2025-09-12T16:35:53Z,CPA105,"22.311813,113.929123",0,11,250
1757694960,2025-09-12T16:36:00Z,CPA105,"22.311615,113.928856",0,9,230
1757694967,2025-09-12T16:36:07Z,CPA105,"22.311298,113.928719",0,9,208
1757694973,2025-09-12T16:36:13Z,CPA105,"22.311068,113.928589",0,10,208
1757694979,2025-09-12T16:36:19Z,CPA105,"22.310812,113.928452",0,11,205
1757694984,2025-09-12T16:36:24Z,CPA105,"22.310545,113.928322",0,11,205
1757694989,2025-09-12T16:36:29Z,CPA105,"22.310303,113.9282",0,12,205
1757694995,2025-09-12T16:36:35Z,CPA105,"22.310005,113.928032",0,12,205
1757695004,2025-09-12T16:36:44Z,CPA105,"22.309544,113.927803",0,13,205
1757695010,2025-09-12T16:36:50Z,CPA105,"22.30917,113.927612",0,14,205
1757695017,2025-09-12T16:36:57Z,CPA105,"22.308846,113.927437",0,13,205
1757695024,2025-09-12T16:37:04Z,CPA105,"22.308495,113.927238",0,10,210
1757695030,2025-09-12T16:37:10Z,CPA105,"22.308355,113.927017",0,10,230
1757695034,2025-09-12T16:37:14Z,CPA105,"22.308275,113.926788",0,10,241
1757695039,2025-09-12T16:37:19Z,CPA105,"22.308193,113.926559",0,11,250
1757695043,2025-09-12T16:37:23Z,CPA105,"22.308128,113.926353",0,11,250
1757695046,2025-09-12T16:37:26Z,CPA105,"22.308077,113.926147",0,11,250
1757695051,2025-09-12T16:37:31Z,CPA105,"22.307995,113.92588",0,12,250
1757695058,2025-09-12T16:37:38Z,CPA105,"22.307867,113.925491",0,12,250
1757695066,2025-09-12T16:37:46Z,CPA105,"22.307705,113.924995",0,12,250
1757695074,2025-09-12T16:37:54Z,CPA105,"22.307602,113.92469",0,7,250
1757695082,2025-09-12T16:38:02Z,CPA105,"22.30751,113.9244",0,8,250
1757695090,2025-09-12T16:38:10Z,CPA105,"22.307436,113.924156",0,6,250
1757695098,2025-09-12T16:38:18Z,CPA105,"22.307356,113.923927",0,7,250
1757695109,2025-09-12T16:38:29Z,CPA105,"22.307224,113.9235",0,8,250
1757695115,2025-09-12T16:38:35Z,CPA105,"22.307144,113.923256",0,9,250
1757695123,2025-09-12T16:38:43Z,CPA105,"22.30703,113.922905",0,10,250
1757695131,2025-09-12T16:38:51Z,CPA105,"22.30689,113.922478",0,11,250
1757695138,2025-09-12T16:38:58Z,CPA105,"22.306774,113.922119",0,11,250
1757695145,2025-09-12T16:39:05Z,CPA105,"22.306644,113.921715",0,12,250
1757695156,2025-09-12T16:39:16Z,CPA105,"22.306435,113.921059",0,14,250
1757695165,2025-09-12T16:39:25Z,CPA105,"22.306252,113.920471",0,15,250
1757695173,2025-09-12T16:39:33Z,CPA105,"22.30608,113.91996",0,11,250
1757695181,2025-09-12T16:39:41Z,CPA105,"22.305977,113.919655",0,7,250
1757695189,2025-09-12T16:39:49Z,CPA105,"22.305912,113.919434",0,5,250
1757695197,2025-09-12T16:39:57Z,CPA105,"22.305828,113.919197",0,6,250
1757695204,2025-09-12T16:40:04Z,CPA105,"22.305759,113.918968",0,7,250
