Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758001281,2025-09-16T05:41:21Z,CPA928,"22.315851,113.930435",0,3,278
1758001307,2025-09-16T05:41:47Z,CPA928,"22.315807,113.930679",0,2,253
1758001639,2025-09-16T05:47:19Z,CPA928,"22.31563,113.930145",0,0,250
1758001653,2025-09-16T05:47:33Z,CPA928,"22.315475,113.929611",0,0,250
1758001682,2025-09-16T05:48:02Z,CPA928,"22.314978,113.928017",0,0,255
1758001690,2025-09-16T05:48:10Z,CPA928,"22.315029,113.927498",0,14,284
1758001697,2025-09-16T05:48:17Z,CPA928,"22.315199,113.927132",0,14,295
1758001706,2025-09-16T05:48:26Z,CPA928,"22.315464,113.926552",0,15,295
1758001716,2025-09-16T05:48:36Z,CPA928,"22.315853,113.925697",0,0,295
1758001725,2025-09-16T05:48:45Z,CPA928,"22.316166,113.925018",0,16,295
1758001728,2025-09-16T05:48:48Z,CPA928,"22.316294,113.924774",0,15,300
1758001733,2025-09-16T05:48:53Z,CPA928,"22.31654,113.924538",0,15,320
1758001737,2025-09-16T05:48:57Z,CPA928,"22.316757,113.924431",0,14,334
1758001741,2025-09-16T05:49:01Z,CPA928,"22.316975,113.924362",0,13,340
1758001746,2025-09-16T05:49:06Z,CPA928,"22.317202,113.924278",0,10,343
1758001753,2025-09-16T05:49:13Z,CPA928,"22.317423,113.924088",0,8,320
1758001760,2025-09-16T05:49:20Z,CPA928,"22.317478,113.923828",0,8,286
1758001769,2025-09-16T05:49:29Z,CPA928,"22.317423,113.923592",0,7,258
1758001777,2025-09-16T05:49:37Z,CPA928,"22.317295,113.923279",0,7,250
1758001790,2025-09-16T05:49:50Z,CPA928,"22.317146,113.922791",0,8,250
1758001796,2025-09-16T05:49:56Z,CPA928,"22.31706,113.922554",0,9,250
1758001803,2025-09-16T05:50:03Z,CPA928,"22.316969,113.922256",0,9,250
1758001810,2025-09-16T05:50:10Z,CPA928,"22.316872,113.921959",0,8,250
1758001818,2025-09-16T05:50:18Z,CPA928,"22.316782,113.921646",0,7,250
1758001827,2025-09-16T05:50:27Z,CPA928,"22.3167,113.92141",0,6,250
1758001839,2025-09-16T05:50:39Z,CPA928,"22.316631,113.921204",0,3,250
1758001856,2025-09-16T05:50:56Z,CPA928,"22.316561,113.92099",0,4,250
1758001864,2025-09-16T05:51:04Z,CPA928,"22.316483,113.920753",0,6,250
1758001873,2025-09-16T05:51:13Z,CPA928,"22.316402,113.920471",0,8,250
1758001881,2025-09-16T05:51:21Z,CPA928,"22.316271,113.920082",0,9,250
1758001891,2025-09-16T05:51:31Z,CPA928,"22.316116,113.919594",0,11,250
