Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1758002453,2025-09-16T06:00:53Z,CPA310,"22.315908,113.932243",0,4,149
1758002471,2025-09-16T06:01:11Z,CPA310,"22.316128,113.932106",0,3,165
1758002495,2025-09-16T06:01:35Z,CPA310,"22.31641,113.932037",0,0,168
1758002518,2025-09-16T06:01:58Z,CPA310,"22.316736,113.931961",0,3,163
1758002555,2025-09-16T06:02:35Z,CPA310,"22.31694,113.931877",0,0,160
1758002796,2025-09-16T06:06:36Z,CPA310,"22.316654,113.931931",0,4,168
1758002809,2025-09-16T06:06:49Z,CPA310,"22.316433,113.93187",0,5,196
1758002821,2025-09-16T06:07:01Z,CPA310,"22.316162,113.931641",0,7,222
1758002829,2025-09-16T06:07:09Z,CPA310,"22.316002,113.931435",0,8,241
1758002833,2025-09-16T06:07:13Z,CPA310,"22.31599,113.931206",0,9,247
1758002841,2025-09-16T06:07:21Z,CPA310,"22.315863,113.930855",0,10,250
1758002848,2025-09-16T06:07:28Z,CPA310,"22.315746,113.93042",0,0,250
1758002865,2025-09-16T06:07:45Z,CPA310,"22.315468,113.929558",0,0,250
1758002877,2025-09-16T06:07:57Z,CPA310,"22.31513,113.928505",0,0,250
1758002884,2025-09-16T06:08:04Z,CPA310,"22.314949,113.927963",0,14,253
1758002890,2025-09-16T06:08:10Z,CPA310,"22.31496,113.92765",0,11,272
1758002894,2025-09-16T06:08:14Z,CPA310,"22.315075,113.927422",0,11,292
1758002899,2025-09-16T06:08:19Z,CPA310,"22.31521,113.927155",0,12,295
1758002903,2025-09-16T06:08:23Z,CPA310,"22.315304,113.926949",0,13,295
1758002908,2025-09-16T06:08:28Z,CPA310,"22.315441,113.926628",0,14,295
1758002914,2025-09-16T06:08:34Z,CPA310,"22.315607,113.926277",0,12,295
1758002925,2025-09-16T06:08:45Z,CPA310,"22.315781,113.925873",0,8,295
1758002936,2025-09-16T06:08:56Z,CPA310,"22.315933,113.925529",0,6,295
1758002946,2025-09-16T06:09:06Z,CPA310,"22.316082,113.925224",0,8,295
1758002953,2025-09-16T06:09:13Z,CPA310,"22.316231,113.924904",0,9,295
