Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757992133,2025-09-16T03:08:53Z,CPA956,"22.315979,113.930397",0,3,331
1757992156,2025-09-16T03:09:16Z,CPA956,"22.315712,113.93045",0,0,250
1757992491,2025-09-16T03:14:51Z,CPA956,"22.315659,113.930229",0,4,250
1757992503,2025-09-16T03:15:03Z,CPA956,"22.315567,113.929947",0,6,250
1757992552,2025-09-16T03:15:52Z,CPA956,"22.314926,113.927971",0,9,253
1757992562,2025-09-16T03:16:02Z,CPA956,"22.315029,113.927475",0,10,292
1757992566,2025-09-16T03:16:06Z,CPA956,"22.31513,113.927254",0,11,295
1757992571,2025-09-16T03:16:11Z,CPA956,"22.315233,113.927025",0,12,295
1757992577,2025-09-16T03:16:17Z,CPA956,"22.315386,113.926682",0,13,295
1757992581,2025-09-16T03:16:21Z,CPA956,"22.315502,113.92643",0,12,295
1757992599,2025-09-16T03:16:39Z,CPA956,"22.315796,113.925766",0,0,295
1757992607,2025-09-16T03:16:47Z,CPA956,"22.315922,113.925476",0,9,295
1757992613,2025-09-16T03:16:53Z,CPA956,"22.316048,113.925224",0,10,295
1757992622,2025-09-16T03:17:02Z,CPA956,"22.316235,113.924789",0,10,295
1757992628,2025-09-16T03:17:08Z,CPA956,"22.316399,113.924583",0,10,309
1757992633,2025-09-16T03:17:13Z,CPA956,"22.31662,113.924469",0,11,331
1757992638,2025-09-16T03:17:18Z,CPA956,"22.316883,113.924377",0,11,340
1757992645,2025-09-16T03:17:25Z,CPA956,"22.317192,113.924255",0,8,340
1757992653,2025-09-16T03:17:33Z,CPA956,"22.31741,113.924019",0,9,312
1757992657,2025-09-16T03:17:37Z,CPA956,"22.317444,113.923805",0,10,286
1757992663,2025-09-16T03:17:43Z,CPA956,"22.317375,113.923553",0,10,258
1757992670,2025-09-16T03:17:50Z,CPA956,"22.317284,113.923256",0,11,253
1757992678,2025-09-16T03:17:58Z,CPA956,"22.317097,113.922691",0,14,250
1757992682,2025-09-16T03:18:02Z,CPA956,"22.316998,113.922401",0,16,250
1757992686,2025-09-16T03:18:06Z,CPA956,"22.316917,113.922142",0,17,250
1757992689,2025-09-16T03:18:09Z,CPA956,"22.316814,113.921822",0,19,250
1757992691,2025-09-16T03:18:11Z,CPA956,"22.316746,113.921593",0,20,250
1757992700,2025-09-16T03:18:20Z,CPA956,"22.31649,113.920807",0,22,250
1757992707,2025-09-16T03:18:27Z,CPA956,"22.316235,113.920036",0,21,250
1757992714,2025-09-16T03:18:34Z,CPA956,"22.316025,113.919357",0,18,250
1757992721,2025-09-16T03:18:41Z,CPA956,"22.315828,113.918762",0,18,250
1757992727,2025-09-16T03:18:47Z,CPA956,"22.315647,113.918182",0,19,250
1757992734,2025-09-16T03:18:54Z,CPA956,"22.315418,113.917473",0,20,250
1757992741,2025-09-16T03:19:01Z,CPA956,"22.315224,113.916862",0,21,250
1757992748,2025-09-16T03:19:08Z,CPA956,"22.314966,113.916077",0,22,250
1757992756,2025-09-16T03:19:16Z,CPA956,"22.314697,113.91523",0,23,250
1757992766,2025-09-16T03:19:26Z,CPA956,"22.314331,113.914101",0,24,250
1757992775,2025-09-16T03:19:35Z,CPA956,"22.313976,113.912994",0,26,250
1757992786,2025-09-16T03:19:46Z,CPA956,"22.313541,113.911629",0,27,250
1757992796,2025-09-16T03:19:56Z,CPA956,"22.313116,113.910309",0,28,250
1757992806,2025-09-16T03:20:06Z,CPA956,"22.312717,113.909096",0,24,250
1757992813,2025-09-16T03:20:13Z,CPA956,"22.312466,113.908295",0,20,250
1757992827,2025-09-16T03:20:27Z,CPA956,"22.311998,113.906837",0,22,250
1757992837,2025-09-16T03:20:37Z,CPA956,"22.311672,113.905815",0,23,250
1757992844,2025-09-16T03:20:44Z,CPA956,"22.311382,113.904938",0,24,250
1757992852,2025-09-16T03:20:52Z,CPA956,"22.31109,113.904015",0,25,250
1757992860,2025-09-16T03:21:00Z,CPA956,"22.310789,113.903107",0,26,250
1757992867,2025-09-16T03:21:07Z,CPA956,"22.310474,113.902115",0,27,250
1757992878,2025-09-16T03:21:18Z,CPA956,"22.310051,113.900818",0,22,250
1757992885,2025-09-16T03:21:25Z,CPA956,"22.309868,113.900246",0,17,250
1757992891,2025-09-16T03:21:31Z,CPA956,"22.309731,113.899796",0,10,250
1757992900,2025-09-16T03:21:40Z,CPA956,"22.309637,113.899384",0,11,261
1757992904,2025-09-16T03:21:44Z,CPA956,"22.309706,113.899155",0,12,284
1757992909,2025-09-16T03:21:49Z,CPA956,"22.309916,113.898979",0,12,317
1757992913,2025-09-16T03:21:53Z,CPA956,"22.310137,113.898888",0,13,337
1757992917,2025-09-16T03:21:57Z,CPA956,"22.310369,113.898811",0,14,340
1757992921,2025-09-16T03:22:01Z,CPA956,"22.310648,113.898697",0,14,340
1757992926,2025-09-16T03:22:06Z,CPA956,"22.310909,113.898636",0,10,345
1757992938,2025-09-16T03:22:18Z,CPA956,"22.311275,113.898888",0,8,45
1757992944,2025-09-16T03:22:24Z,CPA956,"22.311348,113.899117",0,8,67
1757992953,2025-09-16T03:22:33Z,CPA956,"22.31147,113.899506",0,11,70
1757992957,2025-09-16T03:22:37Z,CPA956,"22.311539,113.899734",0,16,73
1757992960,2025-09-16T03:22:40Z,CPA956,"22.311638,113.900047",0,30,73
1757992962,2025-09-16T03:22:42Z,CPA956,"22.311825,113.90062",0,45,70
1757992964,2025-09-16T03:22:44Z,CPA956,"22.311987,113.901123",0,55,70
1757992966,2025-09-16T03:22:46Z,CPA956,"22.312077,113.901421",0,60,70
1757992967,2025-09-16T03:22:47Z,CPA956,"22.312243,113.901924",0,64,70
1757992968,2025-09-16T03:22:48Z,CPA956,"22.312395,113.902397",0,74,70
1757992969,2025-09-16T03:22:49Z,CPA956,"22.312466,113.902603",0,74,70
