Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757746727,2025-09-13T06:58:47Z,CPA360,"22.31286,113.932076",0,1,216
1757746865,2025-09-13T07:01:05Z,CPA360,"22.312729,113.931732",0,4,216
1757746885,2025-09-13T07:01:25Z,CPA360,"22.312569,113.93129",0,0,250
1757746896,2025-09-13T07:01:36Z,CPA360,"22.312441,113.930984",0,6,241
1757746920,2025-09-13T07:02:00Z,CPA360,"22.311687,113.930946",0,8,157
1757746928,2025-09-13T07:02:08Z,CPA360,"22.311382,113.931061",0,9,160
1757746935,2025-09-13T07:02:15Z,CPA360,"22.311127,113.93116",0,9,160
1757746943,2025-09-13T07:02:23Z,CPA360,"22.310858,113.931274",0,10,160
1757746951,2025-09-13T07:02:31Z,CPA360,"22.310429,113.931435",0,9,160
1757746961,2025-09-13T07:02:41Z,CPA360,"22.310097,113.931557",0,7,160
1757746975,2025-09-13T07:02:55Z,CPA360,"22.309671,113.931755",0,8,154
1757746985,2025-09-13T07:03:05Z,CPA360,"22.30933,113.931931",0,8,154
1757747011,2025-09-13T07:03:31Z,CPA360,"22.308609,113.932281",0,1,160
1757747209,2025-09-13T07:06:49Z,CPA360,"22.30838,113.932365",0,7,157
1757747218,2025-09-13T07:06:58Z,CPA360,"22.308048,113.93248",0,9,160
1757747226,2025-09-13T07:07:06Z,CPA360,"22.307762,113.932587",0,9,165
1757747232,2025-09-13T07:07:12Z,CPA360,"22.307533,113.932579",0,8,194
1757747241,2025-09-13T07:07:21Z,CPA360,"22.307344,113.932358",0,6,241
1757747249,2025-09-13T07:07:29Z,CPA360,"22.307285,113.932137",0,5,258
1757747261,2025-09-13T07:07:41Z,CPA360,"22.307178,113.931816",0,6,250
1757747267,2025-09-13T07:07:47Z,CPA360,"22.307112,113.931602",0,11,250
1757747274,2025-09-13T07:07:54Z,CPA360,"22.306858,113.930855",0,35,250
1757747276,2025-09-13T07:07:56Z,CPA360,"22.306709,113.930359",0,44,250
1757747278,2025-09-13T07:07:58Z,CPA360,"22.306572,113.929947",0,53,250
1757747279,2025-09-13T07:07:59Z,CPA360,"22.306494,113.929672",0,58,250
1757747286,2025-09-13T07:08:06Z,CPA360,"22.305645,113.927055",0,88,250
1757747293,2025-09-13T07:08:13Z,CPA360,"22.304523,113.923553",0,115,250
1757747301,2025-09-13T07:08:21Z,CPA360,"22.302807,113.918236",0,140,250
1757747308,2025-09-13T07:08:28Z,CPA360,"22.301001,113.912621",0,165,250
1757747315,2025-09-13T07:08:35Z,CPA360,"22.299316,113.907402",150,184,250
1757747323,2025-09-13T07:08:43Z,CPA360,"22.29694,113.9002",400,184,250
1757747332,2025-09-13T07:08:52Z,CPA360,"22.294518,113.892822",675,187,250
1757747340,2025-09-13T07:09:00Z,CPA360,"22.292006,113.885399",1000,188,250
1757747346,2025-09-13T07:09:06Z,CPA360,"22.290142,113.8797",1275,188,251
1757747355,2025-09-13T07:09:15Z,CPA360,"22.287722,113.872169",1600,191,250
1757747363,2025-09-13T07:09:23Z,CPA360,"22.284929,113.864952",1775,199,244
1757747365,2025-09-13T07:09:25Z,CPA360,"22.28409,113.863167",1800,203,243
1757747367,2025-09-13T07:09:27Z,CPA360,"22.283159,113.861336",1825,206,241
1757747369,2025-09-13T07:09:29Z,CPA360,"22.281996,113.8592",1875,209,239
1757747371,2025-09-13T07:09:31Z,CPA360,"22.280823,113.857262",1900,212,238
1757747373,2025-09-13T07:09:33Z,CPA360,"22.279808,113.855644",1975,212,235
1757747375,2025-09-13T07:09:35Z,CPA360,"22.27869,113.853912",2025,213,235
1757747377,2025-09-13T07:09:37Z,CPA360,"22.277294,113.85183",2075,213,234
1757747379,2025-09-13T07:09:39Z,CPA360,"22.276131,113.850044",2125,215,234
1757747381,2025-09-13T07:09:41Z,CPA360,"22.274967,113.84832",2175,216,234
1757747383,2025-09-13T07:09:43Z,CPA360,"22.273727,113.846321",2225,218,234
1757747386,2025-09-13T07:09:46Z,CPA360,"22.272686,113.844704",2250,219,235
1757747388,2025-09-13T07:09:48Z,CPA360,"22.271755,113.843231",2275,222,235
1757747390,2025-09-13T07:09:50Z,CPA360,"22.270203,113.840828",2325,225,235
1757747392,2025-09-13T07:09:52Z,CPA360,"22.269148,113.839165",2350,227,235
1757747394,2025-09-13T07:09:54Z,CPA360,"22.267548,113.836685",2375,231,235
1757747396,2025-09-13T07:09:56Z,CPA360,"22.266586,113.835136",2400,234,235
1757747404,2025-09-13T07:10:04Z,CPA360,"22.261141,113.826752",2575,240,233
1757747407,2025-09-13T07:10:07Z,CPA360,"22.259697,113.824867",2625,242,229
1757747409,2025-09-13T07:10:09Z,CPA360,"22.25766,113.822556",2700,243,225
1757747411,2025-09-13T07:10:11Z,CPA360,"22.256012,113.820908",2750,244,222
1757747413,2025-09-13T07:10:13Z,CPA360,"22.254227,113.819405",2825,244,218
1757747415,2025-09-13T07:10:15Z,CPA360,"22.252155,113.817902",2875,245,214
1757747417,2025-09-13T07:10:17Z,CPA360,"22.2502,113.816628",2925,245,210
