Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757727562,2025-09-13T01:39:22Z,CPA342,"22.315153,113.923187",0,0,126
1757727668,2025-09-13T01:41:08Z,CPA342,"22.315315,113.922974",0,2,132
1757727688,2025-09-13T01:41:28Z,CPA342,"22.315418,113.922768",0,2,151
1757727713,2025-09-13T01:41:53Z,CPA342,"22.315619,113.922577",0,3,180
1757727731,2025-09-13T01:42:11Z,CPA342,"22.315819,113.92247",0,3,216
1757727752,2025-09-13T01:42:32Z,CPA342,"22.316059,113.922607",0,3,247
1757727996,2025-09-13T01:46:36Z,CPA342,"22.316002,113.922333",0,0,250
1757728005,2025-09-13T01:46:45Z,CPA342,"22.315933,113.922104",0,6,250
1757728017,2025-09-13T01:46:57Z,CPA342,"22.315784,113.921669",0,9,250
1757728024,2025-09-13T01:47:04Z,CPA342,"22.315701,113.921379",0,10,250
1757728031,2025-09-13T01:47:11Z,CPA342,"22.315584,113.921051",0,9,250
1757728038,2025-09-13T01:47:18Z,CPA342,"22.315491,113.920731",0,9,253
1757728046,2025-09-13T01:47:26Z,CPA342,"22.31567,113.920448",0,10,295
1757728051,2025-09-13T01:47:31Z,CPA342,"22.315897,113.920364",0,9,326
1757728059,2025-09-13T01:47:39Z,CPA342,"22.316118,113.920189",0,9,320
1757728067,2025-09-13T01:47:47Z,CPA342,"22.316154,113.919922",0,8,292
1757728070,2025-09-13T01:47:50Z,CPA342,"22.316118,113.919716",0,8,272
1757728077,2025-09-13T01:47:57Z,CPA342,"22.316036,113.919495",0,8,255
1757728082,2025-09-13T01:48:02Z,CPA342,"22.315956,113.919273",0,9,253
1757728087,2025-09-13T01:48:07Z,CPA342,"22.315865,113.919006",0,10,250
1757728092,2025-09-13T01:48:12Z,CPA342,"22.315792,113.918777",0,11,250
1757728096,2025-09-13T01:48:16Z,CPA342,"22.315735,113.918571",0,11,250
1757728104,2025-09-13T01:48:24Z,CPA342,"22.315607,113.91819",0,12,250
1757728111,2025-09-13T01:48:31Z,CPA342,"22.315464,113.917725",0,13,250
1757728119,2025-09-13T01:48:39Z,CPA342,"22.315292,113.917213",0,14,250
1757728125,2025-09-13T01:48:45Z,CPA342,"22.315142,113.916725",0,15,250
1757728132,2025-09-13T01:48:52Z,CPA342,"22.314978,113.916229",0,16,250
1757728139,2025-09-13T01:48:59Z,CPA342,"22.314816,113.91571",0,17,250
1757728153,2025-09-13T01:49:13Z,CPA342,"22.3144,113.914436",0,19,250
1757728160,2025-09-13T01:49:20Z,CPA342,"22.314198,113.913826",0,20,250
1757728167,2025-09-13T01:49:27Z,CPA342,"22.313953,113.91304",0,21,250
1757728174,2025-09-13T01:49:34Z,CPA342,"22.313816,113.912643",0,0,250
1757728184,2025-09-13T01:49:44Z,CPA342,"22.31357,113.911858",0,21,250
1757728196,2025-09-13T01:49:56Z,CPA342,"22.313061,113.910286",0,23,250
1757728204,2025-09-13T01:50:04Z,CPA342,"22.312752,113.909309",0,24,250
1757728211,2025-09-13T01:50:11Z,CPA342,"22.312511,113.908569",0,18,250
1757728218,2025-09-13T01:50:18Z,CPA342,"22.31229,113.907913",0,19,250
1757728225,2025-09-13T01:50:25Z,CPA342,"22.312077,113.907227",0,19,250
1757728236,2025-09-13T01:50:36Z,CPA342,"22.311731,113.906158",0,21,250
1757728244,2025-09-13T01:50:44Z,CPA342,"22.311464,113.90535",0,22,250
1757728250,2025-09-13T01:50:50Z,CPA342,"22.311241,113.90464",0,23,250
1757728258,2025-09-13T01:50:58Z,CPA342,"22.310978,113.903831",0,24,250
1757728266,2025-09-13T01:51:06Z,CPA342,"22.310669,113.902878",0,25,250
1757728274,2025-09-13T01:51:14Z,CPA342,"22.31044,113.902168",0,25,250
1757728282,2025-09-13T01:51:22Z,CPA342,"22.31004,113.900909",0,23,250
1757728288,2025-09-13T01:51:28Z,CPA342,"22.309822,113.900238",0,20,250
1757728295,2025-09-13T01:51:35Z,CPA342,"22.309628,113.899643",0,16,250
1757728302,2025-09-13T01:51:42Z,CPA342,"22.309502,113.899223",0,12,250
1757728310,2025-09-13T01:51:50Z,CPA342,"22.309368,113.898827",0,10,250
1757728316,2025-09-13T01:51:56Z,CPA342,"22.309263,113.898521",0,8,250
1757728322,2025-09-13T01:52:02Z,CPA342,"22.309217,113.8983",0,6,255
1757728331,2025-09-13T01:52:11Z,CPA342,"22.309399,113.898094",0,7,295
1757728338,2025-09-13T01:52:18Z,CPA342,"22.309612,113.898064",0,6,329
1757728664,2025-09-13T01:57:44Z,CPA342,"22.309845,113.897987",0,4,337
1757728672,2025-09-13T01:57:52Z,CPA342,"22.310062,113.897911",0,7,340
1757728680,2025-09-13T01:58:00Z,CPA342,"22.310349,113.897812",0,10,340
1757728686,2025-09-13T01:58:06Z,CPA342,"22.310625,113.897705",0,9,343
1757728694,2025-09-13T01:58:14Z,CPA342,"22.310869,113.897743",0,7,2
1757728710,2025-09-13T01:58:30Z,CPA342,"22.311033,113.898239",0,6,67
1757728802,2025-09-13T02:00:02Z,CPA342,"22.311081,113.89846",0,7,70
1757728812,2025-09-13T02:00:12Z,CPA342,"22.311417,113.899475",0,39,70
1757728819,2025-09-13T02:00:19Z,CPA342,"22.312035,113.90139",0,70,70
1757728827,2025-09-13T02:00:27Z,CPA342,"22.313,113.904366",0,99,70
1757728833,2025-09-13T02:00:33Z,CPA342,"22.314056,113.907646",50,123,70
1757728841,2025-09-13T02:00:41Z,CPA342,"22.316025,113.913689",25,154,70
1757728849,2025-09-13T02:00:49Z,CPA342,"22.317747,113.919273",125,167,71
1757728856,2025-09-13T02:00:56Z,CPA342,"22.319595,113.925026",450,162,71
1757728862,2025-09-13T02:01:02Z,CPA342,"22.321106,113.929718",725,160,70
1757728870,2025-09-13T02:01:10Z,CPA342,"22.323149,113.935905",1025,163,70
1757728879,2025-09-13T02:01:19Z,CPA342,"22.32518,113.942154",1325,164,70
1757728887,2025-09-13T02:01:27Z,CPA342,"22.327337,113.948822",1650,166,70
1757728895,2025-09-13T02:01:35Z,CPA342,"22.329573,113.955635",1850,174,70
