Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757992424,2025-09-16T03:13:44Z,CPA946,"22.31456,113.922997",0,0,42
1757992472,2025-09-16T03:14:32Z,CPA946,"22.314365,113.922783",0,3,42
1757992493,2025-09-16T03:14:53Z,CPA946,"22.314217,113.922531",0,3,19
1757992522,2025-09-16T03:15:22Z,CPA946,"22.313953,113.922363",0,3,323
1757992543,2025-09-16T03:15:43Z,CPA946,"22.313713,113.922478",0,2,303
1757992770,2025-09-16T03:19:30Z,CPA946,"22.313793,113.922203",0,6,295
1757992777,2025-09-16T03:19:37Z,CPA946,"22.313896,113.921982",0,7,295
1757992786,2025-09-16T03:19:46Z,CPA946,"22.314001,113.921776",0,8,295
1757992793,2025-09-16T03:19:53Z,CPA946,"22.314159,113.921417",0,9,295
1757992803,2025-09-16T03:20:03Z,CPA946,"22.314407,113.920975",0,10,303
1757992811,2025-09-16T03:20:11Z,CPA946,"22.314756,113.920799",0,10,331
1757992816,2025-09-16T03:20:16Z,CPA946,"22.314972,113.920723",0,11,337
1757992821,2025-09-16T03:20:21Z,CPA946,"22.315199,113.920647",0,12,340
1757992826,2025-09-16T03:20:26Z,CPA946,"22.315498,113.920532",0,13,340
1757992830,2025-09-16T03:20:30Z,CPA946,"22.315727,113.920448",0,13,340
1757992837,2025-09-16T03:20:37Z,CPA946,"22.316036,113.920319",0,10,340
1757992842,2025-09-16T03:20:42Z,CPA946,"22.3162,113.920113",0,9,317
1757992847,2025-09-16T03:20:47Z,CPA946,"22.316219,113.919907",0,9,292
1757992852,2025-09-16T03:20:52Z,CPA946,"22.316162,113.919685",0,8,270
1757992859,2025-09-16T03:20:59Z,CPA946,"22.316072,113.919434",0,9,253
1757992864,2025-09-16T03:21:04Z,CPA946,"22.31599,113.919197",0,9,250
1757992871,2025-09-16T03:21:11Z,CPA946,"22.315887,113.9189",0,10,250
1757992876,2025-09-16T03:21:16Z,CPA946,"22.315817,113.918648",0,11,250
1757992880,2025-09-16T03:21:20Z,CPA946,"22.315735,113.918404",0,11,250
1757992888,2025-09-16T03:21:28Z,CPA946,"22.315607,113.917984",0,12,250
1757992896,2025-09-16T03:21:36Z,CPA946,"22.315443,113.917488",0,13,250
1757992903,2025-09-16T03:21:43Z,CPA946,"22.315292,113.917061",0,13,250
1757992910,2025-09-16T03:21:50Z,CPA946,"22.315212,113.916771",0,8,250
1757992917,2025-09-16T03:21:57Z,CPA946,"22.315121,113.916473",0,10,250
1757992924,2025-09-16T03:22:04Z,CPA946,"22.315001,113.916107",0,11,250
1757992933,2025-09-16T03:22:13Z,CPA946,"22.314838,113.915619",0,12,250
1757992940,2025-09-16T03:22:20Z,CPA946,"22.314697,113.915176",0,13,250
1757992952,2025-09-16T03:22:32Z,CPA946,"22.314434,113.914368",0,14,250
1757992959,2025-09-16T03:22:39Z,CPA946,"22.314291,113.913918",0,14,250
1757992967,2025-09-16T03:22:47Z,CPA946,"22.314152,113.913498",0,11,250
1757992973,2025-09-16T03:22:53Z,CPA946,"22.314047,113.91317",0,11,250
1757992981,2025-09-16T03:23:01Z,CPA946,"22.313919,113.912758",0,12,250
1757992988,2025-09-16T03:23:08Z,CPA946,"22.313805,113.912376",0,13,250
1757992994,2025-09-16T03:23:14Z,CPA946,"22.313656,113.911957",0,13,250
1757993004,2025-09-16T03:23:24Z,CPA946,"22.313461,113.911346",0,13,250
1757993015,2025-09-16T03:23:35Z,CPA946,"22.313244,113.91066",0,12,250
1757993025,2025-09-16T03:23:45Z,CPA946,"22.313118,113.910294",0,6,250
1757993037,2025-09-16T03:23:57Z,CPA946,"22.312981,113.909843",0,8,250
1757993045,2025-09-16T03:24:05Z,CPA946,"22.312855,113.909485",0,10,250
1757993053,2025-09-16T03:24:13Z,CPA946,"22.312752,113.909149",0,11,250
1757993059,2025-09-16T03:24:19Z,CPA946,"22.312626,113.908775",0,12,250
1757993068,2025-09-16T03:24:28Z,CPA946,"22.312475,113.908295",0,13,250
1757993075,2025-09-16T03:24:35Z,CPA946,"22.312317,113.907784",0,14,250
1757993084,2025-09-16T03:24:44Z,CPA946,"22.312126,113.907181",0,15,250
1757993091,2025-09-16T03:24:51Z,CPA946,"22.312042,113.906937",0,16,250
1757993101,2025-09-16T03:25:01Z,CPA946,"22.3118,113.906174",0,0,250
1757993109,2025-09-16T03:25:09Z,CPA946,"22.311476,113.905197",0,16,250
1757993117,2025-09-16T03:25:17Z,CPA946,"22.311289,113.90461",0,15,250
