Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757692297,2025-09-12T15:51:37Z,CPA291,"22.313805,113.926971",0,0,205
1757692399,2025-09-12T15:53:19Z,CPA291,"22.314095,113.927132",0,3,208
1757692418,2025-09-12T15:53:38Z,CPA291,"22.314331,113.927223",0,2,219
1757692438,2025-09-12T15:53:58Z,CPA291,"22.31456,113.927368",0,3,236
1757692456,2025-09-12T15:54:16Z,CPA291,"22.31472,113.927574",0,3,241
1757692478,2025-09-12T15:54:38Z,CPA291,"22.314861,113.927803",0,3,253
1757692550,2025-09-12T15:55:50Z,CPA291,"22.314938,113.928108",0,0,250
1757692784,2025-09-12T15:59:44Z,CPA291,"22.314857,113.927757",0,0,255
1757692796,2025-09-12T15:59:56Z,CPA291,"22.314938,113.927536",0,4,275
1757692810,2025-09-12T16:00:10Z,CPA291,"22.315063,113.927315",0,4,292
1757692823,2025-09-12T16:00:23Z,CPA291,"22.315176,113.927078",0,5,295
1757692833,2025-09-12T16:00:33Z,CPA291,"22.315327,113.92675",0,7,295
1757692844,2025-09-12T16:00:44Z,CPA291,"22.315487,113.926399",0,8,295
1757692854,2025-09-12T16:00:54Z,CPA291,"22.315647,113.926048",0,9,295
1757692861,2025-09-12T16:01:01Z,CPA291,"22.315781,113.925758",0,10,295
1757692869,2025-09-12T16:01:09Z,CPA291,"22.315956,113.925377",0,10,295
1757692877,2025-09-12T16:01:17Z,CPA291,"22.316116,113.925026",0,11,295
1757692883,2025-09-12T16:01:23Z,CPA291,"22.316254,113.924713",0,11,295
1757692891,2025-09-12T16:01:31Z,CPA291,"22.316414,113.924355",0,12,295
1757692897,2025-09-12T16:01:37Z,CPA291,"22.316549,113.923988",0,12,289
1757692901,2025-09-12T16:01:41Z,CPA291,"22.316517,113.923752",0,12,272
1757692905,2025-09-12T16:01:45Z,CPA291,"22.316437,113.923538",0,11,258
1757692910,2025-09-12T16:01:50Z,CPA291,"22.316328,113.923286",0,11,250
1757692914,2025-09-12T16:01:54Z,CPA291,"22.316257,113.923073",0,11,250
1757692918,2025-09-12T16:01:58Z,CPA291,"22.316189,113.922859",0,11,250
1757692922,2025-09-12T16:02:02Z,CPA291,"22.316118,113.922653",0,12,250
1757692934,2025-09-12T16:02:14Z,CPA291,"22.315886,113.921944",0,12,250
1757692941,2025-09-12T16:02:21Z,CPA291,"22.315796,113.921654",0,13,250
1757692948,2025-09-12T16:02:28Z,CPA291,"22.31563,113.921112",0,12,250
1757692955,2025-09-12T16:02:35Z,CPA291,"22.315475,113.920769",0,10,244
1757692960,2025-09-12T16:02:40Z,CPA291,"22.315269,113.920647",0,10,222
1757692965,2025-09-12T16:02:45Z,CPA291,"22.315041,113.920654",0,11,196
1757692969,2025-09-12T16:02:49Z,CPA291,"22.314838,113.920723",0,10,177
1757692974,2025-09-12T16:02:54Z,CPA291,"22.314629,113.920837",0,9,163
1757692985,2025-09-12T16:03:05Z,CPA291,"22.314274,113.920967",0,8,160
1757692993,2025-09-12T16:03:13Z,CPA291,"22.313965,113.921089",0,8,160
1757693000,2025-09-12T16:03:20Z,CPA291,"22.313732,113.921181",0,9,160
1757693010,2025-09-12T16:03:30Z,CPA291,"22.313383,113.921318",0,10,160
1757693017,2025-09-12T16:03:37Z,CPA291,"22.312941,113.921486",0,12,160
1757693024,2025-09-12T16:03:44Z,CPA291,"22.312546,113.921631",0,13,160
1757693031,2025-09-12T16:03:51Z,CPA291,"22.312157,113.921768",0,14,160
1757693038,2025-09-12T16:03:58Z,CPA291,"22.311649,113.921951",0,15,160
1757693045,2025-09-12T16:04:05Z,CPA291,"22.311184,113.922127",0,15,160
1757693052,2025-09-12T16:04:12Z,CPA291,"22.310772,113.922295",0,16,160
1757693059,2025-09-12T16:04:19Z,CPA291,"22.310171,113.922516",0,16,160
1757693066,2025-09-12T16:04:26Z,CPA291,"22.309696,113.922691",0,16,160
1757693074,2025-09-12T16:04:34Z,CPA291,"22.309147,113.92289",0,17,160
1757693082,2025-09-12T16:04:42Z,CPA291,"22.308531,113.923126",0,15,160
1757693089,2025-09-12T16:04:49Z,CPA291,"22.308094,113.923294",0,13,160
1757693096,2025-09-12T16:04:56Z,CPA291,"22.307716,113.923431",0,11,160
1757693101,2025-09-12T16:05:01Z,CPA291,"22.307499,113.923477",0,11,165
1757693106,2025-09-12T16:05:06Z,CPA291,"22.30724,113.923393",0,12,188
1757693112,2025-09-12T16:05:12Z,CPA291,"22.307053,113.923126",0,12,222
1757693116,2025-09-12T16:05:16Z,CPA291,"22.306995,113.922905",0,11,239
1757693120,2025-09-12T16:05:20Z,CPA291,"22.306938,113.922668",0,11,250
1757693124,2025-09-12T16:05:24Z,CPA291,"22.30689,113.922462",0,11,253
1757693129,2025-09-12T16:05:29Z,CPA291,"22.306808,113.922195",0,11,250
1757693134,2025-09-12T16:05:34Z,CPA291,"22.306715,113.921944",0,11,250
1757693141,2025-09-12T16:05:41Z,CPA291,"22.30661,113.921608",0,12,250
1757693155,2025-09-12T16:05:55Z,CPA291,"22.306332,113.920731",0,13,250
1757693161,2025-09-12T16:06:01Z,CPA291,"22.306206,113.920319",0,13,250
1757693169,2025-09-12T16:06:09Z,CPA291,"22.306057,113.919868",0,13,250
1757693176,2025-09-12T16:06:16Z,CPA291,"22.305912,113.919411",0,14,250
1757693184,2025-09-12T16:06:24Z,CPA291,"22.305725,113.918861",0,14,250
1757693191,2025-09-12T16:06:31Z,CPA291,"22.305563,113.918343",0,14,250
1757693198,2025-09-12T16:06:38Z,CPA291,"22.305412,113.917862",0,15,250
1757693205,2025-09-12T16:06:45Z,CPA291,"22.30526,113.917404",0,15,250
1757693212,2025-09-12T16:06:52Z,CPA291,"22.305073,113.916847",0,15,250
1757693219,2025-09-12T16:06:59Z,CPA291,"22.304922,113.916344",0,15,250
1757693226,2025-09-12T16:07:06Z,CPA291,"22.304749,113.91581",0,16,250
1757693233,2025-09-12T16:07:13Z,CPA291,"22.304562,113.915237",0,16,250
1757693240,2025-09-12T16:07:20Z,CPA291,"22.304377,113.91468",0,17,250
1757693249,2025-09-12T16:07:29Z,CPA291,"22.304167,113.913994",0,17,250
1757693256,2025-09-12T16:07:36Z,CPA291,"22.303974,113.913414",0,17,250
1757693263,2025-09-12T16:07:43Z,CPA291,"22.303782,113.912834",0,17,250
1757693270,2025-09-12T16:07:50Z,CPA291,"22.303585,113.912216",0,18,250
1757693277,2025-09-12T16:07:57Z,CPA291,"22.303379,113.911583",0,18,250
1757693284,2025-09-12T16:08:04Z,CPA291,"22.303177,113.910942",0,19,250
1757693291,2025-09-12T16:08:11Z,CPA291,"22.302967,113.910309",0,19,250
1757693298,2025-09-12T16:08:18Z,CPA291,"22.302773,113.909698",0,20,250
1757693305,2025-09-12T16:08:25Z,CPA291,"22.302544,113.908997",0,20,250
1757693313,2025-09-12T16:08:33Z,CPA291,"22.302326,113.908295",0,20,250
1757693319,2025-09-12T16:08:39Z,CPA291,"22.302095,113.90757",0,21,250
1757693326,2025-09-12T16:08:46Z,CPA291,"22.301874,113.906883",0,21,250
1757693335,2025-09-12T16:08:55Z,CPA291,"22.301582,113.906029",0,21,250
1757693342,2025-09-12T16:09:02Z,CPA291,"22.301353,113.905304",0,21,250
1757693349,2025-09-12T16:09:09Z,CPA291,"22.301151,113.904671",0,21,250
1757693356,2025-09-12T16:09:16Z,CPA291,"22.300873,113.903786",0,22,250
1757693363,2025-09-12T16:09:23Z,CPA291,"22.300655,113.903107",0,22,250
1757693371,2025-09-12T16:09:31Z,CPA291,"22.300396,113.902321",0,22,250
1757693378,2025-09-12T16:09:38Z,CPA291,"22.300129,113.901505",0,22,250
1757693385,2025-09-12T16:09:45Z,CPA291,"22.299908,113.900795",0,22,250
1757693392,2025-09-12T16:09:52Z,CPA291,"22.299662,113.900055",0,22,250
1757693399,2025-09-12T16:09:59Z,CPA291,"22.299429,113.899292",0,22,250
1757693409,2025-09-12T16:10:09Z,CPA291,"22.29908,113.898239",0,17,250
1757693417,2025-09-12T16:10:17Z,CPA291,"22.298918,113.897743",0,12,250
1757693423,2025-09-12T16:10:23Z,CPA291,"22.29879,113.897438",0,10,244
1757693429,2025-09-12T16:10:29Z,CPA291,"22.298546,113.897308",0,10,216
1757693434,2025-09-12T16:10:34Z,CPA291,"22.298313,113.897324",0,10,194
1757693439,2025-09-12T16:10:39Z,CPA291,"22.298092,113.897385",0,9,174
