Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757693046,2025-09-12T16:04:06Z,CPA261,"22.309416,113.926224",0,0,295
1757693171,2025-09-12T16:06:11Z,CPA261,"22.309275,113.926521",0,3,295
1757693187,2025-09-12T16:06:27Z,CPA261,"22.309193,113.926727",0,2,295
1757693211,2025-09-12T16:06:51Z,CPA261,"22.308987,113.927002",0,3,264
1757693227,2025-09-12T16:07:07Z,CPA261,"22.308929,113.927208",0,3,241
1757693243,2025-09-12T16:07:23Z,CPA261,"22.308937,113.927422",0,3,216
1757693268,2025-09-12T16:07:48Z,CPA261,"22.309147,113.927628",0,3,205
1757693283,2025-09-12T16:08:03Z,CPA261,"22.309357,113.927711",0,3,205
1757693557,2025-09-12T16:12:37Z,CPA261,"22.309147,113.927597",0,4,205
1757693569,2025-09-12T16:12:49Z,CPA261,"22.308929,113.927498",0,5,205
1757693583,2025-09-12T16:13:03Z,CPA261,"22.308636,113.92733",0,5,205
1757693592,2025-09-12T16:13:12Z,CPA261,"22.308426,113.927208",0,6,208
1757693600,2025-09-12T16:13:20Z,CPA261,"22.308298,113.927002",0,6,227
1757693607,2025-09-12T16:13:27Z,CPA261,"22.30825,113.926788",0,6,241
1757693615,2025-09-12T16:13:35Z,CPA261,"22.308197,113.926559",0,6,250
1757693622,2025-09-12T16:13:42Z,CPA261,"22.308128,113.926353",0,7,250
1757693628,2025-09-12T16:13:48Z,CPA261,"22.308065,113.926147",0,7,250
1757693636,2025-09-12T16:13:56Z,CPA261,"22.307983,113.925911",0,7,250
1757693642,2025-09-12T16:14:02Z,CPA261,"22.307915,113.925667",0,7,250
1757693649,2025-09-12T16:14:09Z,CPA261,"22.307833,113.925423",0,8,250
1757693657,2025-09-12T16:14:17Z,CPA261,"22.307751,113.925179",0,8,250
1757693665,2025-09-12T16:14:25Z,CPA261,"22.307636,113.924812",0,9,250
1757693672,2025-09-12T16:14:32Z,CPA261,"22.307556,113.924568",0,9,250
1757693679,2025-09-12T16:14:39Z,CPA261,"22.307442,113.924217",0,9,250
1757693689,2025-09-12T16:14:49Z,CPA261,"22.307316,113.923813",0,9,250
1757693696,2025-09-12T16:14:56Z,CPA261,"22.307224,113.923531",0,9,250
