Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757606681,2025-09-11T16:04:41Z,CPA289,"22.311405,113.93528",0,0,0
1757606788,2025-09-11T16:06:28Z,CPA289,"22.311344,113.935074",0,3,0
1757606802,2025-09-11T16:06:42Z,CPA289,"22.311264,113.934853",0,3,0
1757606817,2025-09-11T16:06:57Z,CPA289,"22.311184,113.934631",0,3,0
1757606835,2025-09-11T16:07:15Z,CPA289,"22.311035,113.934418",0,3,0
1757606852,2025-09-11T16:07:32Z,CPA289,"22.311035,113.934212",0,2,0
1757606873,2025-09-11T16:07:53Z,CPA289,"22.311172,113.934006",0,3,0
1757607141,2025-09-11T16:12:21Z,CPA289,"22.310829,113.934151",0,6,0
1757607148,2025-09-11T16:12:28Z,CPA289,"22.310579,113.934235",0,8,0
1757607155,2025-09-11T16:12:35Z,CPA289,"22.310314,113.934288",0,8,0
1757607163,2025-09-11T16:12:43Z,CPA289,"22.310091,113.934196",0,0,0
1757607167,2025-09-11T16:12:47Z,CPA289,"22.310579,113.934235",0,8,164
1757607183,2025-09-11T16:13:03Z,CPA289,"22.309696,113.933525",0,5,205
1757607195,2025-09-11T16:13:15Z,CPA289,"22.309589,113.933296",0,4,205
1757607212,2025-09-11T16:13:32Z,CPA289,"22.309439,113.933006",0,4,205
1757607221,2025-09-11T16:13:41Z,CPA289,"22.309334,113.932785",0,6,205
1757607229,2025-09-11T16:13:49Z,CPA289,"22.309204,113.932495",0,8,205
1757607236,2025-09-11T16:13:56Z,CPA289,"22.309172,113.93219",0,10,205
1757607244,2025-09-11T16:14:04Z,CPA289,"22.309334,113.931717",0,12,205
1757607252,2025-09-11T16:14:12Z,CPA289,"22.309502,113.931244",0,13,205
1757607260,2025-09-11T16:14:20Z,CPA289,"22.309544,113.93074",0,13,205
1757607267,2025-09-11T16:14:27Z,CPA289,"22.309416,113.930283",0,13,205
1757607275,2025-09-11T16:14:35Z,CPA289,"22.309263,113.929802",0,13,205
1757607282,2025-09-11T16:14:42Z,CPA289,"22.309124,113.929352",0,13,205
1757607289,2025-09-11T16:14:49Z,CPA289,"22.308996,113.928947",0,14,205
1757607296,2025-09-11T16:14:56Z,CPA289,"22.308834,113.928467",0,14,205
1757607303,2025-09-11T16:15:03Z,CPA289,"22.308701,113.928032",0,14,205
1757607310,2025-09-11T16:15:10Z,CPA289,"22.30854,113.927551",0,13,205
1757607317,2025-09-11T16:15:17Z,CPA289,"22.308414,113.927155",0,12,205
1757607325,2025-09-11T16:15:25Z,CPA289,"22.308266,113.926689",0,13,205
1757607331,2025-09-11T16:15:31Z,CPA289,"22.308147,113.926331",0,13,205
1757607338,2025-09-11T16:15:38Z,CPA289,"22.307991,113.925835",0,13,205
1757607346,2025-09-11T16:15:46Z,CPA289,"22.307831,113.925339",0,14,205
1757607354,2025-09-11T16:15:54Z,CPA289,"22.307657,113.924789",0,14,205
1757607362,2025-09-11T16:16:02Z,CPA289,"22.307556,113.9245",0,14,205
1757607373,2025-09-11T16:16:13Z,CPA289,"22.307236,113.9235",0,15,205
1757607380,2025-09-11T16:16:20Z,CPA289,"22.307053,113.92292",0,15,205
1757607387,2025-09-11T16:16:27Z,CPA289,"22.306877,113.922401",0,16,205
1757607394,2025-09-11T16:16:34Z,CPA289,"22.306738,113.921967",0,16,205
1757607402,2025-09-11T16:16:42Z,CPA289,"22.306595,113.921516",0,15,205
1757607407,2025-09-11T16:16:47Z,CPA289,"22.306412,113.920921",0,15,251
1757607411,2025-09-11T16:16:51Z,CPA289,"22.306307,113.920631",0,15,251
1757607415,2025-09-11T16:16:55Z,CPA289,"22.306229,113.920372",0,15,251
1757607419,2025-09-11T16:16:59Z,CPA289,"22.306126,113.920044",0,15,251
1757607423,2025-09-11T16:17:03Z,CPA289,"22.30604,113.919792",0,15,251
1757607426,2025-09-11T16:17:06Z,CPA289,"22.305971,113.919548",0,15,251
1757607433,2025-09-11T16:17:13Z,CPA289,"22.305782,113.918983",0,16,251
1757607441,2025-09-11T16:17:21Z,CPA289,"22.305599,113.918396",0,16,251
1757607448,2025-09-11T16:17:28Z,CPA289,"22.305387,113.91777",0,17,251
1757607455,2025-09-11T16:17:35Z,CPA289,"22.305225,113.917259",0,17,251
1757607462,2025-09-11T16:17:42Z,CPA289,"22.305016,113.916626",0,17,251
1757607470,2025-09-11T16:17:50Z,CPA289,"22.304817,113.915993",0,17,251
1757607477,2025-09-11T16:17:57Z,CPA289,"22.304626,113.91539",0,18,251
1757607484,2025-09-11T16:18:04Z,CPA289,"22.30442,113.914749",0,18,251
1757607491,2025-09-11T16:18:11Z,CPA289,"22.304235,113.914169",0,16,251
1757607499,2025-09-11T16:18:19Z,CPA289,"22.30405,113.913612",0,16,251
1757607505,2025-09-11T16:18:25Z,CPA289,"22.303886,113.913094",0,16,251
1757607512,2025-09-11T16:18:32Z,CPA289,"22.303711,113.912567",0,16,251
1757607520,2025-09-11T16:18:40Z,CPA289,"22.303516,113.911934",0,17,251
1757607527,2025-09-11T16:18:47Z,CPA289,"22.303316,113.911324",0,17,251
1757607534,2025-09-11T16:18:54Z,CPA289,"22.303131,113.910751",0,18,251
1757607541,2025-09-11T16:19:01Z,CPA289,"22.302956,113.91021",0,18,251
1757607549,2025-09-11T16:19:09Z,CPA289,"22.302734,113.909492",0,19,251
1757607555,2025-09-11T16:19:15Z,CPA289,"22.302521,113.908844",0,18,251
1757607562,2025-09-11T16:19:22Z,CPA289,"22.302328,113.908272",0,18,251
1757607569,2025-09-11T16:19:29Z,CPA289,"22.302153,113.9077",0,16,251
1757607576,2025-09-11T16:19:36Z,CPA289,"22.301971,113.90715",0,15,251
1757607591,2025-09-11T16:19:51Z,CPA289,"22.301641,113.90612",0,0,251
1757607598,2025-09-11T16:19:58Z,CPA289,"22.301455,113.905563",0,15,251
1757607608,2025-09-11T16:20:08Z,CPA289,"22.301205,113.904778",0,0,251
1757607615,2025-09-11T16:20:15Z,CPA289,"22.301023,113.90419",0,16,251
1757607622,2025-09-11T16:20:22Z,CPA289,"22.30085,113.903656",0,15,251
1757607631,2025-09-11T16:20:31Z,CPA289,"22.300644,113.903038",0,16,251
1757607638,2025-09-11T16:20:38Z,CPA289,"22.300449,113.902443",0,16,251
1757607645,2025-09-11T16:20:45Z,CPA289,"22.300266,113.901871",0,16,251
1757607653,2025-09-11T16:20:53Z,CPA289,"22.300058,113.901237",0,17,251
1757607661,2025-09-11T16:21:01Z,CPA289,"22.299889,113.900703",0,14,251
1757607668,2025-09-11T16:21:08Z,CPA289,"22.299744,113.900261",0,14,251
1757607675,2025-09-11T16:21:15Z,CPA289,"22.299603,113.899796",0,14,251
1757607682,2025-09-11T16:21:22Z,CPA289,"22.299431,113.8993",0,14,251
1757607694,2025-09-11T16:21:34Z,CPA289,"22.299173,113.898491",0,14,250
1757607700,2025-09-11T16:21:40Z,CPA289,"22.299076,113.898163",0,12,250
1757607707,2025-09-11T16:21:47Z,CPA289,"22.298939,113.897736",0,11,250
1757607716,2025-09-11T16:21:56Z,CPA289,"22.298756,113.897446",0,10,250
1757607723,2025-09-11T16:22:03Z,CPA289,"22.298382,113.897346",0,9,250
1757607731,2025-09-11T16:22:11Z,CPA289,"22.29808,113.897446",0,8,250
1757607740,2025-09-11T16:22:20Z,CPA289,"22.29784,113.897537",0,5,250
1757607759,2025-09-11T16:22:39Z,CPA289,"22.297626,113.897614",0,2,250
1757607776,2025-09-11T16:22:56Z,CPA289,"22.297371,113.897713",0,4,250
1757607785,2025-09-11T16:23:05Z,CPA289,"22.297165,113.897789",0,5,250
1757607793,2025-09-11T16:23:13Z,CPA289,"22.29694,113.897873",0,7,250
1757607803,2025-09-11T16:23:23Z,CPA289,"22.296604,113.898033",0,8,250
1757607810,2025-09-11T16:23:30Z,CPA289,"22.296427,113.898293",0,0,250
1757607817,2025-09-11T16:23:37Z,CPA289,"22.296381,113.89856",0,8,250
1757607825,2025-09-11T16:23:45Z,CPA289,"22.29649,113.898872",0,8,250
1757607833,2025-09-11T16:23:53Z,CPA289,"22.296577,113.899101",0,7,250
1757607888,2025-09-11T16:24:48Z,CPA289,"22.296707,113.899467",0,12,250
1757607891,2025-09-11T16:24:51Z,CPA289,"22.296787,113.899704",0,21,73
1757607892,2025-09-11T16:24:52Z,CPA289,"22.29689,113.900032",0,31,73
1757607894,2025-09-11T16:24:54Z,CPA289,"22.29697,113.900307",0,36,73
1757607896,2025-09-11T16:24:56Z,CPA289,"22.297142,113.90081",0,46,73
1757607898,2025-09-11T16:24:58Z,CPA289,"22.297369,113.901497",0,60,73
1757607899,2025-09-11T16:24:59Z,CPA289,"22.297474,113.90184",0,65,70
1757607901,2025-09-11T16:25:01Z,CPA289,"22.297649,113.902382",0,70,70
1757607902,2025-09-11T16:25:02Z,CPA289,"22.297766,113.902763",0,74,70
1757607903,2025-09-11T16:25:03Z,CPA289,"22.29792,113.903244",0,78,70
1757607904,2025-09-11T16:25:04Z,CPA289,"22.29808,113.903717",0,88,70
1757607905,2025-09-11T16:25:05Z,CPA289,"22.298264,113.90435",0,88,70
1757607906,2025-09-11T16:25:06Z,CPA289,"22.298429,113.904823",0,93,71
1757607909,2025-09-11T16:25:09Z,CPA289,"22.298859,113.906151",100,110,71
1757607911,2025-09-11T16:25:11Z,CPA289,"22.29936,113.907623",100,119,71
1757607920,2025-09-11T16:25:20Z,CPA289,"22.301222,113.913475",75,152,71
1757607928,2025-09-11T16:25:28Z,CPA289,"22.303457,113.920341",50,181,71
1757607937,2025-09-11T16:25:37Z,CPA289,"22.305954,113.928276",150,203,71
1757607945,2025-09-11T16:25:45Z,CPA289,"22.308563,113.936462",500,204,70
1757607952,2025-09-11T16:25:52Z,CPA289,"22.310532,113.942413",775,206,70
1757607960,2025-09-11T16:26:00Z,CPA289,"22.313187,113.950752",1200,204,71
1757607968,2025-09-11T16:26:08Z,CPA289,"22.315792,113.958992",1625,204,71
1757607977,2025-09-11T16:26:17Z,CPA289,"22.318306,113.96698",1925,210,71
1757607983,2025-09-11T16:26:23Z,CPA289,"22.320328,113.973419",2150,215,71
1757607991,2025-09-11T16:26:31Z,CPA289,"22.323166,113.982307",2525,218,71
1757607998,2025-09-11T16:26:38Z,CPA289,"22.32518,113.988548",2800,218,70
1757608006,2025-09-11T16:26:46Z,CPA289,"22.328018,113.997185",3150,216,70
1757608015,2025-09-11T16:26:55Z,CPA289,"22.330875,114.006096",3350,220,70
1757608021,2025-09-11T16:27:01Z,CPA289,"22.332916,114.012421",3500,222,70
1757608030,2025-09-11T16:27:10Z,CPA289,"22.335951,114.021858",3750,224,70
1757608036,2025-09-11T16:27:16Z,CPA289,"22.337626,114.028877",3925,222,76
1757608038,2025-09-11T16:27:18Z,CPA289,"22.337952,114.031067",3975,222,80
1757608040,2025-09-11T16:27:20Z,CPA289,"22.338135,114.033295",4050,221,83
1757608043,2025-09-11T16:27:23Z,CPA289,"22.33823,114.035591",4100,221,86
