Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757608549,2025-09-11T16:35:49Z,CPA315,"22.315029,113.931358",0,3,160
1757608565,2025-09-11T16:36:05Z,CPA315,"22.315235,113.931259",0,3,165
1757608584,2025-09-11T16:36:24Z,CPA315,"22.315453,113.931129",0,3,191
1757608600,2025-09-11T16:36:40Z,CPA315,"22.315664,113.931084",0,3,216
1757608618,2025-09-11T16:36:58Z,CPA315,"22.315899,113.931145",0,3,244
1757608687,2025-09-11T16:38:07Z,CPA315,"22.315796,113.930779",0,0,250
1757608883,2025-09-11T16:41:23Z,CPA315,"22.315664,113.930359",0,0,250
1757608909,2025-09-11T16:41:49Z,CPA315,"22.315475,113.929756",0,0,250
1757608918,2025-09-11T16:41:58Z,CPA315,"22.315397,113.92952",0,0,250
1757608926,2025-09-11T16:42:06Z,CPA315,"22.315327,113.929306",0,6,250
1757608948,2025-09-11T16:42:28Z,CPA315,"22.315086,113.928574",0,0,250
1757608973,2025-09-11T16:42:53Z,CPA315,"22.31492,113.927628",0,0,270
1757608978,2025-09-11T16:42:58Z,CPA315,"22.315001,113.927422",0,8,281
1757608991,2025-09-11T16:43:11Z,CPA315,"22.315233,113.926949",0,9,295
1757608999,2025-09-11T16:43:19Z,CPA315,"22.315372,113.926651",0,9,295
1757609011,2025-09-11T16:43:31Z,CPA315,"22.315596,113.92614",0,10,295
1757609020,2025-09-11T16:43:40Z,CPA315,"22.315792,113.925705",0,10,295
1757609027,2025-09-11T16:43:47Z,CPA315,"22.315933,113.9254",0,11,295
1757609039,2025-09-11T16:43:59Z,CPA315,"22.316185,113.924843",0,11,295
1757609048,2025-09-11T16:44:08Z,CPA315,"22.316399,113.924385",0,12,295
1757609053,2025-09-11T16:44:13Z,CPA315,"22.316505,113.924026",0,13,289
1757609058,2025-09-11T16:44:18Z,CPA315,"22.316483,113.923752",0,13,272
1757609062,2025-09-11T16:44:22Z,CPA315,"22.316391,113.923492",0,13,258
1757609066,2025-09-11T16:44:26Z,CPA315,"22.316311,113.923256",0,13,253
1757609069,2025-09-11T16:44:29Z,CPA315,"22.316235,113.92305",0,13,250
1757609073,2025-09-11T16:44:33Z,CPA315,"22.316166,113.922821",0,14,250
1757609080,2025-09-11T16:44:40Z,CPA315,"22.316095,113.9226",0,14,250
1757609087,2025-09-11T16:44:47Z,CPA315,"22.315874,113.921913",0,15,250
1757609090,2025-09-11T16:44:50Z,CPA315,"22.315804,113.921684",0,15,250
1757609096,2025-09-11T16:44:56Z,CPA315,"22.315653,113.921257",0,14,250
1757609103,2025-09-11T16:45:03Z,CPA315,"22.315514,113.920845",0,11,247
1757609108,2025-09-11T16:45:08Z,CPA315,"22.315281,113.920654",0,13,225
1757609113,2025-09-11T16:45:13Z,CPA315,"22.315006,113.920647",0,13,196
1757609120,2025-09-11T16:45:20Z,CPA315,"22.314756,113.920761",0,12,171
1757609132,2025-09-11T16:45:32Z,CPA315,"22.314068,113.921043",0,11,160
1757609139,2025-09-11T16:45:39Z,CPA315,"22.31377,113.921158",0,11,160
1757609143,2025-09-11T16:45:43Z,CPA315,"22.313547,113.921227",0,11,160
1757609152,2025-09-11T16:45:52Z,CPA315,"22.313162,113.921379",0,12,160
1757609159,2025-09-11T16:45:59Z,CPA315,"22.312778,113.921524",0,13,160
1757609166,2025-09-11T16:46:06Z,CPA315,"22.312283,113.921707",0,15,160
1757609174,2025-09-11T16:46:14Z,CPA315,"22.311754,113.921906",0,16,160
1757609181,2025-09-11T16:46:21Z,CPA315,"22.311264,113.922096",0,16,160
1757609188,2025-09-11T16:46:28Z,CPA315,"22.310741,113.922287",0,17,160
1757609196,2025-09-11T16:46:36Z,CPA315,"22.310171,113.922485",0,17,160
1757609204,2025-09-11T16:46:44Z,CPA315,"22.309521,113.922745",0,17,160
1757609211,2025-09-11T16:46:51Z,CPA315,"22.308962,113.922935",0,18,160
1757609218,2025-09-11T16:46:58Z,CPA315,"22.308367,113.923164",0,18,160
1757609225,2025-09-11T16:47:05Z,CPA315,"22.307819,113.923363",0,16,160
1757609232,2025-09-11T16:47:12Z,CPA315,"22.307407,113.923492",0,11,165
1757609238,2025-09-11T16:47:18Z,CPA315,"22.307144,113.923355",0,12,196
1757609242,2025-09-11T16:47:22Z,CPA315,"22.307041,113.923111",0,13,227
1757609246,2025-09-11T16:47:26Z,CPA315,"22.307007,113.922867",0,13,244
1757609250,2025-09-11T16:47:30Z,CPA315,"22.30695,113.922646",0,14,250
1757609252,2025-09-11T16:47:32Z,CPA315,"22.306881,113.92244",0,15,250
1757609256,2025-09-11T16:47:36Z,CPA315,"22.306801,113.922195",0,15,250
1757609259,2025-09-11T16:47:39Z,CPA315,"22.306715,113.921913",0,16,250
1757609271,2025-09-11T16:47:51Z,CPA315,"22.306423,113.921005",0,17,250
1757609275,2025-09-11T16:47:55Z,CPA315,"22.306297,113.920631",0,17,250
1757609282,2025-09-11T16:48:02Z,CPA315,"22.306133,113.920113",0,17,250
1757609290,2025-09-11T16:48:10Z,CPA315,"22.30592,113.919472",0,18,250
1757609297,2025-09-11T16:48:17Z,CPA315,"22.305714,113.918839",0,18,250
1757609304,2025-09-11T16:48:24Z,CPA315,"22.305517,113.918228",0,18,250
1757609310,2025-09-11T16:48:30Z,CPA315,"22.305325,113.91761",0,19,250
1757609317,2025-09-11T16:48:37Z,CPA315,"22.30513,113.917015",0,19,250
1757609324,2025-09-11T16:48:44Z,CPA315,"22.304934,113.916382",0,19,250
1757609332,2025-09-11T16:48:52Z,CPA315,"22.304678,113.915611",0,20,250
1757609340,2025-09-11T16:49:00Z,CPA315,"22.304432,113.914841",0,20,250
1757609347,2025-09-11T16:49:07Z,CPA315,"22.304178,113.914055",0,21,250
1757609354,2025-09-11T16:49:14Z,CPA315,"22.303963,113.913376",0,21,250
1757609361,2025-09-11T16:49:21Z,CPA315,"22.303734,113.912666",0,21,250
1757609368,2025-09-11T16:49:28Z,CPA315,"22.303503,113.911957",0,22,250
1757609376,2025-09-11T16:49:36Z,CPA315,"22.303259,113.911186",0,22,250
1757609383,2025-09-11T16:49:43Z,CPA315,"22.303003,113.910408",0,23,250
1757609390,2025-09-11T16:49:50Z,CPA315,"22.302734,113.909584",0,23,250
1757609398,2025-09-11T16:49:58Z,CPA315,"22.302464,113.908707",0,24,250
1757609404,2025-09-11T16:50:04Z,CPA315,"22.302235,113.908035",0,24,250
1757609411,2025-09-11T16:50:11Z,CPA315,"22.302017,113.907349",0,22,250
1757609418,2025-09-11T16:50:18Z,CPA315,"22.301788,113.906639",0,19,250
1757609426,2025-09-11T16:50:26Z,CPA315,"22.301537,113.905861",0,16,250
1757609433,2025-09-11T16:50:33Z,CPA315,"22.301376,113.905365",0,16,250
1757609441,2025-09-11T16:50:41Z,CPA315,"22.301188,113.904762",0,15,250
1757609448,2025-09-11T16:50:48Z,CPA315,"22.301022,113.904243",0,14,250
1757609455,2025-09-11T16:50:55Z,CPA315,"22.300884,113.903839",0,12,250
1757609467,2025-09-11T16:51:07Z,CPA315,"22.300644,113.903114",0,12,250
1757609475,2025-09-11T16:51:15Z,CPA315,"22.300512,113.902687",0,13,250
