Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757693250,2025-09-12T16:07:30Z,CPA383,"22.314966,113.924789",0,0,205
1757693278,2025-09-12T16:07:58Z,CPA383,"22.315247,113.924927",0,2,205
1757693297,2025-09-12T16:08:17Z,CPA383,"22.315468,113.924965",0,3,222
1757693316,2025-09-12T16:08:36Z,CPA383,"22.315681,113.925049",0,0,253
1757693341,2025-09-12T16:09:01Z,CPA383,"22.315819,113.925323",0,3,275
1757693359,2025-09-12T16:09:19Z,CPA383,"22.315863,113.925552",0,2,295
1757693578,2025-09-12T16:12:58Z,CPA383,"22.315968,113.925323",0,4,295
1757693591,2025-09-12T16:13:11Z,CPA383,"22.316071,113.925087",0,4,295
1757693603,2025-09-12T16:13:23Z,CPA383,"22.316174,113.924866",0,5,295
1757693612,2025-09-12T16:13:32Z,CPA383,"22.316271,113.924652",0,5,295
1757693621,2025-09-12T16:13:41Z,CPA383,"22.316374,113.924423",0,6,295
1757693629,2025-09-12T16:13:49Z,CPA383,"22.316483,113.924202",0,6,295
1757693636,2025-09-12T16:13:56Z,CPA383,"22.316517,113.923981",0,7,286
1757693642,2025-09-12T16:14:02Z,CPA383,"22.316456,113.923737",0,8,267
1757693649,2025-09-12T16:14:09Z,CPA383,"22.316362,113.923492",0,8,255
1757693655,2025-09-12T16:14:15Z,CPA383,"22.316294,113.923264",0,8,253
1757693660,2025-09-12T16:14:20Z,CPA383,"22.316219,113.923058",0,9,250
1757693666,2025-09-12T16:14:26Z,CPA383,"22.316141,113.922821",0,9,250
1757693673,2025-09-12T16:14:33Z,CPA383,"22.316038,113.922501",0,9,250
1757693684,2025-09-12T16:14:44Z,CPA383,"22.315887,113.92202",0,10,250
1757693691,2025-09-12T16:14:51Z,CPA383,"22.315773,113.921669",0,10,250
1757693699,2025-09-12T16:14:59Z,CPA383,"22.315641,113.921265",0,11,250
1757693706,2025-09-12T16:15:06Z,CPA383,"22.315533,113.920929",0,8,250
1757693712,2025-09-12T16:15:12Z,CPA383,"22.315418,113.920723",0,9,241
1757693717,2025-09-12T16:15:17Z,CPA383,"22.315212,113.920631",0,10,216
1757693722,2025-09-12T16:15:22Z,CPA383,"22.314938,113.920708",0,10,182
1757693729,2025-09-12T16:15:29Z,CPA383,"22.314676,113.920837",0,9,165
1757693741,2025-09-12T16:15:41Z,CPA383,"22.314354,113.920944",0,7,163
1757693746,2025-09-12T16:15:46Z,CPA383,"22.31414,113.921036",0,6,160
1757693754,2025-09-12T16:15:54Z,CPA383,"22.313919,113.92112",0,6,160
1757693762,2025-09-12T16:16:02Z,CPA383,"22.313702,113.921196",0,7,160
1757693769,2025-09-12T16:16:09Z,CPA383,"22.313488,113.92128",0,8,160
1757693776,2025-09-12T16:16:16Z,CPA383,"22.313232,113.921379",0,8,160
1757693783,2025-09-12T16:16:23Z,CPA383,"22.312969,113.921471",0,9,160
1757693790,2025-09-12T16:16:30Z,CPA383,"22.312695,113.921577",0,10,160
1757693798,2025-09-12T16:16:38Z,CPA383,"22.312325,113.921715",0,11,160
1757693805,2025-09-12T16:16:45Z,CPA383,"22.31193,113.921852",0,12,160
1757693813,2025-09-12T16:16:53Z,CPA383,"22.311527,113.922005",0,12,160
1757693819,2025-09-12T16:16:59Z,CPA383,"22.311184,113.922127",0,12,160
1757693827,2025-09-12T16:17:07Z,CPA383,"22.310753,113.922295",0,13,160
1757693834,2025-09-12T16:17:14Z,CPA383,"22.310369,113.92244",0,13,160
1757693840,2025-09-12T16:17:20Z,CPA383,"22.309998,113.922577",0,13,160
1757693848,2025-09-12T16:17:28Z,CPA383,"22.309555,113.922745",0,14,160
1757693854,2025-09-12T16:17:34Z,CPA383,"22.309158,113.922897",0,14,160
1757693861,2025-09-12T16:17:41Z,CPA383,"22.308746,113.923042",0,14,160
1757693868,2025-09-12T16:17:48Z,CPA383,"22.308311,113.923203",0,14,160
1757693875,2025-09-12T16:17:55Z,CPA383,"22.307867,113.923363",0,13,160
1757693883,2025-09-12T16:18:03Z,CPA383,"22.307522,113.923492",0,8,160
1757693889,2025-09-12T16:18:09Z,CPA383,"22.307293,113.923477",0,8,177
