Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757738180,2025-09-13T04:36:20Z,CPA588,"22.313162,113.932098",0,3,155
1757738222,2025-09-13T04:37:02Z,CPA588,"22.312941,113.932518",0,2,155
1757738272,2025-09-13T04:37:52Z,CPA588,"22.312849,113.932205",0,2,155
1757738506,2025-09-13T04:41:46Z,CPA588,"22.312464,113.931007",0,0,247
1757738535,2025-09-13T04:42:15Z,CPA588,"22.311344,113.931068",0,10,163
1757738541,2025-09-13T04:42:21Z,CPA588,"22.311127,113.93116",0,10,160
1757738552,2025-09-13T04:42:32Z,CPA588,"22.310509,113.931389",0,12,160
1757738573,2025-09-13T04:42:53Z,CPA588,"22.309706,113.931099",0,0,247
1757738580,2025-09-13T04:43:00Z,CPA588,"22.309605,113.930748",0,11,253
1757738587,2025-09-13T04:43:07Z,CPA588,"22.30949,113.930397",0,11,250
1757738594,2025-09-13T04:43:14Z,CPA588,"22.309357,113.929977",0,12,250
1757738601,2025-09-13T04:43:21Z,CPA588,"22.309227,113.929581",0,12,250
1757738608,2025-09-13T04:43:28Z,CPA588,"22.309101,113.929161",0,13,253
1757738615,2025-09-13T04:43:35Z,CPA588,"22.309019,113.928925",0,13,250
1757738623,2025-09-13T04:43:43Z,CPA588,"22.308809,113.928284",0,13,250
1757738630,2025-09-13T04:43:50Z,CPA588,"22.308666,113.927864",0,13,250
1757738637,2025-09-13T04:43:57Z,CPA588,"22.308529,113.927399",0,13,250
1757738644,2025-09-13T04:44:04Z,CPA588,"22.308392,113.926979",0,14,253
1757738651,2025-09-13T04:44:11Z,CPA588,"22.308243,113.926514",0,13,250
1757738659,2025-09-13T04:44:19Z,CPA588,"22.308088,113.926064",0,12,250
1757738666,2025-09-13T04:44:26Z,CPA588,"22.307949,113.925629",0,13,250
1757738677,2025-09-13T04:44:37Z,CPA588,"22.307739,113.924942",0,13,253
1757738688,2025-09-13T04:44:48Z,CPA588,"22.307533,113.924301",0,13,250
1757738696,2025-09-13T04:44:56Z,CPA588,"22.307356,113.923798",0,14,250
1757738704,2025-09-13T04:45:04Z,CPA588,"22.307203,113.923317",0,15,250
1757738711,2025-09-13T04:45:11Z,CPA588,"22.307041,113.922791",0,15,250
1757738717,2025-09-13T04:45:17Z,CPA588,"22.306913,113.922401",0,11,250
1757738724,2025-09-13T04:45:24Z,CPA588,"22.306808,113.922058",0,10,258
1757738728,2025-09-13T04:45:28Z,CPA588,"22.30687,113.921844",0,11,300
1757738733,2025-09-13T04:45:33Z,CPA588,"22.307087,113.921684",0,11,340
1757738739,2025-09-13T04:45:39Z,CPA588,"22.307316,113.921593",0,10,340
1757738744,2025-09-13T04:45:44Z,CPA588,"22.307556,113.921509",0,10,340
1757738751,2025-09-13T04:45:51Z,CPA588,"22.307844,113.921394",0,11,340
1757738758,2025-09-13T04:45:58Z,CPA588,"22.308231,113.921257",0,14,340
1757738765,2025-09-13T04:46:05Z,CPA588,"22.308659,113.921104",0,16,340
1757738772,2025-09-13T04:46:12Z,CPA588,"22.309261,113.920868",0,19,340
1757738779,2025-09-13T04:46:19Z,CPA588,"22.309845,113.920647",0,19,337
1757738786,2025-09-13T04:46:26Z,CPA588,"22.310452,113.920418",0,19,340
1757738794,2025-09-13T04:46:34Z,CPA588,"22.31115,113.920158",0,19,340
1757738801,2025-09-13T04:46:41Z,CPA588,"22.311743,113.91993",0,20,340
1757738809,2025-09-13T04:46:49Z,CPA588,"22.312464,113.919678",0,20,340
1757738816,2025-09-13T04:46:56Z,CPA588,"22.313139,113.919434",0,19,340
1757738823,2025-09-13T04:47:03Z,CPA588,"22.313686,113.919235",0,15,340
1757738831,2025-09-13T04:47:11Z,CPA588,"22.314186,113.919044",0,16,340
1757738837,2025-09-13T04:47:17Z,CPA588,"22.314651,113.918861",0,16,340
1757738844,2025-09-13T04:47:24Z,CPA588,"22.315109,113.918694",0,13,340
1757738853,2025-09-13T04:47:33Z,CPA588,"22.315578,113.918549",0,12,340
1757738858,2025-09-13T04:47:38Z,CPA588,"22.315792,113.918709",0,11,59
1757738865,2025-09-13T04:47:45Z,CPA588,"22.315887,113.918938",0,9,67
1757738870,2025-09-13T04:47:50Z,CPA588,"22.315979,113.91922",0,10,73
1757738874,2025-09-13T04:47:54Z,CPA588,"22.31605,113.919434",0,11,70
1757738878,2025-09-13T04:47:58Z,CPA588,"22.316128,113.919693",0,13,70
1757738883,2025-09-13T04:48:03Z,CPA588,"22.316219,113.919945",0,14,70
1757738889,2025-09-13T04:48:09Z,CPA588,"22.31638,113.920471",0,17,70
1757738896,2025-09-13T04:48:16Z,CPA588,"22.316572,113.921051",0,18,70
1757738905,2025-09-13T04:48:25Z,CPA588,"22.316793,113.921722",0,17,70
1757738920,2025-09-13T04:48:40Z,CPA588,"22.317003,113.922401",0,17,70
1757738927,2025-09-13T04:48:47Z,CPA588,"22.317375,113.923531",0,0,70
1757738936,2025-09-13T04:48:56Z,CPA588,"22.317604,113.92424",0,16,70
1757738942,2025-09-13T04:49:02Z,CPA588,"22.31773,113.924629",0,15,70
1757738949,2025-09-13T04:49:09Z,CPA588,"22.317911,113.925209",0,15,73
1757738956,2025-09-13T04:49:16Z,CPA588,"22.318073,113.925713",0,15,70
1757738969,2025-09-13T04:49:29Z,CPA588,"22.318382,113.926651",0,15,70
1757738979,2025-09-13T04:49:39Z,CPA588,"22.318598,113.92733",0,0,70
1757738988,2025-09-13T04:49:48Z,CPA588,"22.318806,113.927986",0,0,70
1757738999,2025-09-13T04:49:59Z,CPA588,"22.319,113.928574",0,10,70
1757739005,2025-09-13T04:50:05Z,CPA588,"22.319109,113.928818",0,8,45
1757739012,2025-09-13T04:50:12Z,CPA588,"22.31933,113.928886",0,8,351
1757739021,2025-09-13T04:50:21Z,CPA588,"22.319574,113.92878",0,6,337
1757739064,2025-09-13T04:51:04Z,CPA588,"22.319801,113.928711",0,7,337
1757739072,2025-09-13T04:51:12Z,CPA588,"22.320122,113.928589",0,12,340
1757739081,2025-09-13T04:51:21Z,CPA588,"22.320576,113.928391",0,10,320
1757739089,2025-09-13T04:51:29Z,CPA588,"22.320669,113.928055",0,8,264
1757739097,2025-09-13T04:51:37Z,CPA588,"22.320599,113.927818",0,8,247
