Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757724155,2025-09-13T00:42:35Z,CPA548,"22.312637,113.93483",0,0,70
1757724176,2025-09-13T00:42:56Z,CPA548,"22.31258,113.934616",0,2,70
1757724199,2025-09-13T00:43:19Z,CPA548,"22.3125,113.934402",0,2,70
1757724225,2025-09-13T00:43:45Z,CPA548,"22.312386,113.934189",0,2,84
1757724250,2025-09-13T00:44:10Z,CPA548,"22.312302,113.933983",0,2,112
1757724272,2025-09-13T00:44:32Z,CPA548,"22.312351,113.933769",0,2,132
1757724294,2025-09-13T00:44:54Z,CPA548,"22.312475,113.933563",0,2,149
1757724365,2025-09-13T00:46:05Z,CPA548,"22.31226,113.933617",0,2,157
1757724391,2025-09-13T00:46:31Z,CPA548,"22.312054,113.933693",0,1,160
1757724597,2025-09-13T00:49:57Z,CPA548,"22.311848,113.933769",0,5,160
1757724605,2025-09-13T00:50:05Z,CPA548,"22.311638,113.933846",0,6,160
1757724612,2025-09-13T00:50:12Z,CPA548,"22.311394,113.933929",0,8,160
1757724619,2025-09-13T00:50:19Z,CPA548,"22.311172,113.934021",0,9,160
1757724629,2025-09-13T00:50:29Z,CPA548,"22.310703,113.934189",0,10,160
1757724642,2025-09-13T00:50:42Z,CPA548,"22.310091,113.934235",0,0,188
1757724654,2025-09-13T00:50:54Z,CPA548,"22.309799,113.933815",0,9,233
1757724662,2025-09-13T00:51:02Z,CPA548,"22.30966,113.933502",0,0,241
1757724672,2025-09-13T00:51:12Z,CPA548,"22.309566,113.933296",0,6,241
1757724680,2025-09-13T00:51:20Z,CPA548,"22.309416,113.932976",0,7,241
1757724690,2025-09-13T00:51:30Z,CPA548,"22.309252,113.932632",0,8,241
1757724697,2025-09-13T00:51:37Z,CPA548,"22.309124,113.932327",0,10,244
1757724704,2025-09-13T00:51:44Z,CPA548,"22.309053,113.932114",0,10,250
1757724706,2025-09-13T00:51:46Z,CPA548,"22.308985,113.931908",0,11,250
1757724711,2025-09-13T00:51:51Z,CPA548,"22.308903,113.931656",0,12,250
1757724714,2025-09-13T00:51:54Z,CPA548,"22.308826,113.931442",0,12,250
1757724722,2025-09-13T00:52:02Z,CPA548,"22.308678,113.930984",0,13,250
1757724728,2025-09-13T00:52:08Z,CPA548,"22.308542,113.930534",0,14,250
1757724735,2025-09-13T00:52:15Z,CPA548,"22.308392,113.930061",0,15,250
1757724742,2025-09-13T00:52:22Z,CPA548,"22.308228,113.929558",0,16,250
1757724750,2025-09-13T00:52:30Z,CPA548,"22.308025,113.928925",0,17,250
1757724759,2025-09-13T00:52:39Z,CPA548,"22.307785,113.9282",0,18,250
1757724767,2025-09-13T00:52:47Z,CPA548,"22.307541,113.927444",0,19,250
1757724773,2025-09-13T00:52:53Z,CPA548,"22.307344,113.926811",0,20,250
1757724781,2025-09-13T00:53:01Z,CPA548,"22.307098,113.926048",0,21,250
1757724787,2025-09-13T00:53:07Z,CPA548,"22.306866,113.925362",0,21,250
1757724795,2025-09-13T00:53:15Z,CPA548,"22.306669,113.924713",0,18,250
1757724801,2025-09-13T00:53:21Z,CPA548,"22.306526,113.92424",0,12,253
1757724806,2025-09-13T00:53:26Z,CPA548,"22.306538,113.924019",0,10,267
1757724811,2025-09-13T00:53:31Z,CPA548,"22.306709,113.92379",0,11,303
1757724816,2025-09-13T00:53:36Z,CPA548,"22.30695,113.923691",0,12,329
1757724820,2025-09-13T00:53:40Z,CPA548,"22.307192,113.923607",0,12,340
1757724824,2025-09-13T00:53:44Z,CPA548,"22.307407,113.923531",0,12,340
1757724829,2025-09-13T00:53:49Z,CPA548,"22.307648,113.923439",0,12,340
1757724834,2025-09-13T00:53:54Z,CPA548,"22.307968,113.923332",0,13,340
