Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757674249,2025-09-12T10:50:49Z,CPA731,"22.314047,113.927933",0,0,165
1757674306,2025-09-12T10:51:46Z,CPA731,"22.314526,113.927849",0,2,208
1757674334,2025-09-12T10:52:14Z,CPA731,"22.314756,113.927917",0,2,233
1757674379,2025-09-12T10:52:59Z,CPA731,"22.314938,113.928169",0,0,250
1757674581,2025-09-12T10:56:21Z,CPA731,"22.314869,113.927887",0,6,255
1757674587,2025-09-12T10:56:27Z,CPA731,"22.31492,113.927628",0,8,275
1757674592,2025-09-12T10:56:32Z,CPA731,"22.315052,113.927361",0,10,292
1757674602,2025-09-12T10:56:42Z,CPA731,"22.315281,113.926834",0,14,295
1757674607,2025-09-12T10:56:47Z,CPA731,"22.315453,113.926453",0,15,295
1757674628,2025-09-12T10:57:08Z,CPA731,"22.316185,113.924843",0,17,295
1757674637,2025-09-12T10:57:17Z,CPA731,"22.31646,113.924202",0,15,292
1757674640,2025-09-12T10:57:20Z,CPA731,"22.316483,113.923981",0,15,281
1757674643,2025-09-12T10:57:23Z,CPA731,"22.316456,113.923775",0,15,267
1757674647,2025-09-12T10:57:27Z,CPA731,"22.316391,113.923569",0,15,258
1757674650,2025-09-12T10:57:30Z,CPA731,"22.316305,113.923317",0,14,250
1757674654,2025-09-12T10:57:34Z,CPA731,"22.316219,113.923065",0,12,250
1757674658,2025-09-12T10:57:38Z,CPA731,"22.316154,113.922829",0,11,250
1757674663,2025-09-12T10:57:43Z,CPA731,"22.316071,113.922577",0,10,250
1757674671,2025-09-12T10:57:51Z,CPA731,"22.315956,113.922241",0,9,250
1757674679,2025-09-12T10:57:59Z,CPA731,"22.315853,113.921906",0,9,250
1757674690,2025-09-12T10:58:10Z,CPA731,"22.315758,113.921608",0,0,250
1757674727,2025-09-12T10:58:47Z,CPA731,"22.315687,113.921394",0,1,250
1757674740,2025-09-12T10:59:00Z,CPA731,"22.315613,113.921181",0,5,250
1757674747,2025-09-12T10:59:07Z,CPA731,"22.315533,113.920959",0,8,247
1757674755,2025-09-12T10:59:15Z,CPA731,"22.315304,113.920746",0,10,222
1757674759,2025-09-12T10:59:19Z,CPA731,"22.31506,113.920708",0,12,196
1757674763,2025-09-12T10:59:23Z,CPA731,"22.314816,113.920769",0,12,174
1757674768,2025-09-12T10:59:28Z,CPA731,"22.314594,113.920868",0,11,163
1757674781,2025-09-12T10:59:41Z,CPA731,"22.313931,113.92112",0,11,160
1757674786,2025-09-12T10:59:46Z,CPA731,"22.313709,113.921188",0,12,160
1757674792,2025-09-12T10:59:52Z,CPA731,"22.313408,113.921303",0,13,160
1757674795,2025-09-12T10:59:55Z,CPA731,"22.313173,113.921394",0,13,160
1757674803,2025-09-12T11:00:03Z,CPA731,"22.312763,113.921547",0,15,160
1757674809,2025-09-12T11:00:09Z,CPA731,"22.312283,113.92173",0,16,160
1757674817,2025-09-12T11:00:17Z,CPA731,"22.311665,113.921959",0,18,160
1757674823,2025-09-12T11:00:23Z,CPA731,"22.31109,113.922173",0,19,160
1757674831,2025-09-12T11:00:31Z,CPA731,"22.310417,113.922401",0,20,160
1757674838,2025-09-12T11:00:38Z,CPA731,"22.309765,113.922668",0,20,160
1757674845,2025-09-12T11:00:45Z,CPA731,"22.309158,113.922882",0,20,160
1757674853,2025-09-12T11:00:53Z,CPA731,"22.308414,113.923164",0,19,160
1757674861,2025-09-12T11:01:01Z,CPA731,"22.307854,113.923378",0,15,160
1757674866,2025-09-12T11:01:06Z,CPA731,"22.307533,113.923477",0,11,165
1757674872,2025-09-12T11:01:12Z,CPA731,"22.307236,113.923363",0,12,196
1757674878,2025-09-12T11:01:18Z,CPA731,"22.307064,113.92308",0,12,230
1757674882,2025-09-12T11:01:22Z,CPA731,"22.307007,113.922829",0,12,247
1757674886,2025-09-12T11:01:26Z,CPA731,"22.306936,113.922615",0,12,250
1757674890,2025-09-12T11:01:30Z,CPA731,"22.306858,113.922371",0,13,250
1757674893,2025-09-12T11:01:33Z,CPA731,"22.306789,113.922142",0,13,250
1757674902,2025-09-12T11:01:42Z,CPA731,"22.306583,113.921509",0,15,250
1757674911,2025-09-12T11:01:51Z,CPA731,"22.306366,113.920807",0,17,250
1757674920,2025-09-12T11:02:00Z,CPA731,"22.30608,113.919983",0,19,250
1757674928,2025-09-12T11:02:08Z,CPA731,"22.305819,113.919167",0,22,250
1757674935,2025-09-12T11:02:15Z,CPA731,"22.305599,113.918449",0,23,250
1757674942,2025-09-12T11:02:22Z,CPA731,"22.305319,113.917564",0,25,250
1757674949,2025-09-12T11:02:29Z,CPA731,"22.305027,113.916664",0,27,250
1757674956,2025-09-12T11:02:36Z,CPA731,"22.304707,113.915749",0,27,250
1757674964,2025-09-12T11:02:44Z,CPA731,"22.304388,113.914757",0,28,250
1757674972,2025-09-12T11:02:52Z,CPA731,"22.304028,113.913635",0,28,250
1757674979,2025-09-12T11:02:59Z,CPA731,"22.303759,113.912712",0,26,250
1757674986,2025-09-12T11:03:06Z,CPA731,"22.303505,113.911934",0,22,250
1757674993,2025-09-12T11:03:13Z,CPA731,"22.303293,113.91127",0,21,250
1757675001,2025-09-12T11:03:21Z,CPA731,"22.302992,113.910431",0,22,250
1757675007,2025-09-12T11:03:27Z,CPA731,"22.302782,113.909744",0,23,250
1757675014,2025-09-12T11:03:34Z,CPA731,"22.302525,113.908897",0,24,250
1757675022,2025-09-12T11:03:42Z,CPA731,"22.302258,113.908058",0,24,250
1757675029,2025-09-12T11:03:49Z,CPA731,"22.301979,113.907188",0,25,250
1757675044,2025-09-12T11:04:04Z,CPA731,"22.301388,113.905426",0,0,250
1757675056,2025-09-12T11:04:16Z,CPA731,"22.300978,113.904129",0,23,250
1757675063,2025-09-12T11:04:23Z,CPA731,"22.300711,113.903313",0,21,250
1757675071,2025-09-12T11:04:31Z,CPA731,"22.300495,113.902664",0,21,250
1757675079,2025-09-12T11:04:39Z,CPA731,"22.30022,113.901833",0,20,250
1757675085,2025-09-12T11:04:45Z,CPA731,"22.300049,113.901291",0,16,250
1757675093,2025-09-12T11:04:53Z,CPA731,"22.299883,113.900757",0,15,250
1757675100,2025-09-12T11:05:00Z,CPA731,"22.29974,113.900246",0,14,250
1757675107,2025-09-12T11:05:07Z,CPA731,"22.299593,113.899788",0,14,250
1757675114,2025-09-12T11:05:14Z,CPA731,"22.299465,113.899399",0,14,250
1757675124,2025-09-12T11:05:24Z,CPA731,"22.299259,113.898773",0,13,250
1757675133,2025-09-12T11:05:33Z,CPA731,"22.299116,113.898293",0,10,250
1757675141,2025-09-12T11:05:41Z,CPA731,"22.299034,113.898048",0,5,250
1757675150,2025-09-12T11:05:50Z,CPA731,"22.298964,113.89782",0,5,250
1757675159,2025-09-12T11:05:59Z,CPA731,"22.29887,113.897614",0,6,247
1757675172,2025-09-12T11:06:12Z,CPA731,"22.298546,113.897362",0,7,213
1757675179,2025-09-12T11:06:19Z,CPA731,"22.298321,113.897362",0,7,191
1757675189,2025-09-12T11:06:29Z,CPA731,"22.29808,113.897423",0,7,171
1757675196,2025-09-12T11:06:36Z,CPA731,"22.297794,113.897545",0,6,160
1757675212,2025-09-12T11:06:52Z,CPA731,"22.297508,113.897659",0,3,160
1757675225,2025-09-12T11:07:05Z,CPA731,"22.297279,113.897736",0,5,160
1757675236,2025-09-12T11:07:16Z,CPA731,"22.296959,113.897858",0,8,160
1757675244,2025-09-12T11:07:24Z,CPA731,"22.296696,113.897957",0,9,160
1757675253,2025-09-12T11:07:33Z,CPA731,"22.296358,113.898178",0,9,143
1757675259,2025-09-12T11:07:39Z,CPA731,"22.296333,113.898415",0,8,112
1757675265,2025-09-12T11:07:45Z,CPA731,"22.296404,113.898636",0,7,84
1757675273,2025-09-12T11:07:53Z,CPA731,"22.29649,113.898857",0,5,70
1757675338,2025-09-12T11:08:58Z,CPA731,"22.296637,113.899345",0,17,70
1757675346,2025-09-12T11:09:06Z,CPA731,"22.297195,113.900986",0,56,70
1757675354,2025-09-12T11:09:14Z,CPA731,"22.298092,113.903755",0,88,70
1757675363,2025-09-12T11:09:23Z,CPA731,"22.299774,113.908997",150,127,70
1757675371,2025-09-12T11:09:31Z,CPA731,"22.301651,113.914841",125,160,70
1757675380,2025-09-12T11:09:40Z,CPA731,"22.30394,113.921928",150,186,70
1757675386,2025-09-12T11:09:46Z,CPA731,"22.305862,113.927925",300,192,70
1757675395,2025-09-12T11:09:55Z,CPA731,"22.308298,113.935547",600,195,71
1757675403,2025-09-12T11:10:03Z,CPA731,"22.310673,113.943329",975,196,71
1757675409,2025-09-12T11:10:09Z,CPA731,"22.312487,113.949181",1250,196,71
1757675417,2025-09-12T11:10:17Z,CPA731,"22.31488,113.956635",1600,197,70
1757675426,2025-09-12T11:10:26Z,CPA731,"22.317444,113.964676",1900,202,71
1757675432,2025-09-12T11:10:32Z,CPA731,"22.319424,113.970543",2075,207,70
