Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757696980,2025-09-12T17:09:40Z,CPA749,"22.31432,113.92775",0,2,191
1757696997,2025-09-12T17:09:57Z,CPA749,"22.314526,113.927711",0,3,210
1757697016,2025-09-12T17:10:16Z,CPA749,"22.314754,113.927734",0,0,239
1757697056,2025-09-12T17:10:56Z,CPA749,"22.314926,113.92807",0,0,250
1757697233,2025-09-12T17:13:53Z,CPA749,"22.314861,113.927864",0,0,250
1757697246,2025-09-12T17:14:06Z,CPA749,"22.314869,113.927635",0,4,264
1757697261,2025-09-12T17:14:21Z,CPA749,"22.314972,113.927422",0,3,284
1757697275,2025-09-12T17:14:35Z,CPA749,"22.31513,113.92717",0,5,295
1757697285,2025-09-12T17:14:45Z,CPA749,"22.315233,113.926964",0,6,295
1757697293,2025-09-12T17:14:53Z,CPA749,"22.315351,113.926697",0,7,295
1757697301,2025-09-12T17:15:01Z,CPA749,"22.315464,113.926437",0,8,295
1757697315,2025-09-12T17:15:15Z,CPA749,"22.315704,113.925911",0,9,295
1757697323,2025-09-12T17:15:23Z,CPA749,"22.315828,113.925644",0,8,295
1757697441,2025-09-12T17:17:21Z,CPA749,"22.315968,113.925339",0,0,295
1757697450,2025-09-12T17:17:30Z,CPA749,"22.316061,113.925133",0,7,295
1757697456,2025-09-12T17:17:36Z,CPA749,"22.316162,113.924904",0,9,295
1757697463,2025-09-12T17:17:43Z,CPA749,"22.316299,113.924614",0,10,295
1757697471,2025-09-12T17:17:51Z,CPA749,"22.316479,113.924194",0,11,295
1757697475,2025-09-12T17:17:55Z,CPA749,"22.316538,113.923988",0,11,289
1757697481,2025-09-12T17:18:01Z,CPA749,"22.31649,113.923683",0,12,270
1757697484,2025-09-12T17:18:04Z,CPA749,"22.316422,113.923477",0,12,255
1757697490,2025-09-12T17:18:10Z,CPA749,"22.316294,113.923225",0,12,247
1757697493,2025-09-12T17:18:13Z,CPA749,"22.316219,113.923019",0,12,247
1757697497,2025-09-12T17:18:17Z,CPA749,"22.316151,113.922783",0,13,250
1757697500,2025-09-12T17:18:20Z,CPA749,"22.316084,113.922577",0,13,250
1757697508,2025-09-12T17:18:28Z,CPA749,"22.315933,113.922104",0,13,250
1757697512,2025-09-12T17:18:32Z,CPA749,"22.315851,113.921852",0,14,250
1757697522,2025-09-12T17:18:42Z,CPA749,"22.315641,113.921204",0,13,250
1757697529,2025-09-12T17:18:49Z,CPA749,"22.315533,113.920883",0,7,250
1757697538,2025-09-12T17:18:58Z,CPA749,"22.315363,113.92067",0,8,233
1757697543,2025-09-12T17:19:03Z,CPA749,"22.315144,113.920647",0,9,208
1757697548,2025-09-12T17:19:08Z,CPA749,"22.314909,113.920692",0,9,182
1757697556,2025-09-12T17:19:16Z,CPA749,"22.31464,113.92083",0,8,163
1757697568,2025-09-12T17:19:28Z,CPA749,"22.314354,113.920959",0,6,160
1757697576,2025-09-12T17:19:36Z,CPA749,"22.314091,113.921059",0,6,160
1757697585,2025-09-12T17:19:45Z,CPA749,"22.313885,113.921127",0,5,160
1757697594,2025-09-12T17:19:54Z,CPA749,"22.313652,113.921219",0,6,160
1757697604,2025-09-12T17:20:04Z,CPA749,"22.313431,113.921303",0,5,160
1757697612,2025-09-12T17:20:12Z,CPA749,"22.313221,113.921379",0,7,160
1757697620,2025-09-12T17:20:20Z,CPA749,"22.312969,113.921478",0,9,160
1757697629,2025-09-12T17:20:29Z,CPA749,"22.312569,113.921623",0,11,160
1757697636,2025-09-12T17:20:36Z,CPA749,"22.31222,113.921753",0,13,160
1757697643,2025-09-12T17:20:43Z,CPA749,"22.311848,113.92189",0,13,160
1757697650,2025-09-12T17:20:50Z,CPA749,"22.311382,113.922066",0,13,160
1757697657,2025-09-12T17:20:57Z,CPA749,"22.310997,113.922211",0,14,160
1757697665,2025-09-12T17:21:05Z,CPA749,"22.310509,113.922386",0,14,160
1757697671,2025-09-12T17:21:11Z,CPA749,"22.31012,113.922531",0,14,160
1757697678,2025-09-12T17:21:18Z,CPA749,"22.309694,113.922691",0,15,160
1757697685,2025-09-12T17:21:25Z,CPA749,"22.309216,113.922867",0,15,160
1757697692,2025-09-12T17:21:32Z,CPA749,"22.308758,113.923027",0,15,160
1757697700,2025-09-12T17:21:40Z,CPA749,"22.30817,113.923248",0,15,160
1757697707,2025-09-12T17:21:47Z,CPA749,"22.307798,113.923393",0,10,160
1757697715,2025-09-12T17:21:55Z,CPA749,"22.307529,113.923492",0,7,160
1757697722,2025-09-12T17:22:02Z,CPA749,"22.30732,113.92347",0,8,177
1757697729,2025-09-12T17:22:09Z,CPA749,"22.307123,113.923264",0,8,208
1757697734,2025-09-12T17:22:14Z,CPA749,"22.30703,113.923058",0,9,227
1757697740,2025-09-12T17:22:20Z,CPA749,"22.306984,113.922806",0,9,247
1757697745,2025-09-12T17:22:25Z,CPA749,"22.306927,113.922577",0,9,250
1757697750,2025-09-12T17:22:30Z,CPA749,"22.306854,113.922363",0,11,250
1757697754,2025-09-12T17:22:34Z,CPA749,"22.306774,113.922119",0,12,250
1757697765,2025-09-12T17:22:45Z,CPA749,"22.306564,113.921432",0,15,250
1757697773,2025-09-12T17:22:53Z,CPA749,"22.306366,113.920837",0,17,250
1757697779,2025-09-12T17:22:59Z,CPA749,"22.306204,113.920349",0,18,250
1757697786,2025-09-12T17:23:06Z,CPA749,"22.305994,113.919678",0,19,250
1757697793,2025-09-12T17:23:13Z,CPA749,"22.305782,113.919022",0,19,250
1757697801,2025-09-12T17:23:21Z,CPA749,"22.30554,113.918282",0,19,250
1757697808,2025-09-12T17:23:28Z,CPA749,"22.305325,113.91761",0,19,250
1757697816,2025-09-12T17:23:36Z,CPA749,"22.305086,113.91687",0,20,250
1757697823,2025-09-12T17:23:43Z,CPA749,"22.304853,113.916145",0,20,250
1757697830,2025-09-12T17:23:50Z,CPA749,"22.304638,113.915466",0,20,250
1757697837,2025-09-12T17:23:57Z,CPA749,"22.304411,113.914772",0,21,250
1757697844,2025-09-12T17:24:04Z,CPA749,"22.30419,113.91407",0,21,250
1757697852,2025-09-12T17:24:12Z,CPA749,"22.303968,113.913383",0,21,250
1757697860,2025-09-12T17:24:20Z,CPA749,"22.30369,113.912521",0,21,250
1757697866,2025-09-12T17:24:26Z,CPA749,"22.303459,113.911781",0,22,250
1757697873,2025-09-12T17:24:33Z,CPA749,"22.303219,113.911041",0,22,250
1757697880,2025-09-12T17:24:40Z,CPA749,"22.302979,113.910316",0,23,250
1757697888,2025-09-12T17:24:48Z,CPA749,"22.302704,113.90947",0,23,250
1757697895,2025-09-12T17:24:55Z,CPA749,"22.302456,113.908676",0,24,250
1757697902,2025-09-12T17:25:02Z,CPA749,"22.302212,113.907944",0,24,250
1757697910,2025-09-12T17:25:10Z,CPA749,"22.301886,113.906914",0,24,250
1757697917,2025-09-12T17:25:17Z,CPA749,"22.301731,113.906441",0,24,250
1757697924,2025-09-12T17:25:24Z,CPA749,"22.301373,113.905312",0,24,250
1757697933,2025-09-12T17:25:33Z,CPA749,"22.301125,113.904549",0,25,250
1757697940,2025-09-12T17:25:40Z,CPA749,"22.300745,113.903366",0,25,250
1757697947,2025-09-12T17:25:47Z,CPA749,"22.300501,113.902611",0,25,250
1757697954,2025-09-12T17:25:54Z,CPA749,"22.300175,113.901611",0,25,250
1757697961,2025-09-12T17:26:01Z,CPA749,"22.2999,113.900772",0,25,250
1757697968,2025-09-12T17:26:08Z,CPA749,"22.299648,113.900009",0,23,250
1757697976,2025-09-12T17:26:16Z,CPA749,"22.299406,113.899231",0,18,250
1757697985,2025-09-12T17:26:25Z,CPA749,"22.299196,113.898582",0,13,250
1757697993,2025-09-12T17:26:33Z,CPA749,"22.299053,113.898125",0,10,250
1757698000,2025-09-12T17:26:40Z,CPA749,"22.29895,113.89782",0,10,250
1757698008,2025-09-12T17:26:48Z,CPA749,"22.298824,113.897499",0,10,247
1757698013,2025-09-12T17:26:53Z,CPA749,"22.298592,113.897285",0,11,225
1757698018,2025-09-12T17:26:58Z,CPA749,"22.298355,113.897285",0,11,196
1757698023,2025-09-12T17:27:03Z,CPA749,"22.298149,113.897385",0,9,171
1757698031,2025-09-12T17:27:11Z,CPA749,"22.297834,113.897537",0,8,160
1757698037,2025-09-12T17:27:17Z,CPA749,"22.297611,113.897621",0,9,160
1757698044,2025-09-12T17:27:24Z,CPA749,"22.297394,113.897705",0,9,160
1757698048,2025-09-12T17:27:28Z,CPA749,"22.297176,113.897789",0,10,160
1757698056,2025-09-12T17:27:36Z,CPA749,"22.296879,113.897896",0,10,160
1757698062,2025-09-12T17:27:42Z,CPA749,"22.296591,113.898033",0,9,154
1757698071,2025-09-12T17:27:51Z,CPA749,"22.296387,113.898346",0,8,129
1757698078,2025-09-12T17:27:58Z,CPA749,"22.296358,113.898582",0,7,112
1757698084,2025-09-12T17:28:04Z,CPA749,"22.296415,113.898788",0,7,90
1757698091,2025-09-12T17:28:11Z,CPA749,"22.296532,113.899025",0,6,73
1757698146,2025-09-12T17:29:06Z,CPA749,"22.296616,113.899261",0,9,70
1757698154,2025-09-12T17:29:14Z,CPA749,"22.296915,113.900169",0,46,70
1757698161,2025-09-12T17:29:21Z,CPA749,"22.2976,113.902283",0,76,70
1757698169,2025-09-12T17:29:29Z,CPA749,"22.29863,113.905548",100,108,70
1757698175,2025-09-12T17:29:35Z,CPA749,"22.299871,113.909355",75,132,70
1757698182,2025-09-12T17:29:42Z,CPA749,"22.301222,113.913521",75,156,70
1757698190,2025-09-12T17:29:50Z,CPA749,"22.303549,113.920692",50,181,70
1757698199,2025-09-12T17:29:59Z,CPA749,"22.305771,113.927521",325,183,70
1757698205,2025-09-12T17:30:05Z,CPA749,"22.307648,113.93322",600,181,70
1757698213,2025-09-12T17:30:13Z,CPA749,"22.309975,113.940224",975,180,69
