Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757986582,2025-09-16T01:36:22Z,CPA755,"22.314651,113.925552",0,3,205
1757986590,2025-09-16T01:36:30Z,CPA755,"22.314857,113.925652",0,3,202
1757986625,2025-09-16T01:37:05Z,CPA755,"22.315315,113.925797",0,0,230
1757986650,2025-09-16T01:37:30Z,CPA755,"22.315533,113.92601",0,3,270
1757986669,2025-09-16T01:37:49Z,CPA755,"22.315596,113.926239",0,2,300
1757986694,2025-09-16T01:38:14Z,CPA755,"22.315441,113.926476",0,0,295
1757986917,2025-09-16T01:41:57Z,CPA755,"22.315653,113.926048",0,6,295
1757986941,2025-09-16T01:42:21Z,CPA755,"22.316059,113.925125",0,0,295
1757986953,2025-09-16T01:42:33Z,CPA755,"22.316328,113.924538",0,9,295
1757986961,2025-09-16T01:42:41Z,CPA755,"22.316467,113.924202",0,9,295
1757986968,2025-09-16T01:42:48Z,CPA755,"22.31649,113.923889",0,10,275
1757986975,2025-09-16T01:42:55Z,CPA755,"22.316391,113.923531",0,11,255
1757986979,2025-09-16T01:42:59Z,CPA755,"22.316305,113.923264",0,12,253
1757986983,2025-09-16T01:43:03Z,CPA755,"22.316231,113.923019",0,13,250
1757986991,2025-09-16T01:43:11Z,CPA755,"22.316061,113.922516",0,14,250
1757986997,2025-09-16T01:43:17Z,CPA755,"22.315922,113.922081",0,15,250
1757987007,2025-09-16T01:43:27Z,CPA755,"22.315723,113.921455",0,11,250
1757987013,2025-09-16T01:43:33Z,CPA755,"22.315636,113.921204",0,8,250
1757987021,2025-09-16T01:43:41Z,CPA755,"22.315533,113.920868",0,10,250
1757987028,2025-09-16T01:43:48Z,CPA755,"22.315409,113.920464",0,12,253
1757987037,2025-09-16T01:43:57Z,CPA755,"22.315233,113.91993",0,14,250
1757987046,2025-09-16T01:44:06Z,CPA755,"22.315041,113.919319",0,12,250
1757987053,2025-09-16T01:44:13Z,CPA755,"22.314915,113.918983",0,10,247
1757987059,2025-09-16T01:44:19Z,CPA755,"22.314699,113.918854",0,10,216
1757987065,2025-09-16T01:44:25Z,CPA755,"22.314466,113.9189",0,10,180
1757987070,2025-09-16T01:44:30Z,CPA755,"22.314251,113.919006",0,10,163
1757987075,2025-09-16T01:44:35Z,CPA755,"22.314011,113.919083",0,10,163
1757987082,2025-09-16T01:44:42Z,CPA755,"22.313747,113.919182",0,10,160
1757987088,2025-09-16T01:44:48Z,CPA755,"22.313395,113.919312",0,11,160
1757987094,2025-09-16T01:44:54Z,CPA755,"22.31315,113.919395",0,11,160
1757987101,2025-09-16T01:45:01Z,CPA755,"22.312763,113.919548",0,11,160
1757987113,2025-09-16T01:45:13Z,CPA755,"22.312174,113.919754",0,13,160
1757987120,2025-09-16T01:45:20Z,CPA755,"22.31171,113.91993",0,14,160
1757987127,2025-09-16T01:45:27Z,CPA755,"22.31123,113.920105",0,15,160
1757987134,2025-09-16T01:45:34Z,CPA755,"22.310783,113.92028",0,15,160
1757987141,2025-09-16T01:45:41Z,CPA755,"22.310276,113.920456",0,16,160
1757987148,2025-09-16T01:45:48Z,CPA755,"22.309799,113.920647",0,16,160
1757987155,2025-09-16T01:45:55Z,CPA755,"22.30925,113.920845",0,17,160
1757987163,2025-09-16T01:46:03Z,CPA755,"22.308586,113.921097",0,18,160
1757987170,2025-09-16T01:46:10Z,CPA755,"22.308054,113.921295",0,17,160
1757987177,2025-09-16T01:46:17Z,CPA755,"22.30759,113.921471",0,15,160
1757987185,2025-09-16T01:46:25Z,CPA755,"22.307167,113.921631",0,11,160
1757987189,2025-09-16T01:46:29Z,CPA755,"22.306927,113.921692",0,10,165
1757987194,2025-09-16T01:46:34Z,CPA755,"22.306715,113.921608",0,10,191
1757987206,2025-09-16T01:46:46Z,CPA755,"22.306423,113.920959",0,12,247
1757987210,2025-09-16T01:46:50Z,CPA755,"22.306332,113.920708",0,13,250
1757987214,2025-09-16T01:46:54Z,CPA755,"22.306261,113.920494",0,14,250
1757987217,2025-09-16T01:46:57Z,CPA755,"22.306179,113.92025",0,14,250
1757987221,2025-09-16T01:47:01Z,CPA755,"22.30611,113.920036",0,14,250
1757987223,2025-09-16T01:47:03Z,CPA755,"22.30604,113.91983",0,15,250
1757987230,2025-09-16T01:47:10Z,CPA755,"22.305901,113.919357",0,16,250
1757987237,2025-09-16T01:47:17Z,CPA755,"22.305691,113.918724",0,17,250
1757987244,2025-09-16T01:47:24Z,CPA755,"22.305496,113.918144",0,18,250
1757987251,2025-09-16T01:47:31Z,CPA755,"22.30529,113.917496",0,20,250
1757987258,2025-09-16T01:47:38Z,CPA755,"22.305063,113.916794",0,21,250
1757987265,2025-09-16T01:47:45Z,CPA755,"22.304855,113.916122",0,22,250
1757987272,2025-09-16T01:47:52Z,CPA755,"22.304592,113.915298",0,23,250
1757987280,2025-09-16T01:48:00Z,CPA755,"22.304317,113.914452",0,24,250
1757987287,2025-09-16T01:48:07Z,CPA755,"22.30405,113.913628",0,25,250
1757987293,2025-09-16T01:48:13Z,CPA755,"22.303795,113.912827",0,26,250
1757987301,2025-09-16T01:48:21Z,CPA755,"22.303492,113.911911",0,27,250
1757987308,2025-09-16T01:48:28Z,CPA755,"22.303177,113.910919",0,28,250
1757987315,2025-09-16T01:48:35Z,CPA755,"22.302853,113.90992",0,28,250
1757987322,2025-09-16T01:48:42Z,CPA755,"22.302584,113.909073",0,25,250
