Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757728877,2025-09-13T02:01:17Z,CPA785,"22.314827,113.929077",0,3,337
1757729134,2025-09-13T02:05:34Z,CPA785,"22.314909,113.927727",0,0,281
1757729142,2025-09-13T02:05:42Z,CPA785,"22.315048,113.927383",0,9,295
1757729149,2025-09-13T02:05:49Z,CPA785,"22.315144,113.927109",0,10,295
1757729173,2025-09-13T02:06:13Z,CPA785,"22.315693,113.925903",0,0,295
1757729197,2025-09-13T02:06:37Z,CPA785,"22.316265,113.924675",0,0,295
1757729206,2025-09-13T02:06:46Z,CPA785,"22.316425,113.924301",0,10,295
1757729211,2025-09-13T02:06:51Z,CPA785,"22.316505,113.924088",0,9,286
1757729217,2025-09-13T02:06:57Z,CPA785,"22.31649,113.92382",0,10,255
1757729222,2025-09-13T02:07:02Z,CPA785,"22.316425,113.923607",0,10,250
1757729226,2025-09-13T02:07:06Z,CPA785,"22.316357,113.923401",0,10,250
1757729230,2025-09-13T02:07:10Z,CPA785,"22.316277,113.923157",0,11,250
1757729234,2025-09-13T02:07:14Z,CPA785,"22.316208,113.922943",0,11,250
1757729242,2025-09-13T02:07:22Z,CPA785,"22.31632,113.923241",0,11,250
1757729258,2025-09-13T02:07:38Z,CPA785,"22.315769,113.921623",0,0,250
1757729267,2025-09-13T02:07:47Z,CPA785,"22.315636,113.921104",0,0,253
1757729278,2025-09-13T02:07:58Z,CPA785,"22.315338,113.920654",0,9,205
1757729284,2025-09-13T02:08:04Z,CPA785,"22.315098,113.92067",0,9,165
1757729294,2025-09-13T02:08:14Z,CPA785,"22.314663,113.920807",0,9,160
1757729307,2025-09-13T02:08:27Z,CPA785,"22.314091,113.921021",0,11,160
1757729312,2025-09-13T02:08:32Z,CPA785,"22.313814,113.921127",0,12,160
1757729319,2025-09-13T02:08:39Z,CPA785,"22.313587,113.921219",0,13,160
1757729328,2025-09-13T02:08:48Z,CPA785,"22.313038,113.921432",0,12,160
1757729336,2025-09-13T02:08:56Z,CPA785,"22.312511,113.921608",0,12,160
1757729343,2025-09-13T02:09:03Z,CPA785,"22.312126,113.921753",0,13,160
1757729350,2025-09-13T02:09:10Z,CPA785,"22.311672,113.921906",0,15,160
1757729358,2025-09-13T02:09:18Z,CPA785,"22.311207,113.922096",0,15,160
1757729365,2025-09-13T02:09:25Z,CPA785,"22.310692,113.922279",0,15,160
1757729372,2025-09-13T02:09:32Z,CPA785,"22.310276,113.922447",0,16,160
1757729380,2025-09-13T02:09:40Z,CPA785,"22.309671,113.922668",0,15,160
1757729388,2025-09-13T02:09:48Z,CPA785,"22.309113,113.922867",0,15,160
1757729395,2025-09-13T02:09:55Z,CPA785,"22.308636,113.92305",0,14,160
1757729402,2025-09-13T02:10:02Z,CPA785,"22.308228,113.92321",0,12,160
1757729409,2025-09-13T02:10:09Z,CPA785,"22.307854,113.92334",0,12,160
1757729415,2025-09-13T02:10:15Z,CPA785,"22.307579,113.923431",0,11,165
1757729420,2025-09-13T02:10:20Z,CPA785,"22.307331,113.923431",0,10,196
1757729426,2025-09-13T02:10:26Z,CPA785,"22.307178,113.923218",0,9,236
1757729430,2025-09-13T02:10:30Z,CPA785,"22.307087,113.923004",0,9,247
1757729436,2025-09-13T02:10:36Z,CPA785,"22.306993,113.922768",0,9,250
1757729442,2025-09-13T02:10:42Z,CPA785,"22.306913,113.922523",0,10,250
1757729450,2025-09-13T02:10:50Z,CPA785,"22.306789,113.922104",0,12,250
1757729458,2025-09-13T02:10:58Z,CPA785,"22.306618,113.921616",0,13,250
1757729466,2025-09-13T02:11:06Z,CPA785,"22.306446,113.921066",0,15,250
1757729473,2025-09-13T02:11:13Z,CPA785,"22.30632,113.920654",0,0,250
1757729479,2025-09-13T02:11:19Z,CPA785,"22.306137,113.920082",0,16,250
1757729486,2025-09-13T02:11:26Z,CPA785,"22.305946,113.919502",0,16,250
1757729493,2025-09-13T02:11:33Z,CPA785,"22.305773,113.918953",0,17,250
1757729500,2025-09-13T02:11:40Z,CPA785,"22.305586,113.918404",0,17,250
1757729508,2025-09-13T02:11:48Z,CPA785,"22.305387,113.917747",0,17,250
1757729514,2025-09-13T02:11:54Z,CPA785,"22.305214,113.917213",0,18,250
1757729522,2025-09-13T02:12:02Z,CPA785,"22.305016,113.916603",0,16,250
1757729529,2025-09-13T02:12:09Z,CPA785,"22.304853,113.916077",0,15,250
1757729536,2025-09-13T02:12:16Z,CPA785,"22.304678,113.915543",0,15,250
1757729544,2025-09-13T02:12:24Z,CPA785,"22.304493,113.915009",0,15,250
1757729551,2025-09-13T02:12:31Z,CPA785,"22.304352,113.914543",0,15,250
1757729557,2025-09-13T02:12:37Z,CPA785,"22.304178,113.914032",0,15,250
1757729564,2025-09-13T02:12:44Z,CPA785,"22.304043,113.913589",0,15,250
1757729571,2025-09-13T02:12:51Z,CPA785,"22.303864,113.91304",0,15,250
1757729578,2025-09-13T02:12:58Z,CPA785,"22.303711,113.912514",0,15,250
1757729585,2025-09-13T02:13:05Z,CPA785,"22.303528,113.912018",0,15,250
1757729592,2025-09-13T02:13:12Z,CPA785,"22.303379,113.911507",0,15,250
1757729599,2025-09-13T02:13:19Z,CPA785,"22.303219,113.910995",0,16,250
1757729606,2025-09-13T02:13:26Z,CPA785,"22.303026,113.910461",0,17,250
1757729614,2025-09-13T02:13:34Z,CPA785,"22.302807,113.909737",0,17,250
1757729621,2025-09-13T02:13:41Z,CPA785,"22.302607,113.909134",0,18,250
1757729629,2025-09-13T02:13:49Z,CPA785,"22.302385,113.908485",0,18,250
1757729636,2025-09-13T02:13:56Z,CPA785,"22.3022,113.907875",0,18,250
1757729668,2025-09-13T02:14:28Z,CPA785,"22.301262,113.904991",0,0,250
1757729679,2025-09-13T02:14:39Z,CPA785,"22.301001,113.904167",0,19,250
1757729687,2025-09-13T02:14:47Z,CPA785,"22.300724,113.903305",0,19,250
1757729697,2025-09-13T02:14:57Z,CPA785,"22.300415,113.902351",0,19,250
1757729704,2025-09-13T02:15:04Z,CPA785,"22.30022,113.901703",0,18,250
1757729711,2025-09-13T02:15:11Z,CPA785,"22.300035,113.901138",0,17,250
1757729718,2025-09-13T02:15:18Z,CPA785,"22.29986,113.900604",0,15,250
1757729725,2025-09-13T02:15:25Z,CPA785,"22.299698,113.900093",0,15,250
1757729732,2025-09-13T02:15:32Z,CPA785,"22.299559,113.899635",0,15,250
1757729740,2025-09-13T02:15:40Z,CPA785,"22.299383,113.899094",0,16,250
1757729749,2025-09-13T02:15:49Z,CPA785,"22.299162,113.898392",0,14,250
1757729756,2025-09-13T02:15:56Z,CPA785,"22.299,113.897896",0,13,250
1757729761,2025-09-13T02:16:01Z,CPA785,"22.298882,113.897583",0,12,244
1757729771,2025-09-13T02:16:11Z,CPA785,"22.29855,113.897324",0,9,188
1757729777,2025-09-13T02:16:17Z,CPA785,"22.298277,113.897346",0,8,165
1757729790,2025-09-13T02:16:30Z,CPA785,"22.297834,113.897499",0,8,163
1757729805,2025-09-13T02:16:45Z,CPA785,"22.29723,113.897728",0,0,160
1757729818,2025-09-13T02:16:58Z,CPA785,"22.29657,113.898087",0,12,137
1757729823,2025-09-13T02:17:03Z,CPA785,"22.296427,113.898354",0,0,104
1757729828,2025-09-13T02:17:08Z,CPA785,"22.296427,113.89856",0,12,87
1757729837,2025-09-13T02:17:17Z,CPA785,"22.296638,113.899185",0,12,70
1757729845,2025-09-13T02:17:25Z,CPA785,"22.29681,113.899719",0,0,70
1757729850,2025-09-13T02:17:30Z,CPA785,"22.297009,113.900352",0,34,70
1757729853,2025-09-13T02:17:33Z,CPA785,"22.297207,113.900986",0,48,70
1757729861,2025-09-13T02:17:41Z,CPA785,"22.298103,113.903725",0,82,70
1757729869,2025-09-13T02:17:49Z,CPA785,"22.299465,113.907982",0,120,70
1757729876,2025-09-13T02:17:56Z,CPA785,"22.30085,113.912331",0,145,70
1757729883,2025-09-13T02:18:03Z,CPA785,"22.302549,113.91758",0,165,70
1757729890,2025-09-13T02:18:10Z,CPA785,"22.304388,113.92334",75,184,71
1757729899,2025-09-13T02:18:19Z,CPA785,"22.306641,113.930618",300,187,71
1757729907,2025-09-13T02:18:27Z,CPA785,"22.309021,113.938164",575,191,70
1757729913,2025-09-13T02:18:33Z,CPA785,"22.310852,113.943604",775,193,70
1757729922,2025-09-13T02:18:42Z,CPA785,"22.31337,113.951195",1200,192,69
1757729928,2025-09-13T02:18:48Z,CPA785,"22.315374,113.957214",1475,194,70
1757729936,2025-09-13T02:18:56Z,CPA785,"22.317947,113.965324",1700,202,71
1757729945,2025-09-13T02:19:05Z,CPA785,"22.320511,113.973167",1850,210,70
1757729953,2025-09-13T02:19:13Z,CPA785,"22.323166,113.981606",2050,214,71
1757729959,2025-09-13T02:19:19Z,CPA785,"22.325226,113.988098",2225,216,71
1757729968,2025-09-13T02:19:28Z,CPA785,"22.327972,113.996735",2475,218,70
1757729976,2025-09-13T02:19:36Z,CPA785,"22.330782,114.00518",2750,220,70
1757729984,2025-09-13T02:19:44Z,CPA785,"22.333649,114.014069",3025,220,70
1757729993,2025-09-13T02:19:53Z,CPA785,"22.336369,114.022621",3300,220,72
