Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757734896,2025-09-13T03:41:36Z,CPA739,"22.316299,113.932358",0,2,73
1757734918,2025-09-13T03:41:58Z,CPA739,"22.316254,113.932129",0,3,70
1757734934,2025-09-13T03:42:14Z,CPA739,"22.316151,113.931908",0,4,73
1757734950,2025-09-13T03:42:30Z,CPA739,"22.316105,113.931679",0,3,70
1757734965,2025-09-13T03:42:45Z,CPA739,"22.316025,113.93145",0,3,70
1757735213,2025-09-13T03:46:53Z,CPA739,"22.316082,113.931671",0,5,70
1757735224,2025-09-13T03:47:04Z,CPA739,"22.316305,113.931885",0,7,50
1757735232,2025-09-13T03:47:12Z,CPA739,"22.316586,113.931969",0,8,25
1757735241,2025-09-13T03:47:21Z,CPA739,"22.316917,113.931892",0,0,357
1757735252,2025-09-13T03:47:32Z,CPA739,"22.317352,113.931709",0,9,340
1757735259,2025-09-13T03:47:39Z,CPA739,"22.317593,113.931602",0,10,340
1757735268,2025-09-13T03:47:48Z,CPA739,"22.317913,113.931496",0,4,340
1757735344,2025-09-13T03:49:04Z,CPA739,"22.318144,113.931412",0,4,340
1757735355,2025-09-13T03:49:15Z,CPA739,"22.318394,113.93132",0,6,340
1757735365,2025-09-13T03:49:25Z,CPA739,"22.318714,113.931137",0,8,331
1757735372,2025-09-13T03:49:32Z,CPA739,"22.318806,113.930893",0,9,306
1757735381,2025-09-13T03:49:41Z,CPA739,"22.318703,113.930504",0,9,264
1757735392,2025-09-13T03:49:52Z,CPA739,"22.31852,113.930061",0,9,250
1757735401,2025-09-13T03:50:01Z,CPA739,"22.318388,113.929672",0,9,250
1757735408,2025-09-13T03:50:08Z,CPA739,"22.318405,113.929344",0,10,270
1757735416,2025-09-13T03:50:16Z,CPA739,"22.318645,113.929123",0,0,306
1757735424,2025-09-13T03:50:24Z,CPA739,"22.319,113.928993",0,7,334
1757735432,2025-09-13T03:50:32Z,CPA739,"22.319218,113.928909",0,6,337
1757735441,2025-09-13T03:50:41Z,CPA739,"22.319458,113.928818",0,6,337
1757735536,2025-09-13T03:52:16Z,CPA739,"22.319664,113.928772",0,0,340
1757735556,2025-09-13T03:52:36Z,CPA739,"22.32004,113.928627",0,7,340
1757735563,2025-09-13T03:52:43Z,CPA739,"22.320297,113.928543",0,9,340
1757735575,2025-09-13T03:52:55Z,CPA739,"22.320681,113.928246",0,8,320
1757735582,2025-09-13T03:53:02Z,CPA739,"22.320694,113.927986",0,7,292
1757735590,2025-09-13T03:53:10Z,CPA739,"22.320576,113.927742",0,6,261
1757735647,2025-09-13T03:54:07Z,CPA739,"22.320408,113.927277",0,20,253
1757735654,2025-09-13T03:54:14Z,CPA739,"22.32011,113.926331",0,47,250
1757735663,2025-09-13T03:54:23Z,CPA739,"22.31925,113.923645",0,82,250
1757735671,2025-09-13T03:54:31Z,CPA739,"22.317856,113.919281",50,120,251
1757735678,2025-09-13T03:54:38Z,CPA739,"22.316391,113.914787",50,137,250
1757735685,2025-09-13T03:54:45Z,CPA739,"22.314768,113.90966",125,155,250
1757735693,2025-09-13T03:54:53Z,CPA739,"22.312767,113.903709",425,151,250
1757735702,2025-09-13T03:55:02Z,CPA739,"22.310806,113.89756",750,152,251
1757735708,2025-09-13T03:55:08Z,CPA739,"22.309368,113.893028",950,154,250
1757735716,2025-09-13T03:55:16Z,CPA739,"22.307228,113.886719",1200,158,250
1757735725,2025-09-13T03:55:25Z,CPA739,"22.305176,113.880531",1475,160,250
