Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757649523,2025-09-12T03:58:43Z,CPA157,"22.314898,113.929001",0,3,199
1757649796,2025-09-12T04:03:16Z,CPA157,"22.315142,113.928665",0,0,250
1757649821,2025-09-12T04:03:41Z,CPA157,"22.31488,113.927826",0,0,253
1757649829,2025-09-12T04:03:49Z,CPA157,"22.314938,113.927536",0,9,272
1757649835,2025-09-12T04:03:55Z,CPA157,"22.315086,113.927261",0,8,292
1757649842,2025-09-12T04:04:02Z,CPA157,"22.315189,113.927048",0,8,295
1757649847,2025-09-12T04:04:07Z,CPA157,"22.315292,113.926826",0,8,295
1757649853,2025-09-12T04:04:13Z,CPA157,"22.315407,113.926575",0,9,295
1757649863,2025-09-12T04:04:23Z,CPA157,"22.315578,113.926201",0,9,295
1757649874,2025-09-12T04:04:34Z,CPA157,"22.31575,113.925804",0,6,295
1757649893,2025-09-12T04:04:53Z,CPA157,"22.315865,113.925552",0,3,295
1757649961,2025-09-12T04:06:01Z,CPA157,"22.315968,113.925339",0,5,295
1757649969,2025-09-12T04:06:09Z,CPA157,"22.316082,113.925079",0,9,295
1757649976,2025-09-12T04:06:16Z,CPA157,"22.316231,113.924774",0,10,295
1757649984,2025-09-12T04:06:24Z,CPA157,"22.316505,113.924461",0,12,315
1757649993,2025-09-12T04:06:33Z,CPA157,"22.316992,113.924294",0,12,340
1757649998,2025-09-12T04:06:38Z,CPA157,"22.317247,113.924232",0,11,343
1757650006,2025-09-12T04:06:46Z,CPA157,"22.317596,113.924332",0,11,11
1757650013,2025-09-12T04:06:53Z,CPA157,"22.317753,113.924599",0,10,45
1757650018,2025-09-12T04:06:58Z,CPA157,"22.317818,113.92485",0,9,61
1757650024,2025-09-12T04:07:04Z,CPA157,"22.317867,113.925102",0,8,73
1757650029,2025-09-12T04:07:09Z,CPA157,"22.317923,113.925308",0,8,73
1757650035,2025-09-12T04:07:15Z,CPA157,"22.317993,113.925552",0,8,73
1757650041,2025-09-12T04:07:21Z,CPA157,"22.318085,113.925789",0,8,70
1757650049,2025-09-12T04:07:29Z,CPA157,"22.318165,113.926041",0,8,70
1757650058,2025-09-12T04:07:38Z,CPA157,"22.318279,113.926399",0,7,70
1757650064,2025-09-12T04:07:44Z,CPA157,"22.318348,113.926613",0,7,70
1757650071,2025-09-12T04:07:51Z,CPA157,"22.318417,113.926849",0,7,70
1757650081,2025-09-12T04:08:01Z,CPA157,"22.31852,113.927147",0,6,70
1757650090,2025-09-12T04:08:10Z,CPA157,"22.318598,113.927406",0,6,70
1757650102,2025-09-12T04:08:22Z,CPA157,"22.318726,113.927788",0,7,70
1757650111,2025-09-12T04:08:31Z,CPA157,"22.318806,113.928047",0,7,70
1757650117,2025-09-12T04:08:37Z,CPA157,"22.318876,113.928261",0,7,70
1757650127,2025-09-12T04:08:47Z,CPA157,"22.318977,113.928596",0,8,70
1757650134,2025-09-12T04:08:54Z,CPA157,"22.319086,113.928856",0,8,67
1757650141,2025-09-12T04:09:01Z,CPA157,"22.319342,113.928932",0,8,30
1757650150,2025-09-12T04:09:10Z,CPA157,"22.319563,113.92881",0,5,354
1757650225,2025-09-12T04:10:25Z,CPA157,"22.319939,113.928619",0,9,340
1757650233,2025-09-12T04:10:33Z,CPA157,"22.320328,113.928474",0,11,340
1757650241,2025-09-12T04:10:41Z,CPA157,"22.320623,113.92836",0,7,340
