Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1757685088,2025-09-12T13:51:28Z,CPA161,"22.31258,113.934601",0,2,70
1757685104,2025-09-12T13:51:44Z,CPA161,"22.312511,113.934387",0,2,67
1757685124,2025-09-12T13:52:04Z,CPA161,"22.312443,113.934181",0,2,73
1757685144,2025-09-12T13:52:24Z,CPA161,"22.312313,113.933945",0,3,104
1757685164,2025-09-12T13:52:44Z,CPA161,"22.312302,113.933693",0,3,140
1757685435,2025-09-12T13:57:15Z,CPA161,"22.312046,113.933701",0,1,163
1757685453,2025-09-12T13:57:33Z,CPA161,"22.311813,113.933769",0,4,163
1757685463,2025-09-12T13:57:43Z,CPA161,"22.311573,113.933868",0,6,160
1757685473,2025-09-12T13:57:53Z,CPA161,"22.311277,113.933968",0,7,160
1757685486,2025-09-12T13:58:06Z,CPA161,"22.310772,113.934166",0,0,160
1757685495,2025-09-12T13:58:15Z,CPA161,"22.31036,113.934288",0,0,168
1757685502,2025-09-12T13:58:22Z,CPA161,"22.310043,113.934151",0,0,199
1757685516,2025-09-12T13:58:36Z,CPA161,"22.309694,113.93351",0,11,241
1757685528,2025-09-12T13:58:48Z,CPA161,"22.309416,113.932899",0,12,241
1757685535,2025-09-12T13:58:55Z,CPA161,"22.309252,113.932587",0,12,241
1757685540,2025-09-12T13:59:00Z,CPA161,"22.309124,113.932251",0,13,247
1757685544,2025-09-12T13:59:04Z,CPA161,"22.309042,113.931999",0,13,250
1757685548,2025-09-12T13:59:08Z,CPA161,"22.308973,113.931755",0,13,250
1757685551,2025-09-12T13:59:11Z,CPA161,"22.308895,113.931534",0,14,250
1757685555,2025-09-12T13:59:15Z,CPA161,"22.308809,113.931252",0,14,250
1757685562,2025-09-12T13:59:22Z,CPA161,"22.308659,113.930817",0,15,250
1757685569,2025-09-12T13:59:29Z,CPA161,"22.308496,113.930298",0,15,250
1757685576,2025-09-12T13:59:36Z,CPA161,"22.308344,113.929825",0,16,250
1757685583,2025-09-12T13:59:43Z,CPA161,"22.30814,113.929169",0,16,250
1757685590,2025-09-12T13:59:50Z,CPA161,"22.30798,113.928688",0,17,250
1757685597,2025-09-12T13:59:57Z,CPA161,"22.307774,113.928047",0,17,250
1757685604,2025-09-12T14:00:04Z,CPA161,"22.307577,113.927437",0,18,250
1757685611,2025-09-12T14:00:11Z,CPA161,"22.307379,113.926811",0,19,250
1757685618,2025-09-12T14:00:18Z,CPA161,"22.307178,113.926216",0,19,250
1757685625,2025-09-12T14:00:25Z,CPA161,"22.306971,113.925552",0,20,250
1757685632,2025-09-12T14:00:32Z,CPA161,"22.306732,113.924843",0,20,250
1757685639,2025-09-12T14:00:39Z,CPA161,"22.306517,113.924164",0,21,250
1757685647,2025-09-12T14:00:47Z,CPA161,"22.306263,113.923378",0,21,250
1757685653,2025-09-12T14:00:53Z,CPA161,"22.30604,113.922638",0,22,250
1757685660,2025-09-12T14:01:00Z,CPA161,"22.305805,113.921959",0,22,250
1757685667,2025-09-12T14:01:07Z,CPA161,"22.305553,113.921158",0,23,250
1757685674,2025-09-12T14:01:14Z,CPA161,"22.305302,113.920372",0,23,250
1757685681,2025-09-12T14:01:21Z,CPA161,"22.305061,113.919632",0,24,250
1757685688,2025-09-12T14:01:28Z,CPA161,"22.304806,113.918823",0,24,250
1757685695,2025-09-12T14:01:35Z,CPA161,"22.304527,113.917976",0,25,250
1757685701,2025-09-12T14:01:41Z,CPA161,"22.304272,113.917183",0,25,250
1757685709,2025-09-12T14:01:49Z,CPA161,"22.303991,113.916306",0,22,250
1757685716,2025-09-12T14:01:56Z,CPA161,"22.303782,113.915672",0,19,250
1757685723,2025-09-12T14:02:03Z,CPA161,"22.303551,113.914955",0,20,250
1757685730,2025-09-12T14:02:10Z,CPA161,"22.303364,113.914337",0,20,250
1757685737,2025-09-12T14:02:17Z,CPA161,"22.303116,113.913589",0,21,250
1757685745,2025-09-12T14:02:25Z,CPA161,"22.302851,113.912758",0,22,250
1757685752,2025-09-12T14:02:32Z,CPA161,"22.302612,113.912018",0,22,250
1757685759,2025-09-12T14:02:39Z,CPA161,"22.30234,113.911194",0,23,250
1757685767,2025-09-12T14:02:47Z,CPA161,"22.302086,113.910408",0,23,250
1757685775,2025-09-12T14:02:55Z,CPA161,"22.301851,113.909668",0,20,250
1757685782,2025-09-12T14:03:02Z,CPA161,"22.301605,113.908936",0,19,250
1757685792,2025-09-12T14:03:12Z,CPA161,"22.301292,113.907944",0,20,250
1757685799,2025-09-12T14:03:19Z,CPA161,"22.301079,113.907288",0,20,250
1757685805,2025-09-12T14:03:25Z,CPA161,"22.300861,113.906609",0,21,250
1757685813,2025-09-12T14:03:33Z,CPA161,"22.300632,113.905914",0,21,250
1757685825,2025-09-12T14:03:45Z,CPA161,"22.30022,113.904625",0,22,250
1757685831,2025-09-12T14:03:51Z,CPA161,"22.300003,113.903969",0,22,250
1757685839,2025-09-12T14:03:59Z,CPA161,"22.299728,113.903091",0,23,250
1757685846,2025-09-12T14:04:06Z,CPA161,"22.299477,113.902298",0,23,250
1757685852,2025-09-12T14:04:12Z,CPA161,"22.299267,113.901649",0,24,250
1757685859,2025-09-12T14:04:19Z,CPA161,"22.298988,113.90078",0,22,250
1757685868,2025-09-12T14:04:28Z,CPA161,"22.298698,113.89991",0,20,250
1757685879,2025-09-12T14:04:39Z,CPA161,"22.298424,113.899055",0,15,250
1757685891,2025-09-12T14:04:51Z,CPA161,"22.298161,113.898239",0,12,250
1757685898,2025-09-12T14:04:58Z,CPA161,"22.298067,113.897919",0,10,250
1757685908,2025-09-12T14:05:08Z,CPA161,"22.297766,113.897667",0,8,210
1757685915,2025-09-12T14:05:15Z,CPA161,"22.29752,113.897682",0,7,185
1757685923,2025-09-12T14:05:23Z,CPA161,"22.297256,113.897751",0,6,171
1757685931,2025-09-12T14:05:31Z,CPA161,"22.297031,113.897835",0,7,165
1757685944,2025-09-12T14:05:44Z,CPA161,"22.29657,113.898026",0,8,157
1757685953,2025-09-12T14:05:53Z,CPA161,"22.296415,113.898254",0,7,129
1757685960,2025-09-12T14:06:00Z,CPA161,"22.296404,113.898491",0,6,104
1757685968,2025-09-12T14:06:08Z,CPA161,"22.296467,113.89875",0,6,81
1757685977,2025-09-12T14:06:17Z,CPA161,"22.296555,113.899017",0,7,73
1757685983,2025-09-12T14:06:23Z,CPA161,"22.296661,113.899323",0,11,70
1757685989,2025-09-12T14:06:29Z,CPA161,"22.296799,113.899734",0,17,70
1757685991,2025-09-12T14:06:31Z,CPA161,"22.29689,113.900032",0,23,70
1757685992,2025-09-12T14:06:32Z,CPA161,"22.29697,113.900261",0,32,70
1757685994,2025-09-12T14:06:34Z,CPA161,"22.297125,113.900742",0,42,70
